route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
323,37.5,42.5,3,0,0
323,37.5,45.0,4,0,0
323,37.5,47.5,5,0,0
323,37.5,50.0,6,0,0
323,40.0,40.0,1,36485,1
323,40.0,42.5,2,9675,1
323,40.0,45.0,3,2541,1
323,40.0,47.5,4,945,1
323,40.0,50.0,5,945,1
323,42.5,42.5,1,9675,1
323,42.5,45.0,2,2541,1
323,42.5,47.5,3,945,1
323,42.5,50.0,4,945,1
323,45.0,45.0,1,2541,1
323,45.0,47.5,2,945,1
323,45.0,50.0,3,945,1
323,47.5,47.5,1,1085,1
323,47.5,50.0,2,1085,1
323,50.0,50.0,1,7951,1
324,20.0,20.0,1,3075,1
324,20.0,22.5,2,0,0
324,20.0,25.0,3,0,0
324,20.0,27.5,4,0,0
324,20.0,30.0,5,0,0
324,20.0,32.5,6,0,0
324,20.0,35.0,7,0,0
324,20.0,37.5,8,0,0
324,20.0,40.0,9,0,0
324,20.0,42.5,10,0,0
324,20.0,45.0,11,0,0
324,20.0,47.5,12,0,0
324,20.0,50.0,13,0,0
324,22.5,22.5,1,12243,1
324,22.5,25.0,2,3641,1
324,22.5,27.5,3,0,0
324,22.5,30.0,4,0,0
324,22.5,32.5,5,0,0
324,22.5,35.0,6,0,0
324,22.5,37.5,7,0,0
324,22.5,40.0,8,0,0
324,22.5,42.5,9,0,0
324,22.5,45.0,10,0,0
324,22.5,47.5,11,0,0
324,22.5,50.0,12,0,0
324,25.0,25.0,1,4851,1
324,25.0,27.5,2,0,0
324,25.0,30.0,3,0,0
324,25.0,32.5,4,0,0
324,25.0,35.0,5,0,0
324,25.0,37.5,6,0,0
324,25.0,40.0,7,0,0
324,25.0,42.5,8,0,0
324,25.0,45.0,9,0,0
324,25.0,47.5,10,0,0
324,25.0,50.0,11,0,0
324,27.5,27.5,1,2709,1
324,27.5,30.0,2,1953,1
324,27.5,32.5,3,0,0
324,27.5,35.0,4,0,0
324,27.5,37.5,5,0,0
324,27.5,40.0,6,0,0
324,27.5,42.5,7,0,0
324,27.5,45.0,8,0,0
324,27.5,47.5,9,0,0
324,27.5,50.0,10,0,0
324,30.0,30.0,1,16461,1
324,30.0,32.5,2,0,0
324,30.0,35.0,3,0,0
324,30.0,37.5,4,0,0
324,30.0,40.0,5,0,0
324,30.0,42.5,6,0,0
324,30.0,45.0,7,0,0
324,30.0,47.5,8,0,0
324,30.0,50.0,9,0,0
324,32.5,32.5,1,8788,1
324,32.5,35.0,2,5304,1
324,32.5,37.5,3,0,0
324,32.5,40.0,4,0,0
324,32.5,42.5,5,0,0
324,32.5,45.0,6,0,0
324,32.5,47.5,7,0,0
324,32.5,50.0,8,0,0
324,35.0,35.0,1,11424,1
324,35.0,37.5,2,0,0
324,35.0,40.0,3,0,0
324,35.0,42.5,4,0,0
324,35.0,45.0,5,0,0
324,35.0,47.5,6,0,0
324,35.0,50.0,7,0,0
324,37.5,37.5,1,30889,1
324,37.5,40.0,2,16905,1
324,37.5,42.5,3,6785,1
324,37.5,45.0,4,483,1
324,37.5,47.5,5,483,1
324,37.5,50.0,6,0,0
324,40.0,40.0,1,19845,1
324,40.0,42.5,2,7965,1
324,40.0,45.0,3,567,1
324,40.0,47.5,4,567,1
324,40.0,50.0,5,0,0
324,42.5,42.5,1,9145,1
324,42.5,45.0,2,651,1
324,42.5,47.5,3,651,1
324,42.5,50.0,4,0,0
324,45.0,45.0,1,735,1
324,45.0,47.5,2,735,1
324,45.0,50.0,3,0,0
324,47.5,47.5,1,12475,1
324,47.5,50.0,2,0,0
324,50.0,50.0,1,451,1
331,20.0,20.0,1,23125,1
331,20.0,22.5,2,0,0
331,20.0,25.0,3,0,0
331,20.0,27.5,4,0,0
331,20.0,30.0,5,0,0
331,20.0,32.5,6,0,0
331,20.0,35.0,7,0,0
331,20.0,37.5,8,0,0
331,20.0,40.0,9,0,0
331,20.0,42.5,10,0,0
331,20.0,45.0,11,0,0
331,20.0,47.5,12,0,0
331,20.0,50.0,13,0,0
331,22.5,22.5,1,15521,1
331,22.5,25.0,2,231,1
331,22.5,27.5,3,231,1
331,22.5,30.0,4,231,1
331,22.5,32.5,5,0,0
331,22.5,35.0,6,0,0
331,22.5,37.5,7,0,0
331,22.5,40.0,8,0,0
331,22.5,42.5,9,0,0
331,22.5,45.0,10,0,0
331,22.5,47.5,11,0,0
331,22.5,50.0,12,0,0
331,25.0,25.0,1,231,1
331,25.0,27.5,2,231,1
331,25.0,30.0,3,231,1
331,25.0,32.5,4,0,0
331,25.0,35.0,5,0,0
331,25.0,37.5,6,0,0
331,25.0,40.0,7,0,0
331,25.0,42.5,8,0,0
331,25.0,45.0,9,0,0
331,25.0,47.5,10,0,0
331,25.0,50.0,11,0,0
331,27.5,27.5,1,11259,1
331,27.5,30.0,2,11259,1
331,27.5,32.5,3,0,0
331,27.5,35.0,4,0,0
331,27.5,37.5,5,0,0
331,27.5,40.0,6,0,0
331,27.5,42.5,7,0,0
331,27.5,45.0,8,0,0
331,27.5,47.5,9,0,0
331,27.5,50.0,10,0,0
331,30.0,30.0,1,31943,1
331,30.0,32.5,2,0,0
331,30.0,35.0,3,0,0
331,30.0,37.5,4,0,0
331,30.0,40.0,5,0,0
331,30.0,42.5,6,0,0
331,30.0,45.0,7,0,0
331,30.0,47.5,8,0,0
331,30.0,50.0,9,0,0
331,32.5,32.5,1,1833,1
331,32.5,35.0,2,1599,1
331,32.5,37.5,3,1443,1
331,32.5,40.0,4,1287,1
331,32.5,42.5,5,1131,1
331,32.5,45.0,6,975,1
331,32.5,47.5,7,0,0
331,32.5,50.0,8,0,0
331,35.0,35.0,1,7011,1
331,35.0,37.5,2,6327,1
331,35.0,40.0,3,5643,1
331,35.0,42.5,4,4959,1
331,35.0,45.0,5,4275,1
331,35.0,47.5,6,0,0
331,35.0,50.0,7,0,0
331,37.5,37.5,1,11063,1
331,37.5,40.0,2,9867,1
331,37.5,42.5,3,8671,1
331,37.5,45.0,4,7475,1
331,37.5,47.5,5,0,0
331,37.5,50.0,6,0,0
331,40.0,40.0,1,15147,1
