路線番号,pattern_id,n_speeds,max_run
311,14665,3,3
311,14666,3,3
311,14667,3,3
311,14668,3,3
311,14669,3,3
311,14670,3,3
311,14671,3,3
311,14672,3,3
311,14673,2,2
311,14674,1,1
311,14741,1,1
311,14742,2,2
311,14743,3,3
311,14744,3,3
311,14745,3,3
311,14746,3,3
311,14747,3,3
311,14748,3,3
311,14749,3,3
311,14750,3,3
311,14751,3,3
311,14752,3,3
311,14753,3,3
311,14754,3,3
311,14755,3,3
311,14756,3,3
311,14757,3,3
311,14758,3,3
311,14759,4,4
311,14760,4,4
311,14761,4,4
311,14762,4,4
311,14763,4,4
311,14764,4,4
311,14765,4,4
311,14766,4,4
311,14767,4,4
311,14768,4,4
311,14769,4,4
311,14770,4,4
311,14771,4,4
311,14772,4,4
311,14773,4,4
311,14774,3,3
311,14775,2,2
311,14776,1,1
311,14777,1,1
311,14843,1,1
311,14844,2,2
311,14845,2,2
311,14846,2,2
311,14847,2,2
311,14848,2,2
311,14849,2,2
311,14850,2,2
311,14851,2,2
311,14852,2,2
311,14853,2,2
311,14854,2,2
311,14855,2,2
311,14856,2,2
311,14857,2,2
311,14858,2,2
311,14859,2,2
311,14860,3,2
311,14861,3,2
311,14862,3,2
311,14863,4,4
311,14864,4,4
311,14865,4,4
311,14866,4,4
311,14867,4,4
311,14868,4,4
311,14869,4,4
311,14870,4,4
311,14871,4,4
311,14872,4,4
311,14873,4,4
311,14874,4,4
311,14875,3,3
311,14876,2,2
311,14877,1,1
311,14878,1,1
311,14944,1,1
311,14945,2,2
311,14946,2,2
311,14947,2,2
311,14948,2,2
311,14949,2,2
311,14950,2,2
311,14951,2,2
311,14952,2,2
311,14953,2,2
311,14954,2,2
311,14955,2,2
311,14956,2,2
311,14957,2,2
311,14958,2,2
311,14959,2,2
311,14960,2,2
311,14961,3,2
311,14962,3,2
311,14963,3,2
311,14964,4,4
311,14965,4,4
311,14966,4,4
311,14967,4,4
311,14968,4,4
311,14969,4,4
311,14970,4,4
311,14971,4,4
311,14972,4,4
311,14973,4,4
311,14974,4,4
311,14975,4,4
311,14976,3,3
311,14977,2,2
311,14978,1,1
311,14979,1,1
311,15046,1,1
311,15047,1,1
311,15048,1,1
311,15049,1,1
311,15050,1,1
311,15051,1,1
311,15052,1,1
311,15053,1,1
311,15054,1,1
311,15055,1,1
311,15056,1,1
311,15057,1,1
311,15058,1,1
311,15059,1,1
311,15060,1,1
311,15061,1,1
311,15062,2,1
311,15063,2,1
311,15064,2,1
311,15065,3,2
311,15066,3,2
311,15067,3,2
311,15068,4,4
311,15069,4,4
311,15070,4,4
311,15071,4,4
311,15072,4,4
311,15073,4,4
311,15074,4,4
311,15075,4,4
311,15076,4,4
311,15077,3,3
311,15078,2,2
311,15079,1,1
311,15080,1,1
311,15147,1,1
311,15148,1,1
311,15149,1,1
311,15150,1,1
311,15151,1,1
311,15152,1,1
311,15153,1,1
311,15154,1,1
311,15155,1,1
311,15156,1,1
311,15157,1,1
311,15158,1,1
311,15159,1,1
311,15160,1,1
311,15161,1,1
311,15162,1,1
311,15163,2,1
311,15164,2,1
311,15165,2,1
311,15166,3,2
311,15167,3,2
311,15168,3,2
311,15169,4,4
311,15170,4,4
311,15171,4,4
311,15172,4,4
311,15173,4,4
311,15174,4,4
311,15175,4,4
311,15176,4,4
311,15177,4,4
311,15178,3,3
311,15179,2,2
311,15180,1,1
311,15181,1,1
311,15264,1,1
311,15265,1,1
311,15266,1,1
311,15267,2,2
311,15268,2,2
311,15269,2,2
311,15270,3,3
311,15271,3,3
311,15272,4,4
311,15273,4,4
311,15274,4,4
311,15275,4,4
311,15276,4,4
311,15277,4,4
311,15278,4,4
311,15279,3,3
311,15280,2,2
311,15281,1,1
311,15282,1,1
311,15365,1,1
311,15366,1,1
311,15367,1,1
311,15368,2,2
311,15369,2,2
311,15370,2,2
311,15371,3,3
311,15372,3,3
