route_id,V_kmh,FTT_s_per_veh,TT_s_per_veh
D30_312,25.0,144.0,175.20000343322755
D30_312,27.5,130.9090909090909,162.54545454545453
D30_312,30.0,120.0,156.0
D30_312,32.5,110.7692307692308,150.46153846153845
D30_312,35.0,102.85714285714286,145.71428571428572
D30_312,37.5,96.0,141.60000152587887
D30_312,40.0,90.0,135.30000019073486
D30_312,42.5,84.70588235294117,131.6470588235294
D30_312,45.0,80.0,124.0
D30_312,47.5,75.78947368421052,115.57894736842056
D30_312,50.0,72.0,108.0
D30_313,10.0,432.0,
D30_313,12.5,345.6,
D30_313,15.0,288.0,
D30_313,17.5,246.8571428571429,
D30_313,20.0,216.0,240.0
D30_313,22.5,192.0,204.0
D30_313,25.0,172.79999999999998,180.00000076293935
D30_313,27.5,157.0909090909091,180.0
D30_313,30.0,144.0,168.0
D30_313,32.5,132.92307692307693,154.1538461538462
D30_313,35.0,123.42857142857144,145.71428571428575
D30_313,37.5,115.2,141.60000228881836
D30_313,40.0,108.0,138.0
D30_313,42.5,101.64705882352942,134.82352941176464
D30_313,45.0,96.0,132.0
D30_313,47.5,90.94736842105264,129.47368421052624
D30_313,50.0,86.39999999999999,127.20000457763672
D30_314,10.0,360.0,
D30_314,12.5,288.0,
D30_314,15.0,240.0,
D30_314,17.5,205.7142857142857,
D30_314,20.0,180.0,198.0
D30_314,22.5,160.0,180.0000038146973
D30_314,25.0,144.0,180.00000076293938
D30_314,27.5,130.9090909090909,173.4545454545455
D30_314,30.0,120.0,168.0
D30_314,32.5,110.7692307692308,149.5384615384616
D30_314,35.0,102.85714285714286,137.14285714285697
D30_314,37.5,96.0,129.60000066757192
D30_314,40.0,90.0,123.0
D30_314,42.5,84.70588235294117,120.0
D30_314,45.0,80.0,120.0
D30_314,47.5,75.78947368421052,115.5789473684208
D30_314,50.0,72.0,108.0
D30_321,10.0,360.00000000000006,
D30_321,12.5,288.0,
D30_321,15.0,240.0,
D30_321,17.5,205.7142857142857,
D30_321,20.0,180.00000000000003,204.0
D30_321,22.5,160.00000000000003,184.0
D30_321,25.0,144.0,180.0
D30_321,27.5,130.9090909090909,173.45454545454547
D30_321,30.0,120.0,168.0
D30_321,32.5,110.7692307692308,149.5384615384616
D30_321,35.0,102.85714285714288,133.7142857142853
D30_321,37.5,96.0,120.0
D30_321,40.0,90.00000000000001,120.0
D30_321,42.5,84.70588235294119,109.411764705882
D30_321,45.0,80.00000000000001,104.0
D30_321,47.5,75.78947368421053,99.78947368421024
D30_321,50.0,72.0,96.0
D30_322,10.0,432.0,
D30_322,12.5,345.6,
D30_322,15.0,288.0,
D30_322,17.5,246.8571428571429,
D30_322,20.0,216.0,240.0
D30_322,22.5,192.0,204.0
D30_322,25.0,172.79999999999998,180.00000076293935
D30_322,27.5,157.0909090909091,180.0
D30_322,30.0,144.0,180.0
D30_322,32.5,132.92307692307693,176.30769230769235
D30_322,35.0,123.42857142857144,168.0
D30_322,37.5,115.2,158.40000000000003
D30_322,40.0,108.0,150.0
D30_322,42.5,101.64705882352942,142.5882352941175
D30_322,45.0,96.0,136.0
D30_322,47.5,90.94736842105264,130.10526315789434
D30_322,50.0,86.39999999999999,124.80000076293943
D30_323,10.0,504.0000000000001,
D30_323,12.5,403.2000000000001,
D30_323,15.0,336.00000000000006,
D30_323,17.5,288.00000000000006,
D30_323,20.0,252.00000000000009,287.9999999999999
D30_323,22.5,224.00000000000003,251.99999999999991
D30_323,25.0,201.6,223.1999999999995
D30_323,27.5,183.2727272727273,186.5454545454544
D30_323,30.0,168.00000000000003,180.0
D30_323,32.5,155.07692307692312,180.0
D30_323,35.0,144.00000000000003,179.9999999999998
D30_323,37.5,134.40000000000003,180.00000305175786
D30_323,40.0,126.00000000000004,174.0
D30_323,42.5,118.58823529411768,168.70588235294127
D30_323,45.0,112.0,164.0
D30_323,47.5,106.10526315789475,159.78947368421026
D30_323,50.0,100.8,153.6000000953673
D30_324,10.0,432.0000000000001,
D30_324,12.5,345.6000000000001,
D30_324,15.0,288.00000000000006,
D30_324,17.5,246.8571428571429,
D30_324,20.0,216.00000000000009,246.0
D30_324,22.5,192.00000000000003,232.0
D30_324,25.0,172.80000000000004,201.59999999999977
D30_324,27.5,157.09090909090912,180.0
D30_324,30.0,144.00000000000003,168.0
D30_324,32.5,132.92307692307696,163.38461538461544
D30_324,35.0,123.42857142857146,159.42857142857116
D30_324,37.5,115.20000000000005,156.0
D30_324,40.0,108.00000000000004,150.0
D30_324,42.5,101.64705882352943,142.58823529411757
D30_324,45.0,96.0,136.0
