,Time,VID,Type,Pos.x,Pos.y
7921784,15:00:08,34072,I_09_1204235410404,139.943785,35.896962
7921790,15:00:08,33933,I_09_1204235410404,139.949589,35.895557
7921791,15:00:08,33944,I_09_1204235410404,139.949589,35.895557
7921792,15:00:08,33895,I_09_1204235410404,139.949629,35.895324
7921813,15:00:08,34543,I_09_1204235410404,139.94654,35.898161
7921814,15:00:08,34279,I_09_1204235410499,139.946133,35.898056
7921815,15:00:08,34462,I_09_1204235410404,139.946836,35.898176
7921848,15:00:08,33831,I_09_1204235410404,139.949505,35.897715
7921849,15:00:08,33817,I_09_1204235410404,139.948987,35.897978
7921867,15:00:08,33771,I_09_1204235410404,139.948631,35.898017
7921868,15:00:08,34554,I_09_1204235410419,139.94798,35.898086
7921869,15:00:08,33768,I_09_1204235410404,139.947643,35.898119
7921976,15:00:09,34452,I_09_1204235410404,139.939175,35.900505
7921977,15:00:09,34569,I_09_1204235410404,139.939065,35.90064
7921978,15:00:09,34565,I_09_1204235410404,139.939354,35.900285
7921979,15:00:09,34645,I_09_1204235410404,139.939609,35.899969
7921980,15:00:09,34630,I_09_1204235410419,139.940121,35.899288
7921981,15:00:09,34590,I_09_1204235410404,139.939079,35.900623
7921982,15:00:09,34622,I_09_1204235410404,139.939155,35.90053
7921983,15:00:09,34582,I_09_1204235410404,139.939246,35.900418
7921990,15:00:09,34567,I_09_1204235410404,139.940367,35.898895
7921991,15:00:09,34471,I_09_1204235410404,139.941799,35.896133
7921992,15:00:09,34472,I_09_1204235410404,139.941772,35.896188
7921993,15:00:09,34451,I_09_1204235410404,139.941744,35.896243
7921994,15:00:09,34405,I_09_1204235410419,139.941691,35.896351
7921995,15:00:09,34398,I_09_1204235410419,139.941635,35.896462
7921996,15:00:09,33762,I_09_1204235410404,139.94159,35.896553
7921997,15:00:09,34548,I_09_1204235410404,139.945663,35.897843
7921998,15:00:09,34072,I_09_1204235410404,139.943662,35.896904
7922004,15:00:09,33933,I_09_1204235410404,139.949574,35.895646
7922005,15:00:09,33944,I_09_1204235410404,139.949574,35.895646
7922006,15:00:09,33895,I_09_1204235410404,139.949614,35.895413
7922027,15:00:09,34543,I_09_1204235410404,139.946651,35.898169
7922028,15:00:09,34279,I_09_1204235410499,139.946237,35.898093
7922062,15:00:09,33831,I_09_1204235410404,139.949497,35.897645
7922063,15:00:09,33817,I_09_1204235410404,139.948856,35.897992
7922081,15:00:09,34554,I_09_1204235410419,139.948126,35.898072
7922082,15:00:09,33768,I_09_1204235410404,139.947788,35.898105
7922083,15:00:09,34462,I_09_1204235410404,139.947167,35.898167
7922084,15:00:09,33771,I_09_1204235410404,139.948759,35.898003
7922191,15:00:10,34452,I_09_1204235410404,139.939228,35.900441
7922192,15:00:10,33757,I_09_1204235410404,139.939099,35.900599
7922193,15:00:10,34569,I_09_1204235410404,139.939065,35.90064
7922194,15:00:10,34565,I_09_1204235410404,139.939306,35.900344
7922195,15:00:10,34645,I_09_1204235410404,139.939537,35.90006
7922196,15:00:10,34630,I_09_1204235410419,139.940054,35.899384
7922197,15:00:10,34567,I_09_1204235410404,139.940209,35.899151
