scenario,timeslot,count_mean,count_std
no03,2022/10/18 13:45:00,7401.2,109.16120382742498
no03,2022/10/18 14:00:00,8209.0,138.52949524426768
no03,2022/10/18 14:15:00,8424.95,169.14132210109184
no03,2022/10/18 14:30:00,8584.3,145.71460931705184
no03,2022/10/18 14:45:00,8413.45,152.4958929559122
no03,2022/10/18 15:00:00,8475.05,150.13168780843867
no03,2022/10/18 15:15:00,8636.6,156.3021365648494
no03,2022/10/18 15:30:00,8242.45,136.01488889088546
no03,2022/10/18 15:45:00,8063.1,116.46770503358205
no03,2022/10/18 16:00:00,9457.35,87.12077219221834
no03,2022/10/18 16:15:00,9588.9,142.8900571105374
no03,2022/10/18 16:30:00,9143.55,153.929743030623
no03,2022/10/18 16:45:00,9444.15,140.24612763206505
no03,2022/10/18 17:00:00,9988.7,145.97912612136676
no03,2022/10/18 17:15:00,10045.25,188.20058588196787
no03,2022/10/18 17:30:00,9543.05,117.81451746841658
no03,2022/10/18 17:45:00,9883.55,148.24640760713558
no03,2022/10/18 18:00:00,10115.35,96.57518205767825
no03,2022/10/18 18:15:00,9322.5,108.08354468455845
no03,2022/10/18 18:30:00,8623.65,151.14101989445768
no03,2022/10/18 18:45:00,7985.95,155.0227402673557
no04,2022/10/18 06:30:00,6871.2,128.87268299004492
no04,2022/10/18 06:45:00,8031.2,125.37715732519769
no04,2022/10/18 07:00:00,7975.15,128.6874119718008
no04,2022/10/18 07:15:00,9382.75,96.52372220013312
no04,2022/10/18 07:30:00,10250.25,84.83102399228103
no04,2022/10/18 07:45:00,10468.3,147.92996209088514
no04,2022/10/18 08:00:00,11069.9,152.57298512342774
no04,2022/10/18 08:15:00,10999.8,112.24718962605485
no04,2022/10/18 08:30:00,11528.0,148.39243845113538
no04,2022/10/18 08:45:00,10566.65,121.88271972852048
no04,2022/10/18 09:00:00,9485.5,99.46197369108624
no04,2022/10/18 09:15:00,8849.6,111.82053290405746
no04,2022/10/18 09:30:00,9314.3,134.31741667055908
no04,2022/10/18 09:45:00,8920.35,110.84141112893043
no04,2022/10/18 10:00:00,9587.8,116.10050092824528
no04,2022/10/18 10:15:00,8762.9,116.2854473404039
no04,2022/10/18 10:30:00,8363.6,136.08488063279526
no04,2022/10/18 10:45:00,8231.9,104.30920633537484
no04,2022/10/18 11:00:00,8828.5,99.9923681298253
no04,2022/10/18 11:15:00,9414.65,141.15548537917843
no04,2022/10/18 11:30:00,8342.0,138.6866972712234
no04,2022/10/18 11:45:00,8446.4,116.0364733947683
no04,2022/10/18 12:00:00,8759.75,130.82124203821442
no04,2022/10/18 12:15:00,9000.1,113.04535652373752
no04,2022/10/18 12:30:00,8731.2,154.70297516956725
no04,2022/10/18 12:45:00,8540.0,118.24728771786512
no04,2022/10/18 13:00:00,8681.45,100.3763837815085
no04,2022/10/18 13:15:00,8237.35,112.72569174304223
no04,2022/10/18 13:30:00,8229.95,114.59010474409699
no04,2022/10/18 13:45:00,7393.5,98.0437603693798
no04,2022/10/18 14:00:00,8229.2,125.36162427994145
no04,2022/10/18 14:15:00,8439.05,179.14812307138445
no04,2022/10/18 14:30:00,8585.8,122.22309196926078
no04,2022/10/18 14:45:00,8389.75,140.8141272069416
no04,2022/10/18 15:00:00,8516.2,129.84022570269346
no04,2022/10/18 15:15:00,8636.6,142.10018704384152
no04,2022/10/18 15:30:00,8223.5,120.96867798166423
no04,2022/10/18 15:45:00,8093.6,125.59810591934243
no04,2022/10/18 16:00:00,9469.25,149.462854036855
no04,2022/10/18 16:15:00,9592.55,165.1141471193411
no04,2022/10/18 16:30:00,9218.9,137.38876840633841
no04,2022/10/18 16:45:00,9446.7,168.60327149226595
no04,2022/10/18 17:00:00,9969.3,175.49841804655168
no04,2022/10/18 17:15:00,10047.4,145.4811979170104
no04,2022/10/18 17:30:00,9523.5,123.62357976407338
no04,2022/10/18 17:45:00,9842.65,123.94620012858773
no04,2022/10/18 18:00:00,10158.4,127.07743184456672
no04,2022/10/18 18:15:00,9344.25,105.64681727340368
no04,2022/10/18 18:30:00,8559.3,142.92143590835212
no04,2022/10/18 18:45:00,8005.15,113.93870697602476
no05,2022/10/18 06:30:00,6869.9,127.94032325967237
no05,2022/10/18 06:45:00,8033.35,118.66506380742833
no05,2022/10/18 07:00:00,7972.65,130.98383789412227
no05,2022/10/18 07:15:00,9372.85,119.53782708943267
no05,2022/10/18 07:30:00,10238.1,119.24671461876186
no05,2022/10/18 07:45:00,10489.05,142.02574822156296
no05,2022/10/18 08:00:00,11039.1,114.38664809827205
no05,2022/10/18 08:15:00,10985.0,99.71855130157194
no05,2022/10/18 08:30:00,11528.45,152.15624760163647
no05,2022/10/18 08:45:00,10573.3,114.44056145118785
no05,2022/10/18 09:00:00,9477.5,108.71764491465696
no05,2022/10/18 09:15:00,8916.75,90.65427385634419
no05,2022/10/18 09:30:00,9289.1,107.65339117547083
no05,2022/10/18 09:45:00,8931.1,112.6222844172876
no05,2022/10/18 10:00:00,9572.3,123.02122196040628
no05,2022/10/18 10:15:00,8786.8,100.31088517309824
no05,2022/10/18 10:30:00,8387.55,115.78586178577066
no05,2022/10/18 10:45:00,8242.6,72.80500271995507
no05,2022/10/18 11:00:00,8841.6,115.64801406809674
no05,2022/10/18 11:15:00,9389.35,154.60587413093165
no05,2022/10/18 11:30:00,8354.65,109.4134000260625
no05,2022/10/18 11:45:00,8435.45,119.66113338133296
no05,2022/10/18 12:00:00,8785.15,110.67414237062621
no05,2022/10/18 12:15:00,8959.1,112.68395486585719
no05,2022/10/18 12:30:00,8716.65,130.67689160674132
no05,2022/10/18 12:45:00,8523.75,137.93586419629582
no05,2022/10/18 13:00:00,8699.5,113.62241254074392
no05,2022/10/18 13:15:00,8239.5,122.99700467041758
no05,2022/10/18 13:30:00,8261.05,143.88719082743415
no05,2022/10/18 13:45:00,7396.5,111.43773338081063
no05,2022/10/18 14:00:00,8221.25,140.3082602512655
no05,2022/10/18 14:15:00,8427.25,166.09948667495706
no05,2022/10/18 14:30:00,8574.05,132.95922406195785
no05,2022/10/18 14:45:00,8402.9,137.76635445947105
no05,2022/10/18 15:00:00,8498.4,141.67583458467135
no05,2022/10/18 15:15:00,8636.1,137.14989878538788
no05,2022/10/18 15:30:00,8237.3,123.05373237993068
no05,2022/10/18 15:45:00,8066.0,118.03924414318583
no05,2022/10/18 16:00:00,9448.8,87.6059358719488
no05,2022/10/18 16:15:00,9606.95,126.27433585149787
no05,2022/10/18 16:30:00,9145.55,165.79076064663366
no05,2022/10/18 16:45:00,9465.45,148.1601107621503
no05,2022/10/18 17:00:00,9997.95,110.41761634811714
no05,2022/10/18 17:15:00,10029.8,166.53926358606685
no05,2022/10/18 17:30:00,9534.55,109.51110253735644
no05,2022/10/18 17:45:00,9888.7,125.51540060675316
