scenario,link_id,slot_code,HHMM,V_scen,TTT_scen,flow_scen,V_base,TTT_base,flow_base,V_diff,TTT_diff,flow_diff
no03,I_11_533967_-00005_533967_-00006,1215,12:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1230,12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1245,12:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1300,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1315,13:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1330,13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1345,13:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1400,14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1415,14:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1430,14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1445,14:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1500,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1515,15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1530,15:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1545,15:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1600,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1615,16:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1630,16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1645,16:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1700,17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1715,17:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1730,17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1745,17:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1800,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1815,18:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1830,18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00005_533967_-00006,1845,18:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00006_533967_-00001,630,06:30,42.62772972972973,7.5495,2.5,42.61655761024183,8.89421052631579,2.8,0.011172119487902421,-1.3447105263157901,-0.2999999999999998
no03,I_11_533967_-00006_533967_-00001,645,06:45,42.369230769230775,5.95,1.95,41.97234708392604,5.525789473684211,1.7,0.3968836853047364,0.4242105263157896,0.25
no03,I_11_533967_-00006_533967_-00001,700,07:00,42.51046153846154,8.95,2.95,42.25069022869023,8.849,2.9,0.2597713097713097,0.10099999999999909,0.050000000000000266
no03,I_11_533967_-00006_533967_-00001,715,07:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00006_533967_-00001,730,07:30,41.263388051570885,18.1985,5.85,41.6062264425819,17.8495,5.75,-0.3428383910110142,0.3490000000000002,0.09999999999999964
no03,I_11_533967_-00006_533967_-00001,745,07:45,42.07100995732575,7.419999999999999,2.3,42.10626702997276,6.789999999999999,2.1,-0.03525707264701339,0.6299999999999999,0.19999999999999973
no03,I_11_533967_-00006_533967_-00001,800,08:00,41.41733556020499,16.394,5.25,39.839788270773205,16.4515,5.0,1.5775472894317843,-0.057500000000000995,0.25
no03,I_11_533967_-00006_533967_-00001,815,08:15,38.73360474186036,22.2,6.25,40.077477336974894,20.7005,6.45,-1.343872595114533,1.4994999999999976,-0.20000000000000018
no03,I_11_533967_-00006_533967_-00001,830,08:30,42.42985332673758,17.7475,5.85,41.68415383128791,15.949000000000002,5.2,0.7456994954496707,1.798499999999997,0.6499999999999995
no03,I_11_533967_-00006_533967_-00001,845,08:45,42.534000000000006,7.7,2.55,42.84,7.35,2.45,-0.3059999999999974,0.35000000000000053,0.09999999999999964
no03,I_11_533967_-00006_533967_-00001,900,09:00,39.38324845763368,29.694,8.8,37.89901837494544,34.0495,9.15,1.484230082688235,-4.355500000000003,-0.34999999999999964
no03,I_11_533967_-00006_533967_-00001,915,09:15,37.35111198056795,59.841,16.5,37.36751320751459,60.1545,16.4,-0.016401226946641145,-0.31349999999999767,0.10000000000000142
no03,I_11_533967_-00006_533967_-00001,930,09:30,32.72933153334806,60.694500000000005,12.4,32.25099641092251,59.14300000000001,13.0,0.4783351224255483,1.5514999999999972,-0.5999999999999996
no03,I_11_533967_-00006_533967_-00001,945,09:45,30.78311064974781,80.44800000000001,16.9,30.963849394571856,74.9485,16.0,-0.18073874482404406,5.499500000000012,0.8999999999999986
no03,I_11_533967_-00006_533967_-00001,1000,10:00,34.23551245555065,71.5035,16.85,36.21039204507737,60.71,16.6,-1.9748795895267222,10.793500000000002,0.25
no03,I_11_533967_-00006_533967_-00001,1015,10:15,30.629484289728868,86.6085,16.25,34.17475077238278,78.10650000000001,17.8,-3.5452664826539113,8.501999999999995,-1.5500000000000007
no03,I_11_533967_-00006_533967_-00001,1030,10:30,26.4304087351726,103.94750000000002,18.9,30.47821355065556,92.833,20.2,-4.047804815482962,11.114500000000021,-1.3000000000000007
no03,I_11_533967_-00006_533967_-00001,1045,10:45,25.02684569576652,141.41,19.55,25.84159842502823,142.8935,20.2,-0.8147527292617092,-1.4834999999999923,-0.6499999999999986
no03,I_11_533967_-00006_533967_-00001,1100,11:00,7.126210481367082,703.4935,30.15,8.474674298752765,659.182,31.1,-1.3484638173856833,44.311500000000024,-0.9500000000000028
no03,I_11_533967_-00006_533967_-00001,1115,11:15,14.080550281256413,237.692,17.55,15.747232184225249,202.303,16.0,-1.6666819029688362,35.38900000000001,1.5500000000000007
no03,I_11_533967_-00006_533967_-00001,1130,11:30,17.145571283636038,172.3935,18.85,23.253607189101864,120.3995,18.1,-6.108035905465826,51.993999999999986,0.75
no03,I_11_533967_-00006_533967_-00001,1145,11:45,32.897776218346664,84.59700000000001,17.55,33.92809555350687,77.90950000000001,18.6,-1.0303193351602076,6.6875,-1.0500000000000007
no03,I_11_533967_-00006_533967_-00001,1200,12:00,16.991667364603202,184.4415,18.5,18.038854659537247,186.788,18.15,-1.0471872949340444,-2.3465000000000202,0.3500000000000014
no03,I_11_533967_-00006_533967_-00001,1215,12:15,19.203571315862533,186.447,18.0,18.31318076777637,186.9005,18.15,0.8903905480861631,-0.45349999999999113,-0.14999999999999858
no03,I_11_533967_-00006_533967_-00001,1230,12:30,21.776429508414164,178.9015,24.1,21.47013993151839,178.508,23.1,0.3062895768957752,0.39349999999998886,1.0
no03,I_11_533967_-00006_533967_-00001,1245,12:45,36.63346368163768,55.760000000000005,14.05,37.67109809716811,44.3045,12.75,-1.0376344155304338,11.455500000000008,1.3000000000000007
no03,I_11_533967_-00006_533967_-00001,1300,13:00,33.90860706605987,74.757,18.45,32.65014772024715,78.4425,18.25,1.2584593458127245,-3.6854999999999905,0.1999999999999993
no03,I_11_533967_-00006_533967_-00001,1315,13:15,22.12653254637644,169.0135,21.45,22.51552764685128,175.2045,20.6,-0.3889951004748404,-6.1910000000000025,0.8499999999999979
no03,I_11_533967_-00006_533967_-00001,1330,13:30,25.53338358237735,133.514,21.55,26.048312961597595,132.136,21.15,-0.514929379220245,1.3780000000000143,0.40000000000000213
no03,I_11_533967_-00006_533967_-00001,1345,13:45,35.81088664942274,77.24449999999999,19.55,36.75068533704077,78.213,19.75,-0.9397986876180298,-0.9685000000000059,-0.1999999999999993
no03,I_11_533967_-00006_533967_-00001,1400,14:00,24.010599196743943,126.692,17.6,29.482166075335236,84.256,17.85,-5.471566878591293,42.43599999999999,-0.25
no03,I_11_533967_-00006_533967_-00001,1415,14:15,33.074061187795685,86.295,19.8,35.76139901465768,72.2225,19.25,-2.6873378268619916,14.072500000000005,0.5500000000000007
no03,I_11_533967_-00006_533967_-00001,1430,14:30,26.37825048297768,98.659,16.4,27.62712534760858,88.322,17.05,-1.2488748646308991,10.337000000000003,-0.6500000000000021
no03,I_11_533967_-00006_533967_-00001,1445,14:45,28.59585252693035,102.949,18.75,32.89874274825498,73.05850000000001,17.65,-4.302890221324631,29.89049999999999,1.1000000000000014
no03,I_11_533967_-00006_533967_-00001,1500,15:00,11.507114182875608,379.0825,22.6,13.526291148884104,323.5515,22.85,-2.019176966008496,55.531000000000006,-0.25
no03,I_11_533967_-00006_533967_-00001,1515,15:15,21.145360881999675,191.746,20.25,25.20110589129433,148.0475,20.6,-4.055745009294654,43.698499999999996,-0.3500000000000014
no03,I_11_533967_-00006_533967_-00001,1530,15:30,11.95800532495734,369.752,21.95,15.023615191252707,291.025,23.3,-3.065609866295368,78.72700000000003,-1.3500000000000014
no03,I_11_533967_-00006_533967_-00001,1545,15:45,20.91826404035331,225.35,20.75,27.17592336364237,122.8145,19.55,-6.257659323289058,102.5355,1.1999999999999993
no03,I_11_533967_-00006_533967_-00001,1600,16:00,6.971163119499043,493.2195,21.85,8.737307658202784,456.6385,21.8,-1.7661445387037409,36.58099999999996,0.05000000000000071
no03,I_11_533967_-00006_533967_-00001,1615,16:15,4.046745184931996,898.961,25.35,6.07738515069928,610.638,22.85,-2.030639965767284,288.323,2.5
no03,I_11_533967_-00006_533967_-00001,1630,16:30,14.61341779313021,233.446,15.1,25.12913694120294,107.202,15.5,-10.51571914807273,126.244,-0.40000000000000036
no03,I_11_533967_-00006_533967_-00001,1645,16:45,40.21017242212001,51.161,16.0,39.58140885773654,49.7405,15.25,0.628763564383469,1.420500000000004,0.75
no03,I_11_533967_-00006_533967_-00001,1700,17:00,34.28899828653223,49.8415,10.85,35.74813746154991,39.193,9.85,-1.4591391750176825,10.648500000000006,1.0
no03,I_11_533967_-00006_533967_-00001,1715,17:15,35.67643007970472,58.8895,13.25,37.37874178174299,51.0415,14.4,-1.7023117020382657,7.847999999999999,-1.1500000000000004
no03,I_11_533967_-00006_533967_-00001,1730,17:30,23.91408881322348,101.908,13.25,27.76554311729992,69.739,12.35,-3.851454304076441,32.169,0.9000000000000004
no03,I_11_533967_-00006_533967_-00001,1745,17:45,23.601233197535045,158.946,14.5,30.14243391791464,75.999,13.45,-6.541200720379596,82.947,1.0500000000000007
no03,I_11_533967_-00006_533967_-00001,1800,18:00,28.364669474483534,70.5455,8.1,38.02332479406327,27.734500000000004,7.45,-9.658655319579736,42.811,0.6499999999999995
no03,I_11_533967_-00006_533967_-00001,1815,18:15,31.879592193228405,43.6985,7.8,38.16954005925963,30.249,8.4,-6.289947866031227,13.449500000000004,-0.6000000000000005
no03,I_11_533967_-00006_533967_-00001,1830,18:30,42.066940939620615,17.797,5.8,41.37329103638755,14.701,4.7,0.6936499032330659,3.096,1.0999999999999996
no03,I_11_533967_-00006_533967_-00001,1845,18:45,40.39698932595866,27.148000000000003,7.9,40.42191907838995,27.499,8.45,-0.024929752431290808,-0.35099999999999554,-0.5499999999999989
no03,I_11_533967_-00008_533967_-00009,630,06:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,645,06:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,700,07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,715,07:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,730,07:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,745,07:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,800,08:00,46.440000000000005,16.470588235294116,1.0,46.440000000000005,17.5,1.0,0.0,-1.029411764705884,0.0
no03,I_11_533967_-00008_533967_-00009,815,08:15,46.22076585742095,24.420526315789477,1.65,46.2994301042449,24.420526315789477,1.65,-0.07866424682394779,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,830,08:30,45.74238617802055,26.466,1.4,46.0584531400933,28.28428571428572,1.4,-0.3160669620727461,-1.818285714285718,0.0
no03,I_11_533967_-00008_533967_-00009,845,08:45,46.179034482758624,24.22222222222222,1.55,46.179034482758624,25.0,1.6,0.0,-0.7777777777777786,-0.050000000000000044
no03,I_11_533967_-00008_533967_-00009,900,09:00,45.73653952827371,25.82294117647059,1.55,46.38058618283322,24.16611111111111,1.55,-0.64404665455951,1.656830065359479,0.0
no03,I_11_533967_-00008_533967_-00009,915,09:15,46.35103448275863,24.944444444444443,1.6,46.440000000000005,24.11111111111111,1.55,-0.0889655172413768,0.8333333333333321,0.050000000000000044
no03,I_11_533967_-00008_533967_-00009,930,09:30,46.15518617802056,25.39933333333333,1.35,46.33324137931035,25.266666666666666,1.35,-0.17805520128979424,0.13266666666666538,0.0
no03,I_11_533967_-00008_533967_-00009,945,09:45,46.22648275862069,23.466666666666665,1.25,46.12684137931035,23.466666666666665,1.25,0.09964137931034145,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1000,10:00,46.246500000000005,23.75,1.35,46.440000000000005,23.625,1.35,-0.19350000000000023,0.125,0.0
no03,I_11_533967_-00008_533967_-00009,1015,10:15,46.339913793103456,17.5625,1.0,46.440000000000005,17.5,1.0,-0.1000862068965489,0.0625,0.0
no03,I_11_533967_-00008_533967_-00009,1030,10:30,46.35103448275863,23.38888888888889,1.5,46.35571687840291,23.63157894736842,1.6,-0.004682395644280746,-0.24269005847953196,-0.10000000000000009
no03,I_11_533967_-00008_533967_-00009,1045,10:45,46.04855172413793,18.83333333333333,0.8,46.440000000000005,17.818181818181817,0.7,-0.391448275862075,1.015151515151512,0.10000000000000009
no03,I_11_533967_-00008_533967_-00009,1100,11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1115,11:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1130,11:30,46.440000000000005,14.0,0.55,46.440000000000005,14.0,0.6,0.0,0.0,-0.04999999999999993
no03,I_11_533967_-00008_533967_-00009,1145,11:45,46.440000000000005,14.0,0.45,46.053,14.125,0.4,0.38700000000000756,-0.125,0.04999999999999999
no03,I_11_533967_-00008_533967_-00009,1200,12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1215,12:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
