scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no08,533967_00532_11490_1,830,08:30,5764.3305,5800.38,36.04950000000008
no08,533967_00532_11490_1,845,08:45,6469.522999999999,6665.9473684210525,196.42436842105326
no08,533967_00532_11490_1,900,09:00,4912.5605000000005,5224.58947368421,312.02897368420963
no08,533967_00532_11490_1,915,09:15,5124.128500000001,5174.812631578948,50.68413157894702
no08,533967_00532_11490_1,930,09:30,7216.411,7335.512105263158,119.10110526315839
no08,533967_00532_11490_1,945,09:45,4251.759,4319.868947368421,68.10994736842076
no08,533967_00532_11490_1,1000,10:00,3832.8215,3837.801052631579,4.9795526315788265
no08,533967_00532_11490_1,1015,10:15,3341.6265,3347.5105263157893,5.88402631578947
no08,533967_00532_11490_1,1030,10:30,3631.7545,3619.8578947368414,-11.896605263158563
no08,533967_00532_11490_1,1045,10:45,3517.8675000000003,3512.2331578947365,-5.6343421052638405
no08,533967_00532_11490_1,1100,11:00,3936.1165,3977.258947368421,41.14244736842102
no08,533967_00532_11490_1,1115,11:15,3737.102,3793.786842105263,56.684842105263215
no08,533967_00532_11490_1,1130,11:30,4448.4955,4418.645263157894,-29.850236842105915
no08,533967_00532_11490_1,1145,11:45,3603.8165,3610.454210526316,6.637710526315914
no08,533967_00532_11490_1,1200,12:00,3451.3105,3561.558947368421,110.24844736842078
no08,533967_00532_11490_1,1215,12:15,3745.3415,3676.5894736842106,-68.75202631578941
no08,533967_00532_11490_1,1230,12:30,4114.638,4038.759473684211,-75.8785263157888
no08,533967_00532_11490_1,1245,12:45,3863.2845,3831.258421052632,-32.026078947368205
no08,533967_00532_11490_1,1300,13:00,4594.254,4570.072105263158,-24.18189473684197
no08,533967_00532_11490_1,1315,13:15,3946.252,4049.31,103.05799999999999
no08,533967_00532_11490_1,1330,13:30,4840.035,5020.042105263158,180.00710526315834
no08,533967_00532_11490_1,1345,13:45,4035.305,4102.386842105264,67.08184210526406
no08,533967_00532_11490_1,1400,14:00,4999.5645,5022.483684210526,22.9191842105256
