scenario,slot_code,link_id,V_link_kmh_mean,V_link_kmh_std,TTT_sec_mean,TTT_sec_std,flow_veh_mean,flow_veh_std,n_runs,hhmm
no07,0630,533967_00535_00538_0,16.592153174688782,1.018442155609604,2082.882631578947,186.44163086732485,59.05263157894737,4.116007831362356,19,06:30
no07,0630,533967_00535_00538_1,14.850275645153484,1.5820035675184931,573.2036842105264,85.40072880319558,13.526315789473685,1.8369183449048443,19,06:30
no07,0630,533967_00535_00609_0,29.974439790103904,0.03793894820030626,4278.728421052631,145.58087348668496,69.52631578947368,2.3420888362654084,19,06:30
no07,0630,533967_00535_00609_1,18.5221978688697,1.2675255856349088,8813.63052631579,861.547321331888,87.63157894736842,4.219143229453496,19,06:30
no07,0630,533967_00535_11512_0,43.906788462968954,0.4036757897414302,303.3342105263158,25.188458625990126,25.526315789473685,2.064741604835056,19,06:30
no07,0630,533967_00535_11512_1,14.170144280690941,0.9847849308902396,4174.072105263158,391.65843592172877,111.94736842105263,3.7189258337220354,19,06:30
no07,0630,533967_00535_14018_0,42.33484465935199,0.5414422352187357,954.248947368421,41.76732214100406,85.57894736842105,3.4691623944834626,19,06:30
no07,0630,533967_00535_14018_1,13.518739584457652,1.5805118890867451,1549.7236842105262,183.57879438209528,43.63157894736842,1.3000224919331849,19,06:30
no07,0630,533967_00536_11512_0,30.113865202090693,0.17515453859162985,1662.59,22.990798400906215,118.15789473684211,1.5727950313140981,19,06:30
no07,0630,533967_00536_11512_1,43.29089994512386,0.20170619057586842,202.92052631578946,17.16162789276776,25.105263157894736,2.1316330943956583,19,06:30
no07,0630,533967_00538_00539_0,22.69876828460019,0.6757412458940119,5109.856842105263,244.8638534426977,118.89473684210526,3.680198316548007,19,06:30
