scenario,run,V_net,TTT,traffic_total
no08,Case1_no08_r04_volspd.csv,26.883042438128648,11860423.54,502072
no08,Case1_no08_r05_volspd.csv,26.844912295085862,11881535.489999998,502441
no08,Case1_no08_r06_volspd.csv,27.02966704692104,11797304.629999999,502053
no08,Case1_no08_r07_volspd.csv,26.857853002843626,11876814.240000002,502141
no08,Case1_no08_r08_volspd.csv,26.888040985850676,11860276.46,501922
no08,Case1_no08_r09_volspd.csv,26.866132665769854,11866596.8,502006
no08,Case1_no08_r11_volspd.csv,26.748428697970947,11926992.49,502533
no08,Case1_no08_r12_volspd.csv,26.75551993766827,11920477.450000001,502217
no08,Case1_no08_r13_volspd.csv,26.868448943489206,11881048.48,502610
no08,Case1_no08_r14_volspd.csv,27.03134172197875,11797404.12,502103
no08,Case1_no08_r15_volspd.csv,26.724093610503058,11929817.74,502416
no08,Case1_no08_r16_volspd.csv,26.78381680654526,11907118.86,502314
no08,Case1_no08_r17_volspd.csv,26.68775367492241,11949882.93,502156
no08,Case1_no08_r18_volspd.csv,26.80268214812242,11899054.99,502213
no08,Case1_no08_r19_volspd.csv,26.613544889754728,11991495.459999999,502469
no08,Case1_no08_r20_volspd.csv,26.911836791214267,11839252.84,501984
