scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_veh_mean,flow_veh_std
no02,2022/10/18 14:45:00,1445,28.934294501474135,0.2866343561557378,209867.15099999998,4537.45149257285,9345.95,128.55614173950366
no02,2022/10/18 15:00:00,1500,27.21765248705495,0.5284178038004202,222756.91749999998,4987.2739835187385,9435.95,141.90711380113555
no02,2022/10/18 15:15:00,1515,27.138339405982215,0.5089311563205685,226140.794,8026.945072686774,9626.7,163.32018923123437
no02,2022/10/18 15:30:00,1530,27.276469489590465,0.45514625985963236,219591.85,5504.354690435175,9130.5,113.37757134552922
no02,2022/10/18 15:45:00,1545,27.483551353549508,0.4592328692326399,212009.654,6346.599615566552,8965.5,134.44721131945823
no02,2022/10/18 16:00:00,1600,24.855899088694958,0.23187777125117645,270707.012,5076.021209951727,10561.15,148.499964557855
no02,2022/10/18 16:15:00,1615,24.858007466892033,0.4174125261595662,268265.5425,7653.764403365165,10601.05,163.92311259278003
no02,2022/10/18 16:30:00,1630,24.157844687676025,0.5080219399768675,263462.07149999996,8156.040505065314,10148.1,166.0373768954321
no02,2022/10/18 16:45:00,1645,25.021966211902253,0.5685180837056879,270280.57050000003,7884.34674881116,10492.15,142.0742115197103
no02,2022/10/18 17:00:00,1700,24.142794090963044,0.8305285035266745,292085.125,12485.165058037772,11070.5,146.6695175161527
no02,2022/10/18 17:15:00,1715,26.900039204375254,0.5575794399910452,269271.736,8224.84781400938,11117.8,143.0294780069738
no02,2022/10/18 17:30:00,1730,26.850890775299536,0.5301613062925786,252694.596,5569.462841920265,10565.05,133.77415177907346
no02,2022/10/18 17:45:00,1745,25.942395339194928,0.7232700643868478,271750.9765,8716.1957627289,10960.05,107.15825728922239
no02,2022/10/18 18:00:00,1800,25.919856571467683,0.7992296638347549,273414.32999999996,7556.220935183481,11250.05,124.05494326051037
no02,2022/10/18 18:15:00,1815,27.241224291469972,0.632822446712168,243729.992,7479.515993978135,10297.3,133.83379323073206
no02,2022/10/18 18:30:00,1830,27.847867482145347,0.4512542688963274,214897.1185,6121.634555424828,9433.05,167.93027218399146
no02,2022/10/18 18:45:00,1845,28.681745816057678,0.415393404916684,194435.3635,5084.018063818667,8854.8,131.78635022362192
no03,2022/10/18 06:30:00,0630,27.81107792298412,0.438400089894573,169358.565,5017.005420758588,7861.1,129.26020269208945
no03,2022/10/18 06:45:00,0645,25.479233301086346,0.3672872924379622,218067.98850000004,5230.66485542937,8988.9,125.09613145602565
no03,2022/10/18 07:00:00,0700,26.84050228951194,0.3688596136718275,208465.993,3839.099235610381,8908.15,131.65396230069777
no03,2022/10/18 07:15:00,0715,26.28831055919997,0.46144185424365913,253235.05299999999,5557.096776275883,10528.5,119.93002345666328
no03,2022/10/18 07:30:00,0730,24.676335405753708,0.4091512404147926,291593.5965,7371.21197254011,11407.2,123.0496690472248
no03,2022/10/18 07:45:00,0745,24.885747882283276,0.45782793346629985,282896.2465,6837.929820491834,11661.7,131.7350211199505
no03,2022/10/18 08:00:00,0800,23.72377061362987,0.5182917389622529,322427.8335,9051.692429906352,12294.95,130.108244408869
no03,2022/10/18 08:15:00,0815,24.651706250388173,0.7405357440559854,314766.664,11114.381087817057,12195.0,103.89924269011318
no03,2022/10/18 08:30:00,0830,24.300066166547197,0.400143329783058,326491.124,7265.014671208722,12843.75,164.32761724516587
no03,2022/10/18 08:45:00,0845,24.628677061178653,0.6672239815532006,303976.87450000003,9992.327422215134,11760.75,122.71956692094025
no03,2022/10/18 09:00:00,0900,25.95722880010743,0.5896337652606157,263566.6485,8047.913013789913,10502.75,114.22455953077719
no03,2022/10/18 09:15:00,0915,27.07900638119803,0.6460699634339101,226916.792,6324.032728587705,9932.05,97.08459414887959
no03,2022/10/18 09:30:00,0930,26.664776035563243,1.066696154404595,243409.771,10266.595863409544,10373.55,121.56240545930564
no03,2022/10/18 09:45:00,0945,27.908913528737635,0.30008793454435734,225532.661,4668.81205666067,9980.2,115.1496052053475
no03,2022/10/18 10:00:00,1000,25.922409976272924,0.8234307660565079,255725.89500000002,6875.256575019774,10697.8,121.32496597329452
no03,2022/10/18 10:15:00,1015,25.115951750572897,0.8734722671732917,249669.30750000002,10589.090448933937,9738.4,129.61254000410526
no03,2022/10/18 10:30:00,1030,28.089641382117584,0.4333703969695994,212919.53849999997,4791.918667287421,9342.0,112.72276191005784
no03,2022/10/18 10:45:00,1045,28.969347049079193,0.2059188336931329,202760.5625,2499.427812694807,9139.25,63.20299376653477
no03,2022/10/18 11:00:00,1100,27.46257045773707,0.3901533276535306,227571.8895,4955.044962834373,9864.5,96.73811636524009
no03,2022/10/18 11:15:00,1115,26.98667943404937,0.7402299171492877,238114.54100000003,8592.513608322004,10408.2,143.3018896558844
no03,2022/10/18 11:30:00,1130,28.071585307821202,0.38807909396065315,209272.91950000002,4305.434024911796,9278.8,105.04164587639069
no03,2022/10/18 11:45:00,1145,28.556680500024775,0.2708653624769762,213015.6955,4404.168408343071,9371.7,123.90408004836517
no03,2022/10/18 12:00:00,1200,27.8555864474116,0.3365154090406038,221723.89700000003,4752.811600953584,9772.6,111.84688782344156
no03,2022/10/18 12:15:00,1215,28.121139956097704,0.33342999662558365,228873.24300000002,4705.137085681319,9955.05,126.39515105622654
no03,2022/10/18 12:30:00,1230,27.878454907362162,0.3602970786781936,214250.027,5165.032903929536,9702.5,127.4282047602534
no03,2022/10/18 12:45:00,1245,28.891656208815572,0.2856042634747921,212546.5785,4121.493435992498,9467.35,125.6977473314877
no03,2022/10/18 13:00:00,1300,28.65505712668143,0.2618833879088834,219550.26349999997,4170.92215175024,9668.7,108.42513788930945
no03,2022/10/18 13:15:00,1315,28.823554427475038,0.29832290713035814,207596.292,5581.1633020871395,9137.65,148.89143872740217
no03,2022/10/18 13:30:00,1330,28.294835625549347,0.1887600072109297,205591.902,4632.4585889007085,9184.9,146.2787173784856
no03,2022/10/18 13:45:00,1345,28.45900868895161,0.2500357164306488,186446.5725,3381.2488137884857,8167.1,108.89874582429894
no03,2022/10/18 14:00:00,1400,28.385603522082768,0.3034758400068468,203308.1575,5062.4945093790875,9139.95,138.66334657799996
no03,2022/10/18 14:15:00,1415,28.248766325004983,0.4080806782706992,217862.24649999998,7078.9375056640865,9357.35,169.0587798744317
no03,2022/10/18 14:30:00,1430,29.04156239116253,0.280149197443606,211183.7255,5247.000767165621,9513.0,146.06235150207576
no03,2022/10/18 14:45:00,1445,28.605952443780478,0.46071348486971486,212382.44249999998,6284.97280937708,9351.25,152.3655144709588
no03,2022/10/18 15:00:00,1500,27.028815641242467,0.5001972036802662,223949.158,6188.125453409347,9400.25,150.03609214908428
no03,2022/10/18 15:15:00,1515,26.803167509115838,0.49198178880729215,228074.0465,5716.328238114573,9609.6,156.65160808555214
