link_id,TTT_mean,TTT_std,V_mean,V_std,flow_mean,flow_std
533967_00933_00944_1,18140.889499999997,23.605302364868123,50.10047693459178,0.053620808657700664,2843.05,2.089447169392963
533967_00533_11505_0,17800.807500000003,257.4966697766256,30.04344067568631,0.019547842673766178,675.25,9.824111048575169
533967_00933_00943_0,17356.5755,17.415929633527913,54.75056793226897,0.057804499825575874,3450.55,1.2763022245616893
533967_01555_14156_0,15760.1005,185.00572140441625,49.16366935564517,0.0917410206619668,1472.15,17.110400038388484
533967_00533_11502_0,14952.0125,17.906265846874675,32.75155853985323,0.030314699805350696,2446.55,2.6252819397462535
533967_00938_01417_0,14829.035999999998,20.51733013307221,49.77749254373629,0.057140193869733985,3603.55,1.7910596686995843
533967_00539_11517_0,14192.495,38.19449140496874,19.492169924749568,0.01063454803066961,271.25,0.7163503994113664
533967_13107_13108_0,14039.6255,9.740738907992302,49.984181915337224,0.0267247599197303,1270.75,0.4442616583193159
533967_00938_01409_1,13881.0565,1209.6198502064271,36.557586791083295,3.428041235338856,2350.8,0.5231483637805839
533967_00608_00609_0,13785.126999999999,80.11334536964351,65.47380999759984,0.37664624771302296,4017.7,0.4701623459816476
I_11_533967_01657533967_01413,13558.048999999999,62.4642144204016,46.02996848820034,0.21642396871007663,1188.15,0.9333020044867324
533967_01654_01661_0,13291.2,122.01916553515152,30.457523923530466,0.26074639228093816,2439.1,13.916669292992761
533967_00285_11497_0,12813.938,108.65627773178255,51.82082975787205,0.4256984015633831,1270.25,0.7863975156570255
533967_13107_13108_1,10794.511999999999,34.380902379388786,45.45497759468079,0.004459039717553161,981.25,3.092861049850805
533967_00285_11497_1,10346.521499999999,36.255136155192744,49.54002564231505,0.07930245991516503,981.25,3.092861049850805
533967_00944_13715_1,9861.180499999999,18.942558176317604,49.93311249094588,0.09882671504015345,2843.6,2.0365088806712177
533967_00609_11505_0,8650.2105,86.81798731132557,29.66997546804526,0.01883479300026276,271.9,2.7701415506299103
533967_00533_11505_1,7142.5385,70.79727769632473,30.184395289613537,0.0506778175968062,271.35,2.7003898354048617
533967_00532_11497_0,6980.945999999999,30.418535104352824,45.13739028140358,0.13441769847183282,981.25,3.092861049850805
533967_00285_11494_1,6349.7925000000005,3.839751739507781,44.29713987907668,0.009930978494244848,1270.45,0.6863327411532456
533967_01409_01410_1,6163.823,199.09468765811943,57.213134482480214,1.171955004214293,995.1,24.191995196323653
I_11_533967_-00006_533967_-00001,5682.3385,819.3062134145796,16.499555925857038,2.3975338896875,715.8,21.955936734622302
533967_01412_01414_1,5324.3995,146.4178367576487,55.80475163444229,0.04658362707301721,589.95,15.899271747638739
533967_00285_11494_0,4381.4505,21.777974502259124,49.66507122281729,0.19054273789767434,981.25,3.092861049850805
533967_00939_00940_1,4146.243,343.26905528585326,24.0246423244519,1.0212940775214927,569.6,42.59528019319562
533967_10598_11494_0,3814.2385000000004,2.2109970958584957,57.32333569609083,0.021112957396183726,1270.6,0.5982430416161022
533967_10598_13108_1,3811.8,1.7947291248483692,51.12,1.6300968317080004e-15,1270.6,0.5982430416161022
533967_10598_11494_1,3073.4305,13.049560781074126,48.733617575022095,0.1647938588648123,981.25,3.092861049850805
533967_10598_13108_0,3034.593,15.520797286900354,49.5903354828391,0.16857682815102504,981.25,3.092861049850805
533967_00939_00940_0,1288.986,52.48997091174455,37.57363686775761,0.8395874357000009,291.65,8.480783230959638
I_11_533967_-00008_533967_-00009,474.1445,7.122180679509533,46.21118828689218,0.11370995350446078,33.7,0.470162345981627
I_11_533967_-00009_533967_-00008,470.1005,19.816497771992115,50.74607714090223,1.9826355995763962,32.95,0.2236067977499791
533967_01406_01408_0,66.44,209.30734742051106,21.354906054279752,0.21907024285612406,2.75,8.650372672227542
533967_01268_13716_1,57.145,187.41227201013274,17.065563660960933,3.865571583901836,2.75,8.650372672227542
533967_01408_13716_0,51.205,160.9821403464568,19.980820250643667,0.07583775358507447,2.75,8.650372672227542
533967_01405_01406_0,11.495000000000001,36.031524720502894,27.04082444692026,0.6836978665777925,2.75,8.650372672227542
533967_01555_13718_0,0.0,0.0,,,0.0,0.0
533967_01555_13718_1,0.0,0.0,,,0.0,0.0
533967_01413_01414_0,0.0,0.0,,,0.0,0.0
533967_01418_01419_0,0.0,0.0,,,0.0,0.0
533967_01418_01419_1,0.0,0.0,,,0.0,0.0
533967_01406_01408_1,0.0,0.0,,,0.0,0.0
533967_01407_01408_0,0.0,0.0,,,0.0,0.0
533967_01407_01408_1,0.0,0.0,,,0.0,0.0
533967_01412_01413_0,0.0,0.0,,,0.0,0.0
533967_01409_01417_0,0.0,0.0,,,0.0,0.0
533967_01408_01644_0,0.0,0.0,,,0.0,0.0
533967_01408_01644_1,0.0,0.0,,,0.0,0.0
533967_01408_13716_1,0.0,0.0,,,0.0,0.0
533967_00319_87770_1,0.0,0.0,,,0.0,0.0
533967_00319_01435_0,0.0,0.0,,,0.0,0.0
533967_00978_01607_0,0.0,0.0,,,0.0,0.0
533967_00978_01607_1,0.0,0.0,,,0.0,0.0
533967_01268_13716_0,0.0,0.0,,,0.0,0.0
533967_00978_87768_1,0.0,0.0,,,0.0,0.0
533967_00978_87768_0,0.0,0.0,,,0.0,0.0
533967_01405_01406_1,0.0,0.0,,,0.0,0.0
533967_00319_87770_0,0.0,0.0,,,0.0,0.0
533967_00319_01435_1,0.0,0.0,,,0.0,0.0
533967_01555_01556_1,0.0,0.0,,,0.0,0.0
533967_01555_01556_0,0.0,0.0,,,0.0,0.0
533967_01424_01605_0,0.0,0.0,,,0.0,0.0
533967_01424_01605_1,0.0,0.0,,,0.0,0.0
533967_01424_01604_0,0.0,0.0,,,0.0,0.0
533967_01424_01604_1,0.0,0.0,,,0.0,0.0
533967_01419_01608_1,0.0,0.0,,,0.0,0.0
533967_01419_01608_0,0.0,0.0,,,0.0,0.0
533967_01424_01425_1,0.0,0.0,,,0.0,0.0
533967_01424_01425_0,0.0,0.0,,,0.0,0.0
533967_01418_01421_1,0.0,0.0,,,0.0,0.0
533967_01606_01607_0,0.0,0.0,,,0.0,0.0
533967_01606_01609_0,0.0,0.0,,,0.0,0.0
533967_01606_01607_1,0.0,0.0,,,0.0,0.0
533967_00818_01603_1,0.0,0.0,,,0.0,0.0
533967_00818_01603_0,0.0,0.0,,,0.0,0.0
533967_01605_01607_0,0.0,0.0,,,0.0,0.0
533967_01605_01607_1,0.0,0.0,,,0.0,0.0
533967_01604_01605_1,0.0,0.0,,,0.0,0.0
533967_01604_01605_0,0.0,0.0,,,0.0,0.0
533967_01603_01608_1,0.0,0.0,,,0.0,0.0
533967_01603_01608_0,0.0,0.0,,,0.0,0.0
533967_01602_01608_0,0.0,0.0,,,0.0,0.0
533967_01602_01608_1,0.0,0.0,,,0.0,0.0
533967_01556_01656_0,0.0,0.0,,,0.0,0.0
533967_01556_01656_1,0.0,0.0,,,0.0,0.0
533967_01556_88302_0,0.0,0.0,,,0.0,0.0
533967_01556_88302_1,0.0,0.0,,,0.0,0.0
533967_01602_01603_0,0.0,0.0,,,0.0,0.0
533967_01602_01603_1,0.0,0.0,,,0.0,0.0
533967_14021_88656_1,0.0,0.0,,,0.0,0.0
533967_14021_88656_0,0.0,0.0,,,0.0,0.0
533967_13891_72276_1,0.0,0.0,,,0.0,0.0
533967_13891_72276_0,0.0,0.0,,,0.0,0.0
533967_13715_72472_1,0.0,0.0,,,0.0,0.0
533967_13715_72472_0,0.0,0.0,,,0.0,0.0
533967_13308_88665_1,0.0,0.0,,,0.0,0.0
533967_13308_88665_0,0.0,0.0,,,0.0,0.0
533967_12969_87770_0,0.0,0.0,,,0.0,0.0
533967_12969_87770_1,0.0,0.0,,,0.0,0.0
533967_11518_13596_0,0.0,0.0,,,0.0,0.0
533967_11518_13596_1,0.0,0.0,,,0.0,0.0
533967_11513_88894_1,0.0,0.0,,,0.0,0.0
533967_11513_88894_0,0.0,0.0,,,0.0,0.0
533967_11505_85937_0,0.0,0.0,,,0.0,0.0
533967_11505_85937_1,0.0,0.0,,,0.0,0.0
533967_01656_87767_0,0.0,0.0,,,0.0,0.0
533967_01656_87767_1,0.0,0.0,,,0.0,0.0
533967_01658_01659_0,0.0,0.0,,,0.0,0.0
533967_01658_01659_1,0.0,0.0,,,0.0,0.0
533967_01603_01606_1,0.0,0.0,,,0.0,0.0
533967_01603_01606_0,0.0,0.0,,,0.0,0.0
533967_01604_01606_0,0.0,0.0,,,0.0,0.0
533967_01604_01606_1,0.0,0.0,,,0.0,0.0
533967_01606_01609_1,0.0,0.0,,,0.0,0.0
533967_87767_88200_0,0.0,0.0,,,0.0,0.0
533967_87768_88199_0,0.0,0.0,,,0.0,0.0
533967_87767_88200_1,0.0,0.0,,,0.0,0.0
533967_14156_88894_0,0.0,0.0,,,0.0,0.0
533967_14156_88894_1,0.0,0.0,,,0.0,0.0
533967_72276_88656_0,0.0,0.0,,,0.0,0.0
