slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1130,no04,28.06905465360207,209151.969,247.2,11:30
1145,no04,28.50955987023242,213475.964,249.25,11:45
1200,no04,27.901941253729508,220976.6815,224.65,12:00
1215,no04,27.954046037608908,231638.4165,241.6,12:15
1230,no04,27.890390254095376,214522.974,276.85,12:30
1245,no04,28.930501202574373,212871.4245,309.1,12:45
1300,no04,28.6852679677728,218823.33650000003,275.2,13:00
1315,no04,28.88876776606365,207353.4265,240.7,13:15
1330,no04,28.37826710378561,204161.324,262.4,13:30
1345,no04,28.49969511216194,185834.77,209.6,13:45
1400,no04,28.41982086252268,203732.0565,310.75,14:00
1415,no04,28.40293630133521,216784.2065,224.45,14:15
1430,no04,29.060664156296365,211038.5045,288.2,14:30
1445,no04,28.700424197356256,211241.8015,355.55,14:45
1500,no04,27.05929803886816,224341.6785,259.9,15:00
1515,no04,26.819570059957837,228100.1635,346.45,15:15
1530,no04,27.13675540834721,220927.781,280.8,15:30
1545,no04,27.25768937233681,214630.4745,264.6,15:45
1600,no04,24.69778498778433,272112.238,283.1,16:00
1615,no04,24.613595262454638,270817.172,266.8,16:15
1630,no04,24.0084372742694,266631.7805,240.25,16:30
1645,no04,25.107949182952808,269633.843,211.35,16:45
1700,no04,24.03221339287223,292490.9195,365.3,17:00
1715,no04,26.544519885081428,273016.73,295.9,17:15
1730,no04,26.63525313514562,254410.0665,286.25,17:30
1745,no04,25.35954305539036,276852.923,265.05,17:45
1800,no04,25.23307220112402,280028.949,330.9,18:00
1815,no04,26.1514525777464,253224.053,294.5,18:15
1830,no04,27.34201202134502,221314.9955,239.1,18:30
1845,no04,28.180854123677285,198311.8995,300.5,18:45
630,no05,27.790168173747013,169386.51400000002,251.15,06:30
645,no05,25.40488623279563,218647.0245,272.25,06:45
700,no05,26.85888270437049,208208.535,275.45,07:00
715,no05,26.229151844980123,253914.2345,352.15,07:15
730,no05,24.5337769203402,292892.246,323.75,07:30
745,no05,24.785129891924,284253.873,418.75,07:45
800,no05,23.53739681344718,324251.903,460.2,08:00
815,no05,24.44089077438964,318013.0285,427.6,08:15
830,no05,24.26176682684748,327092.05100000004,396.7,08:30
845,no05,24.435225637829078,306035.7755,305.25,08:45
900,no05,25.84295575974936,264568.2265,409.65,09:00
915,no05,27.01217188767153,227697.161,232.35,09:15
930,no05,26.640690203007075,243487.4055,344.75,09:30
945,no05,27.79206358621281,226474.181,222.55,09:45
1000,no05,25.5764139308138,258405.7315,312.3,10:00
1015,no05,24.700912789225285,254595.417,201.25,10:15
1030,no05,27.71589521117654,215256.554,320.15,10:30
1045,no05,28.892188068390432,203781.8205,294.2,10:45
1100,no05,27.35660542320737,228651.14900000003,205.7,11:00
1115,no05,26.817193443592107,239602.9205,226.4,11:15
1130,no05,27.94178020481372,210028.7915,247.2,11:30
1145,no05,28.4207809986764,214308.0975,249.25,11:45
1200,no05,27.840981594120382,222241.0425,224.65,12:00
1215,no05,28.034003653554453,229901.9835,241.6,12:15
1230,no05,27.80901057957829,214536.734,276.85,12:30
1245,no05,28.75413025713444,213807.7255,309.1,12:45
1300,no05,28.487905840531816,220981.102,275.2,13:00
1315,no05,28.747861239467788,208388.0445,240.7,13:15
1330,no05,28.23280214436333,205979.692,262.4,13:30
1345,no05,28.218604129577084,187875.768,209.6,13:45
1400,no05,28.24238919203906,204418.9195,310.75,14:00
1415,no05,28.223848717764696,218082.1625,224.45,14:15
1430,no05,28.961338122034498,211685.582,288.2,14:30
1445,no05,28.388287748367315,213876.87,355.55,14:45
1500,no05,26.86390559879619,225766.4515,259.9,15:00
1515,no05,26.661654501317987,229368.115,346.45,15:15
1530,no05,27.000416294933423,222687.343,280.8,15:30
1545,no05,27.286062636982106,213151.1625,264.6,15:45
1600,no05,24.57718400054652,274316.509,283.1,16:00
1615,no05,24.462243365751934,272937.142,266.8,16:15
1630,no05,23.736522029826418,267354.0525,240.25,16:30
1645,no05,24.84188094348695,272789.8595,211.35,16:45
1700,no05,24.092834111813666,292173.673,365.3,17:00
1715,no05,26.161211413476185,276376.296,295.9,17:15
1730,no05,26.210107059601427,258877.893,286.25,17:30
1745,no05,25.06280878644802,281514.9715,265.05,17:45
1800,no05,25.035145368482667,281332.705,330.9,18:00
1815,no05,25.638494154247205,257771.537,294.5,18:15
