link_id,TTT_mean,TTT_std,V_mean
533967_00939_00940_0,1415.0355,47.960055690565085,34.34487325813148
I_11_533967_-00008_533967_-00009,474.34700000000004,7.1164480347698,46.191554225968574
I_11_533967_-00009_533967_-00008,470.7495,18.871149094792685,50.66812121950388
533967_01406_01408_0,85.158,208.19293095840845,21.476984658290718
533967_01408_13716_0,66.14500000000001,161.68813133866527,19.977133961774626
533967_01268_13716_1,63.85699999999999,157.92166656122166,18.882494954935428
533967_01405_01406_0,13.7015,33.53300781947621,29.414906242582486
533967_01555_13718_0,0.0,0.0,
533967_01555_13718_1,0.0,0.0,
533967_01413_01414_0,0.0,0.0,
533967_01418_01419_0,0.0,0.0,
533967_01418_01419_1,0.0,0.0,
533967_01406_01408_1,0.0,0.0,
533967_01407_01408_0,0.0,0.0,
533967_01407_01408_1,0.0,0.0,
533967_01412_01413_0,0.0,0.0,
533967_01409_01417_0,0.0,0.0,
533967_01408_01644_0,0.0,0.0,
533967_01408_01644_1,0.0,0.0,
533967_01408_13716_1,0.0,0.0,
533967_00319_87770_1,0.0,0.0,
533967_00319_01435_0,0.0,0.0,
533967_00978_01607_0,0.0,0.0,
533967_00978_01607_1,0.0,0.0,
533967_01268_13716_0,0.0,0.0,
533967_00978_87768_1,0.0,0.0,
533967_00978_87768_0,0.0,0.0,
533967_01405_01406_1,0.0,0.0,
533967_00319_87770_0,0.0,0.0,
533967_00319_01435_1,0.0,0.0,
533967_01555_01556_1,0.0,0.0,
533967_01555_01556_0,0.0,0.0,
533967_01424_01605_0,0.0,0.0,
533967_01424_01605_1,0.0,0.0,
533967_01424_01604_0,0.0,0.0,
533967_01424_01604_1,0.0,0.0,
533967_01419_01608_1,0.0,0.0,
533967_01419_01608_0,0.0,0.0,
533967_01424_01425_1,0.0,0.0,
533967_01424_01425_0,0.0,0.0,
533967_01418_01421_1,0.0,0.0,
533967_01606_01607_0,0.0,0.0,
533967_01606_01609_0,0.0,0.0,
533967_01606_01607_1,0.0,0.0,
533967_00818_01603_1,0.0,0.0,
533967_00818_01603_0,0.0,0.0,
533967_01605_01607_0,0.0,0.0,
533967_01605_01607_1,0.0,0.0,
533967_01604_01605_1,0.0,0.0,
533967_01604_01605_0,0.0,0.0,
533967_01603_01608_1,0.0,0.0,
533967_01603_01608_0,0.0,0.0,
533967_01602_01608_0,0.0,0.0,
533967_01602_01608_1,0.0,0.0,
533967_01556_01656_0,0.0,0.0,
533967_01556_01656_1,0.0,0.0,
533967_01556_88302_0,0.0,0.0,
533967_01556_88302_1,0.0,0.0,
533967_01602_01603_0,0.0,0.0,
533967_01602_01603_1,0.0,0.0,
533967_14021_88656_1,0.0,0.0,
533967_14021_88656_0,0.0,0.0,
533967_13891_72276_1,0.0,0.0,
533967_13891_72276_0,0.0,0.0,
533967_13715_72472_1,0.0,0.0,
533967_13715_72472_0,0.0,0.0,
533967_13308_88665_1,0.0,0.0,
533967_13308_88665_0,0.0,0.0,
533967_12969_87770_0,0.0,0.0,
533967_12969_87770_1,0.0,0.0,
533967_11518_13596_0,0.0,0.0,
533967_11518_13596_1,0.0,0.0,
533967_11513_88894_1,0.0,0.0,
533967_11513_88894_0,0.0,0.0,
533967_11505_85937_0,0.0,0.0,
533967_11505_85937_1,0.0,0.0,
533967_01656_87767_0,0.0,0.0,
533967_01656_87767_1,0.0,0.0,
533967_01658_01659_0,0.0,0.0,
533967_01658_01659_1,0.0,0.0,
533967_01603_01606_1,0.0,0.0,
533967_01603_01606_0,0.0,0.0,
533967_01604_01606_0,0.0,0.0,
533967_01604_01606_1,0.0,0.0,
533967_01606_01609_1,0.0,0.0,
533967_87767_88200_0,0.0,0.0,
533967_87768_88199_0,0.0,0.0,
533967_87767_88200_1,0.0,0.0,
533967_14156_88894_0,0.0,0.0,
533967_14156_88894_1,0.0,0.0,
533967_72276_88656_0,0.0,0.0,
533967_72276_88656_1,0.0,0.0,
533967_00605_72276_0,0.0,0.0,
533967_00605_72276_1,0.0,0.0,
533967_00605_01530_0,0.0,0.0,
533967_00605_01530_1,0.0,0.0,
533967_88201_88203_0,0.0,0.0,
533967_88201_88203_1,0.0,0.0,
533967_88201_88204_0,0.0,0.0,
533967_88201_88204_1,0.0,0.0,
533967_88200_88202_1,0.0,0.0,
533967_88200_88202_0,0.0,0.0,
533967_88199_88201_1,0.0,0.0,
533967_88199_88201_0,0.0,0.0,
533967_87769_87770_0,0.0,0.0,
533967_87769_87770_1,0.0,0.0,
533967_88199_88200_0,0.0,0.0,
533967_88199_88200_1,0.0,0.0,
533967_87767_87768_1,0.0,0.0,
533967_87767_87768_0,0.0,0.0,
533967_74224_88894_1,0.0,0.0,
533967_74224_88894_0,0.0,0.0,
533967_87768_88199_1,0.0,0.0,
I_11_533967_-00001_533967_-00005,0.0,0.0,
I_11_0804143921001,0.0,0.0,
533967_88203_88204_1,0.0,0.0,
533967_88202_88204_1,0.0,0.0,
533967_88202_88204_0,0.0,0.0,
533967_88203_88302_1,0.0,0.0,
533967_88203_88302_0,0.0,0.0,
533967_88202_88302_0,0.0,0.0,
533967_88202_88302_1,0.0,0.0,
533967_88203_88204_0,0.0,0.0,
I_11_533967_-00005_533967_-00006,0.0,0.0,
