route_id,speed_a,speed_b,ties_a,ties_b,common_count,union_count,overlap_ratio_vs_smaller,jaccard
312,35.0,40.0,3465,28975,3465,28975,1.0,0.11958584987057809
312,35.0,42.5,3465,903,0,4368,0.0,0.0
312,35.0,45.0,3465,1443,0,4908,0.0,0.0
312,35.0,47.5,3465,3927,0,7392,0.0,0.0
312,35.0,50.0,3465,7161,0,10626,0.0,0.0
312,37.5,37.5,13299,13299,13299,13299,1.0,1.0
312,37.5,40.0,13299,28975,13299,28975,1.0,0.4589818809318378
312,37.5,42.5,13299,903,0,14202,0.0,0.0
312,37.5,45.0,13299,1443,0,14742,0.0,0.0
312,37.5,47.5,13299,3927,0,17226,0.0,0.0
312,37.5,50.0,13299,7161,0,20460,0.0,0.0
312,40.0,40.0,28975,28975,28975,28975,1.0,1.0
312,40.0,42.5,28975,903,0,29878,0.0,0.0
312,40.0,45.0,28975,1443,0,30418,0.0,0.0
312,40.0,47.5,28975,3927,0,32902,0.0,0.0
312,40.0,50.0,28975,7161,0,36136,0.0,0.0
312,42.5,42.5,903,903,903,903,1.0,1.0
312,42.5,45.0,903,1443,777,1569,0.8604651162790697,0.49521988527724664
312,42.5,47.5,903,3927,693,4137,0.7674418604651163,0.16751269035532995
312,42.5,50.0,903,7161,651,7413,0.7209302325581395,0.08781869688385269
312,45.0,45.0,1443,1443,1443,1443,1.0,1.0
312,45.0,47.5,1443,3927,1287,4083,0.8918918918918919,0.3152094048493755
312,45.0,50.0,1443,7161,1209,7395,0.8378378378378378,0.16348884381338744
312,47.5,47.5,3927,3927,3927,3927,1.0,1.0
312,47.5,50.0,3927,7161,3689,7399,0.9393939393939394,0.4985808893093661
312,50.0,50.0,7161,7161,7161,7161,1.0,1.0
313,20.0,20.0,3075,3075,3075,3075,1.0,1.0
313,20.0,22.5,3075,7623,0,10698,0.0,0.0
313,20.0,25.0,3075,2101,0,5176,0.0,0.0
313,20.0,27.5,3075,32407,0,35482,0.0,0.0
313,20.0,30.0,3075,98399,0,101474,0.0,0.0
313,20.0,32.5,3075,2520,0,5595,0.0,0.0
313,20.0,35.0,3075,11385,0,14460,0.0,0.0
313,20.0,37.5,3075,2101,0,5176,0.0,0.0
313,20.0,40.0,3075,63,0,3138,0.0,0.0
313,20.0,42.5,3075,1275,0,4350,0.0,0.0
313,20.0,45.0,3075,7689,0,10764,0.0,0.0
313,20.0,47.5,3075,18675,0,21750,0.0,0.0
313,20.0,50.0,3075,451,0,3526,0.0,0.0
313,22.5,22.5,7623,7623,7623,7623,1.0,1.0
313,22.5,25.0,7623,2101,1331,8393,0.6335078534031413,0.15858453473132372
313,22.5,27.5,7623,32407,4505,35525,0.5909746818837728,0.12681210415200564
313,22.5,30.0,7623,98399,0,106022,0.0,0.0
313,22.5,32.5,7623,2520,0,10143,0.0,0.0
313,22.5,35.0,7623,11385,0,19008,0.0,0.0
313,22.5,37.5,7623,2101,0,9724,0.0,0.0
313,22.5,40.0,7623,63,0,7686,0.0,0.0
313,22.5,42.5,7623,1275,0,8898,0.0,0.0
313,22.5,45.0,7623,7689,0,15312,0.0,0.0
313,22.5,47.5,7623,18675,0,26298,0.0,0.0
313,22.5,50.0,7623,451,0,8074,0.0,0.0
313,25.0,25.0,2101,2101,2101,2101,1.0,1.0
313,25.0,27.5,2101,32407,2101,32407,1.0,0.06483167216959299
313,25.0,30.0,2101,98399,0,100500,0.0,0.0
313,25.0,32.5,2101,2520,0,4621,0.0,0.0
313,25.0,35.0,2101,11385,0,13486,0.0,0.0
313,25.0,37.5,2101,2101,0,4202,0.0,0.0
313,25.0,40.0,2101,63,0,2164,0.0,0.0
313,25.0,42.5,2101,1275,0,3376,0.0,0.0
313,25.0,45.0,2101,7689,0,9790,0.0,0.0
313,25.0,47.5,2101,18675,0,20776,0.0,0.0
313,25.0,50.0,2101,451,0,2552,0.0,0.0
313,27.5,27.5,32407,32407,32407,32407,1.0,1.0
313,27.5,30.0,32407,98399,0,130806,0.0,0.0
313,27.5,32.5,32407,2520,0,34927,0.0,0.0
313,27.5,35.0,32407,11385,0,43792,0.0,0.0
313,27.5,37.5,32407,2101,0,34508,0.0,0.0
313,27.5,40.0,32407,63,0,32470,0.0,0.0
313,27.5,42.5,32407,1275,0,33682,0.0,0.0
313,27.5,45.0,32407,7689,0,40096,0.0,0.0
313,27.5,47.5,32407,18675,0,51082,0.0,0.0
313,27.5,50.0,32407,451,0,32858,0.0,0.0
313,30.0,30.0,98399,98399,98399,98399,1.0,1.0
313,30.0,32.5,98399,2520,2520,98399,1.0,0.0256100163619549
313,30.0,35.0,98399,11385,4068,105716,0.35731225296442687,0.038480457073669073
313,30.0,37.5,98399,2101,132,100368,0.06282722513089005,0.0013151602104256336
313,30.0,40.0,98399,63,0,98462,0.0,0.0
313,30.0,42.5,98399,1275,0,99674,0.0,0.0
313,30.0,45.0,98399,7689,2002,104086,0.2603719599427754,0.019234094883077455
313,30.0,47.5,98399,18675,4790,112284,0.2564926372155288,0.04265968437177158
313,30.0,50.0,98399,451,11,98839,0.024390243902439025,0.0001112921012960471
313,32.5,32.5,2520,2520,2520,2520,1.0,1.0
313,32.5,35.0,2520,11385,0,13905,0.0,0.0
313,32.5,37.5,2520,2101,0,4621,0.0,0.0
313,32.5,40.0,2520,63,0,2583,0.0,0.0
313,32.5,42.5,2520,1275,0,3795,0.0,0.0
313,32.5,45.0,2520,7689,0,10209,0.0,0.0
313,32.5,47.5,2520,18675,0,21195,0.0,0.0
313,32.5,50.0,2520,451,0,2971,0.0,0.0
313,35.0,35.0,11385,11385,11385,11385,1.0,1.0
313,35.0,37.5,11385,2101,2101,11385,1.0,0.18454106280193236
313,35.0,40.0,11385,63,63,11385,1.0,0.005533596837944664
313,35.0,42.5,11385,1275,905,11755,0.7098039215686275,0.07698851552530837
313,35.0,45.0,11385,7689,3123,15951,0.40616465079984393,0.19578709798758698
313,35.0,47.5,11385,18675,4785,25275,0.42028985507246375,0.18931750741839762
313,35.0,50.0,11385,451,0,11836,0.0,0.0
313,37.5,37.5,2101,2101,2101,2101,1.0,1.0
313,37.5,40.0,2101,63,63,2101,1.0,0.029985721085197526
313,37.5,42.5,2101,1275,545,2831,0.42745098039215684,0.19251148004238786
313,37.5,45.0,2101,7689,1331,8459,0.6335078534031413,0.15734720416124837
313,37.5,47.5,2101,18675,1693,19083,0.8058067586863399,0.08871770685950846
313,37.5,50.0,2101,451,0,2552,0.0,0.0
313,40.0,40.0,63,63,63,63,1.0,1.0
313,40.0,42.5,63,1275,63,1275,1.0,0.04941176470588235
313,40.0,45.0,63,7689,63,7689,1.0,0.008193523214982443
313,40.0,47.5,63,18675,63,18675,1.0,0.0033734939759036144
313,40.0,50.0,63,451,0,514,0.0,0.0
313,42.5,42.5,1275,1275,1275,1275,1.0,1.0
313,42.5,45.0,1275,7689,1275,7689,1.0,0.16582130316035895
313,42.5,47.5,1275,18675,1275,18675,1.0,0.06827309236947791
313,42.5,50.0,1275,451,0,1726,0.0,0.0
313,45.0,45.0,7689,7689,7689,7689,1.0,1.0
313,45.0,47.5,7689,18675,7689,18675,1.0,0.4117269076305221
313,45.0,50.0,7689,451,0,8140,0.0,0.0
313,47.5,47.5,18675,18675,18675,18675,1.0,1.0
313,47.5,50.0,18675,451,0,19126,0.0,0.0
313,50.0,50.0,451,451,451,451,1.0,1.0
314,20.0,20.0,3075,3075,3075,3075,1.0,1.0
314,20.0,22.5,3075,17073,0,20148,0.0,0.0
314,20.0,25.0,3075,11,0,3086,0.0,0.0
314,20.0,27.5,3075,10519,0,13594,0.0,0.0
314,20.0,30.0,3075,3157,0,6232,0.0,0.0
314,20.0,32.5,3075,819,0,3894,0.0,0.0
314,20.0,35.0,3075,1035,0,4110,0.0,0.0
314,20.0,37.5,3075,363,0,3438,0.0,0.0
314,20.0,40.0,3075,6937,0,10012,0.0,0.0
314,20.0,42.5,3075,9555,0,12630,0.0,0.0
314,20.0,45.0,3075,21997,0,25072,0.0,0.0
314,20.0,47.5,3075,36425,0,39500,0.0,0.0
314,20.0,50.0,3075,96320,0,99395,0.0,0.0
314,22.5,22.5,17073,17073,17073,17073,1.0,1.0
314,22.5,25.0,17073,11,11,17073,1.0,0.0006442921572072863
314,22.5,27.5,17073,10519,6375,21217,0.6060462021104668,0.3004666069661121
314,22.5,30.0,17073,3157,0,20230,0.0,0.0
314,22.5,32.5,17073,819,0,17892,0.0,0.0
314,22.5,35.0,17073,1035,0,18108,0.0,0.0
314,22.5,37.5,17073,363,0,17436,0.0,0.0
314,22.5,40.0,17073,6937,0,24010,0.0,0.0
314,22.5,42.5,17073,9555,0,26628,0.0,0.0
314,22.5,45.0,17073,21997,0,39070,0.0,0.0
314,22.5,47.5,17073,36425,0,53498,0.0,0.0
314,22.5,50.0,17073,96320,0,113393,0.0,0.0
314,25.0,25.0,11,11,11,11,1.0,1.0
314,25.0,27.5,11,10519,11,10519,1.0,0.001045726780112178
314,25.0,30.0,11,3157,0,3168,0.0,0.0
314,25.0,32.5,11,819,0,830,0.0,0.0
314,25.0,35.0,11,1035,0,1046,0.0,0.0
314,25.0,37.5,11,363,0,374,0.0,0.0
314,25.0,40.0,11,6937,0,6948,0.0,0.0
314,25.0,42.5,11,9555,0,9566,0.0,0.0
314,25.0,45.0,11,21997,0,22008,0.0,0.0
314,25.0,47.5,11,36425,0,36436,0.0,0.0
314,25.0,50.0,11,96320,0,96331,0.0,0.0
314,27.5,27.5,10519,10519,10519,10519,1.0,1.0
314,27.5,30.0,10519,3157,0,13676,0.0,0.0
314,27.5,32.5,10519,819,0,11338,0.0,0.0
314,27.5,35.0,10519,1035,0,11554,0.0,0.0
314,27.5,37.5,10519,363,0,10882,0.0,0.0
314,27.5,40.0,10519,6937,0,17456,0.0,0.0
314,27.5,42.5,10519,9555,0,20074,0.0,0.0
314,27.5,45.0,10519,21997,0,32516,0.0,0.0
314,27.5,47.5,10519,36425,0,46944,0.0,0.0
314,27.5,50.0,10519,96320,0,106839,0.0,0.0
314,30.0,30.0,3157,3157,3157,3157,1.0,1.0
314,30.0,32.5,3157,819,441,3535,0.5384615384615384,0.12475247524752475
314,30.0,35.0,3157,1035,315,3877,0.30434782608695654,0.08124838792881094
314,30.0,37.5,3157,363,77,3443,0.21212121212121213,0.022364217252396165
314,30.0,40.0,3157,6937,539,9555,0.17073170731707318,0.05641025641025641
314,30.0,42.5,3157,9555,0,12712,0.0,0.0
314,30.0,45.0,3157,21997,0,25154,0.0,0.0
314,30.0,47.5,3157,36425,0,39582,0.0,0.0
314,30.0,50.0,3157,96320,0,99477,0.0,0.0
314,32.5,32.5,819,819,819,819,1.0,1.0
314,32.5,35.0,819,1035,351,1503,0.42857142857142855,0.23353293413173654
314,32.5,37.5,819,363,39,1143,0.10743801652892562,0.03412073490813648
314,32.5,40.0,819,6937,273,7483,0.3333333333333333,0.03648269410664172
