route_id,V_kmh,Dpillar,simulation_delay
D10_H06,25.0,22.723199999999995,36.0
D10_H06,27.5,20.426181815563627,29.454545974731445
D10_H06,30.0,22.823999992800005,25.36000061035156
D10_H06,32.5,24.85292307064615,27.101537704467773
D10_H06,35.0,26.5919999976,28.59428596496582
D10_H06,37.5,28.099200001356827,29.88800048828125
D10_H06,40.0,26.399999999999988,31.020000457763672
D10_H06,42.5,24.282352947952926,30.352941513061523
D10_H06,45.0,22.399999993599987,28.0
D10_H06,47.5,22.10526315978948,25.894737243652344
D10_H06,50.0,24.00000000000001,24.0
D10_H07,10.0,12.579727714839493,
D10_H07,12.5,34.28278665082898,
D10_H07,15.0,28.45724257161317,
D10_H07,17.5,32.99367538783421,
D10_H07,20.0,36.396,42.0
D10_H07,22.5,30.218666664533323,43.52000045776367
D10_H07,25.0,25.276799999999987,36.0
D10_H07,27.5,25.61018181556361,29.454545974731445
D10_H07,30.0,27.57599999279999,30.63999938964844
D10_H07,32.5,29.23938461076922,31.97538375854492
D10_H07,35.0,30.665142855080745,33.119998931884766
D10_H07,37.5,28.79999999999999,34.11199951171875
D10_H07,40.0,26.4,33.0
D10_H07,42.5,24.282352938352933,30.352941513061523
D10_H07,45.0,22.400000003199995,28.0
D10_H07,47.5,22.105263159789452,25.894737243652344
D10_H07,50.0,23.999999999999996,24.0
D30_311,10.0,30.000000000000018,
D30_311,12.5,24.63272727267569,
D30_311,15.0,14.072727272727253,
D30_311,17.5,15.428571425357108,
D30_311,20.0,24.000000000000043,36.0
D30_311,22.5,31.599999995054528,48.0
D30_311,25.0,29.99999999999998,52.79999923706055
D30_311,27.5,36.43636363592728,50.18181991577149
D30_311,30.0,36.0,48.0
D30_311,32.5,32.86153845627694,40.61538314819336
D30_311,35.0,29.142857142514305,41.65714263916016
D30_311,37.5,25.92,40.79999923706055
D30_311,40.0,23.100000000000005,36.0
D30_311,42.5,20.611764710964707,31.764705657958984
D30_311,45.0,21.2000000008,28.0
D30_311,47.5,22.67368422025263,25.263158798217773
D30_311,50.0,24.00000000000001,26.399999618530277
D30_312,10.0,3.1459459459459507,
D30_312,12.5,23.760000001737158,
D30_312,15.0,32.529729730652825,
D30_312,17.5,25.71428571828572,
D30_312,20.0,2.6195262175615174e-15,0.0
D30_312,22.5,19.99999999600001,20.0
D30_312,25.0,24.0,31.200000762939453
D30_312,27.5,23.4545454514909,31.636363983154297
D30_312,30.0,24.000000000000007,36.0
D30_312,32.5,30.55384615929231,39.69230651855469
D30_312,35.0,35.142857144914274,42.85714340209961
D30_312,37.5,37.68000000000001,45.59999847412109
D30_312,40.0,35.7,45.29999923706055
D30_312,42.5,32.47058823938823,46.94117736816406
D30_312,45.0,29.6000000056,44.0
D30_312,47.5,27.031578944336854,39.78947448730469
D30_312,50.0,24.719999999999995,36.0
D30_313,10.0,31.199999999999932,
D30_313,12.5,19.920000000661336,
D30_313,15.0,12.000000000000004,
D30_313,17.5,38.42539682573232,
D30_313,20.0,23.99999999999998,24.0
D30_313,22.5,12.00000000000002,12.0
D30_313,25.0,7.2000000000000135,7.199999809265137
D30_313,27.5,22.909090910181817,22.909090042114254
D30_313,30.0,23.999999999999982,24.0
D30_313,32.5,17.81538461796923,21.230770111083984
D30_313,35.0,16.628571422742848,22.28571510314941
D30_313,37.5,19.91999999999997,26.399999618530277
D30_313,40.0,24.59999999999997,30.0
D30_313,42.5,28.729411758211743,33.17647171020508
D30_313,45.0,32.39999999999998,36.0
D30_313,47.5,35.05263157629473,38.52631759643555
D30_313,50.0,34.800000000000004,40.79999923706055
D30_314,10.0,38.39999999999999,
D30_314,12.5,26.21090909157042,
D30_314,15.0,11.100746596398762,
D30_314,17.5,26.545454545926905,
D30_314,20.0,16.199999999999996,18.0
D30_314,22.5,19.99999999600001,20.0
D30_314,25.0,24.00000000000001,36.0
D30_314,27.5,37.09090908853817,42.54545593261719
D30_314,30.0,38.39999999999997,48.0
D30_314,32.5,31.01538461316925,38.769229888916016
D30_314,35.0,24.68571428022858,34.28571319580078
D30_314,37.5,23.99999999999998,33.599998474121094
D30_314,40.0,30.0,33.0
