scenario,timestr,slot_code,hhmm,dist_m_mean,dist_m_std,n_runs
no02,2022/10/18 17:30:00,1730,17:30,1895604.5899999999,28897.419019313667,20
no02,2022/10/18 17:45:00,1745,17:45,1968673.395,20370.318436533158,20
no02,2022/10/18 18:00:00,1800,18:00,1978813.155,24976.358519618087,20
no02,2022/10/18 18:15:00,1815,18:15,1853721.565,26318.962958378503,20
no02,2022/10/18 18:30:00,1830,18:30,1672205.395,35159.551700714794,20
no02,2022/10/18 18:45:00,1845,18:45,1558170.54,25877.405226860697,20
no03,2022/10/18 06:30:00,0630,06:30,1318767.24,25416.01245585567,20
no03,2022/10/18 06:45:00,0645,06:45,1553569.34,26600.386851310446,20
no03,2022/10/18 07:00:00,0700,07:00,1564307.44,26431.21868298529,20
no03,2022/10/18 07:15:00,0715,07:15,1861371.0350000001,24732.13828002736,20
no03,2022/10/18 07:30:00,0730,07:30,2010833.9,26087.288874832222,20
no03,2022/10/18 07:45:00,0745,07:45,1967791.395,28143.260318562905,20
no03,2022/10/18 08:00:00,0800,08:00,2137441.91,29113.83443199457,20
no03,2022/10/18 08:15:00,0815,08:15,2166904.31,22821.97835958034,20
no03,2022/10/18 08:30:00,0830,08:30,2217822.43,35049.281614578045,20
no03,2022/10/18 08:45:00,0845,08:45,2090881.525,25603.00948529449,20
no03,2022/10/18 09:00:00,0900,09:00,1910545.1,24632.084877419915,20
no03,2022/10/18 09:15:00,0915,09:15,1717120.33,18102.71910678206,20
no03,2022/10/18 09:30:00,0930,09:30,1812036.77,23413.327040971213,20
no03,2022/10/18 09:45:00,0945,09:45,1759610.0100000002,24877.47207833461,20
no03,2022/10/18 10:00:00,1000,10:00,1852174.23,24889.02798421534,20
no03,2022/10/18 10:15:00,1015,10:15,1750227.15,24286.102541067863,20
no03,2022/10/18 10:30:00,1030,10:30,1671452.58,26243.16447160646,20
no03,2022/10/18 10:45:00,1045,10:45,1641576.035,14733.137036207187,20
no03,2022/10/18 11:00:00,1100,11:00,1746942.19,20106.769881674983,20
no03,2022/10/18 11:15:00,1115,11:15,1794795.5699999998,27198.602011715393,20
no03,2022/10/18 11:30:00,1130,11:30,1641747.035,21950.961049079,20
no03,2022/10/18 11:45:00,1145,11:45,1699771.19,25584.623709644544,20
no03,2022/10/18 12:00:00,1200,12:00,1726358.1199999999,26174.17798523457,20
no03,2022/10/18 12:15:00,1215,12:15,1798557.42,25916.436101004943,20
no03,2022/10/18 12:30:00,1230,12:30,1669582.9949999999,26269.05939658958,20
no03,2022/10/18 12:45:00,1245,12:45,1716054.395,28520.682934716064,20
no03,2022/10/18 13:00:00,1300,13:00,1758126.815,24800.001219275775,20
no03,2022/10/18 13:15:00,1315,13:15,1671871.175,33504.08880578881,20
no03,2022/10/18 13:30:00,1330,13:30,1626021.56,34135.603144138295,20
no03,2022/10/18 13:45:00,1345,13:45,1482227.275,23276.42585377285,20
no03,2022/10/18 14:00:00,1400,14:00,1613018.0699999998,30223.63286152947,20
no03,2022/10/18 14:15:00,1415,14:15,1719144.06,36721.156284675664,20
no03,2022/10/18 14:30:00,1430,14:30,1713541.015,30416.064210705514,20
no03,2022/10/18 14:45:00,1445,14:45,1697326.5050000001,33184.427355573614,20
no03,2022/10/18 15:00:00,1500,15:00,1690987.9100000001,32152.43511393321,20
no03,2022/10/18 15:15:00,1515,15:15,1708270.845,30695.41536517307,20
no03,2022/10/18 15:30:00,1530,15:30,1680326.45,33436.953856356384,20
no03,2022/10/18 15:45:00,1545,15:45,1624204.04,26304.398775558024,20
no03,2022/10/18 16:00:00,1600,16:00,1886051.3399999999,21678.61715533975,20
no03,2022/10/18 16:15:00,1615,16:15,1862373.44,28528.51620659398,20
no03,2022/10/18 16:30:00,1630,16:30,1774238.7,29687.13903900231,20
no03,2022/10/18 16:45:00,1645,16:45,1888406.935,28975.682733271984,20
no03,2022/10/18 17:00:00,1700,17:00,1965396.7550000001,27040.526918983876,20
no03,2022/10/18 17:15:00,1715,17:15,2023943.795,38229.72487106523,20
no03,2022/10/18 17:30:00,1730,17:30,1897479.5050000001,24171.15680006096,20
no03,2022/10/18 17:45:00,1745,17:45,1968082.5050000001,30221.339755847883,20
no03,2022/10/18 18:00:00,1800,18:00,1965120.145,22604.178331507726,20
no03,2022/10/18 18:15:00,1815,18:15,1843927.0,23378.306730025546,20
no03,2022/10/18 18:30:00,1830,18:30,1704358.5050000001,35447.72201540673,20
no03,2022/10/18 18:45:00,1845,18:45,1555753.79,29227.679296712464,20
no04,2022/10/18 06:30:00,0630,06:30,1318767.24,25416.01245585567,20
no04,2022/10/18 06:45:00,0645,06:45,1553569.34,26600.386851310446,20
no04,2022/10/18 07:00:00,0700,07:00,1564104.72,25931.868173037372,20
no04,2022/10/18 07:15:00,0715,07:15,1864249.685,20796.4484127832,20
no04,2022/10/18 07:30:00,0730,07:30,2008478.56,15985.643092883442,20
no04,2022/10/18 07:45:00,0745,07:45,1962936.33,25185.873589210343,20
no04,2022/10/18 08:00:00,0800,08:00,2141968.275,31429.65192747088,20
no04,2022/10/18 08:15:00,0815,08:15,2172076.4050000003,23063.444781149366,20
no04,2022/10/18 08:30:00,0830,08:30,2219100.165,33343.01413229773,20
no04,2022/10/18 08:45:00,0845,08:45,2089187.7149999999,26182.854774778272,20
no04,2022/10/18 09:00:00,0900,09:00,1911603.775,23102.812193662867,20
no04,2022/10/18 09:15:00,0915,09:15,1705574.605,23845.41382619741,20
no04,2022/10/18 09:30:00,0930,09:30,1816287.19,25003.808330161934,20
no04,2022/10/18 09:45:00,0945,09:45,1757730.375,22370.766683633185,20
no04,2022/10/18 10:00:00,1000,10:00,1849128.525,25675.68401819067,20
no04,2022/10/18 10:15:00,1015,10:15,1750531.5699999998,25131.61584239217,20
no04,2022/10/18 10:30:00,1030,10:30,1668273.825,28813.846444116607,20
no04,2022/10/18 10:45:00,1045,10:45,1641699.975,24932.45726684446,20
no04,2022/10/18 11:00:00,1100,11:00,1748186.0899999999,22666.67077304425,20
no04,2022/10/18 11:15:00,1115,11:15,1802188.095,27830.602710523955,20
no04,2022/10/18 11:30:00,1130,11:30,1640629.625,28428.32727516832,20
no04,2022/10/18 11:45:00,1145,11:45,1700546.625,24230.484820700218,20
no04,2022/10/18 12:00:00,1200,12:00,1723474.575,29002.650432492253,20
no04,2022/10/18 12:15:00,1215,12:15,1809077.515,26446.926451714495,20
no04,2022/10/18 12:30:00,1230,12:30,1672343.53,34748.44293588598,20
no04,2022/10/18 12:45:00,1245,12:45,1720943.64,24467.545584269676,20
no04,2022/10/18 13:00:00,1300,13:00,1754193.8699999999,22185.993303008956,20
no04,2022/10/18 13:15:00,1315,13:15,1673803.67,29140.296390666615,20
no04,2022/10/18 13:30:00,1330,13:30,1619470.7,28383.38441026811,20
no04,2022/10/18 13:45:00,1345,13:45,1479499.6199999999,20419.66639475937,20
no04,2022/10/18 14:00:00,1400,14:00,1618377.44,25183.002046877857,20
no04,2022/10/18 14:15:00,1415,14:15,1720097.815,38314.024860689766,20
no04,2022/10/18 14:30:00,1430,14:30,1713721.2850000001,27392.82027232448,20
no04,2022/10/18 14:45:00,1445,14:45,1694194.375,30090.34906120451,20
no04,2022/10/18 15:00:00,1500,15:00,1696075.2100000002,26773.988192723627,20
no04,2022/10/18 15:15:00,1515,15:15,1709695.1199999999,29992.667999355726,20
no04,2022/10/18 15:30:00,1530,15:30,1675063.0150000001,24963.487336197635,20
no04,2022/10/18 15:45:00,1545,15:45,1634077.69,29260.45459732292,20
no04,2022/10/18 16:00:00,1600,16:00,1878507.55,28275.941519779655,20
no04,2022/10/18 16:15:00,1615,16:15,1861977.0899999999,32423.53753616099,20
no04,2022/10/18 16:30:00,1630,16:30,1787854.065,28293.57287940837,20
no04,2022/10/18 16:45:00,1645,16:45,1890743.7550000001,34375.524460205495,20
no04,2022/10/18 17:00:00,1700,17:00,1961419.265,33572.85050250347,20
no04,2022/10/18 17:15:00,1715,17:15,2024419.6300000001,30448.477246188922,20
no04,2022/10/18 17:30:00,1730,17:30,1893267.0850000002,25757.488301345908,20
no04,2022/10/18 17:45:00,1745,17:45,1961057.9100000001,26427.208026396267,20
no04,2022/10/18 18:00:00,1800,18:00,1973270.675,26923.76012536679,20
no04,2022/10/18 18:15:00,1815,18:15,1848842.4949999999,21053.90265703911,20
no04,2022/10/18 18:30:00,1830,18:30,1690567.9949999999,30600.351985909478,20
no04,2022/10/18 18:45:00,1845,18:45,1561437.09,23044.2068821486,20
no05,2022/10/18 06:30:00,0630,06:30,1318016.5699999998,25394.489800992997,20
no05,2022/10/18 06:45:00,0645,06:45,1553037.385,25713.44477195329,20
no05,2022/10/18 07:00:00,0700,07:00,1563327.795,25256.625548212225,20
no05,2022/10/18 07:15:00,0715,07:15,1862057.33,25055.666702472074,20
no05,2022/10/18 07:30:00,0730,07:30,2007728.9300000002,22848.239447829834,20
no05,2022/10/18 07:45:00,0745,07:45,1968519.58,28414.217172146375,20
no05,2022/10/18 08:00:00,0800,08:00,2132581.1149999998,25720.97896158679,20
no05,2022/10/18 08:15:00,0815,08:15,2170962.2649999997,21005.874565621067,20
no05,2022/10/18 08:30:00,0830,08:30,2218102.775,33981.27520244174,20
no05,2022/10/18 08:45:00,0845,08:45,2088105.405,24445.251835941577,20
no05,2022/10/18 09:00:00,0900,09:00,1909565.3199999998,22568.91292269543,20
no05,2022/10/18 09:15:00,0915,09:15,1718751.1199999999,16816.030387122635,20
no05,2022/10/18 09:30:00,0930,09:30,1811823.0899999999,20982.968585420345,20
no05,2022/10/18 09:45:00,0945,09:45,1759533.67,23058.143827794618,20
no05,2022/10/18 10:00:00,1000,10:00,1846725.75,24799.081298295547,20
no05,2022/10/18 10:15:00,1015,10:15,1754793.315,18559.167910234853,20
no05,2022/10/18 10:30:00,1030,10:30,1667274.06,28273.87246681811,20
no05,2022/10/18 10:45:00,1045,10:45,1645389.02,12184.531854497433,20
no05,2022/10/18 11:00:00,1100,11:00,1748663.525,22482.65202875735,20
no05,2022/10/18 11:15:00,1115,11:15,1795427.6,30286.648866855685,20
no05,2022/10/18 11:30:00,1130,11:30,1640126.01,20907.67805479729,20
no05,2022/10/18 11:45:00,1145,11:45,1702032.7149999999,24616.168238381088,20
no05,2022/10/18 12:00:00,1200,12:00,1729389.825,24782.20646282696,20
no05,2022/10/18 12:15:00,1215,12:15,1800798.8,26212.908943676444,20
no05,2022/10/18 12:30:00,1230,12:30,1667705.155,26723.220595470615,20
no05,2022/10/18 12:45:00,1245,12:45,1718008.1,30600.07503404977,20
no05,2022/10/18 13:00:00,1300,13:00,1759231.4949999999,25291.28555797898,20
no05,2022/10/18 13:15:00,1315,13:15,1673796.75,30258.715883187633,20
no05,2022/10/18 13:30:00,1330,13:30,1625488.3,34429.601242550816,20
no05,2022/10/18 13:45:00,1345,13:45,1480559.05,23453.912736717914,20
no05,2022/10/18 14:00:00,1400,14:00,1613700.525,27862.52709732812,20
no05,2022/10/18 14:15:00,1415,14:15,1719412.325,35476.745739663216,20
no05,2022/10/18 14:30:00,1430,14:30,1712965.1199999999,30966.163216877827,20
no05,2022/10/18 14:45:00,1445,14:45,1696432.27,31731.36124399565,20
no05,2022/10/18 15:00:00,1500,15:00,1694333.52,31092.3470738481,20
no05,2022/10/18 15:15:00,1515,15:15,1709013.565,28615.836762741492,20
no05,2022/10/18 15:30:00,1530,15:30,1679888.735,29108.136159902893,20
no05,2022/10/18 15:45:00,1545,15:45,1624715.41,25853.306073486412,20
