scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no02,2022/10/18 10:15:00,1015,10:15,1.0238844816452366,0.9744727590157347,0.9980232182007691,25.93187629425559,241493.6345,9718.8
no02,2022/10/18 10:30:00,1030,10:30,1.0037657382444003,0.9957005111997335,0.9960006852908738,28.393147965952448,210186.8,9301.75
no02,2022/10/18 10:45:00,1045,10:45,1.0024279225145822,0.9993097894954996,1.0017912704325342,29.168340866555845,201332.8105,9143.95
no02,2022/10/18 11:00:00,1100,11:00,1.0006765938123452,0.9970052790371668,0.9968565219588619,27.6380632648667,226215.109,9862.4
no02,2022/10/18 11:15:00,1115,11:15,1.002972659344561,1.0024786739085036,1.0042281162515512,27.32573706872744,236106.9,10438.65
no02,2022/10/18 11:30:00,1130,11:30,1.0000744169579587,0.9990739446930589,0.9984434665991629,28.21840737758915,207988.623,9269.0
no02,2022/10/18 11:45:00,1145,11:45,0.9981679623801065,1.002442045076938,1.0011948578439218,28.60809640275074,212858.81,9384.7
no02,2022/10/18 12:00:00,1200,12:00,1.0004058988766205,0.9962710927250679,0.9979827280666363,28.064960625752008,219940.261,9770.7
no02,2022/10/18 12:15:00,1215,12:15,0.9991169432939185,1.0065162548866213,1.0052446585440666,28.2739140859423,228763.963,9995.6
no02,2022/10/18 12:30:00,1230,12:30,1.0032997037716553,0.999267671764785,1.0018703723741362,28.046707172050134,213439.739,9722.1
no02,2022/10/18 12:45:00,1245,12:45,1.0021564234533051,0.9977498151462595,1.0007441182989774,29.09141887090373,211483.192,9481.35
no02,2022/10/18 13:00:00,1300,13:00,1.004490060906132,0.9932687017740129,0.9985132644685695,28.842376375810808,217683.91,9671.25
no02,2022/10/18 13:15:00,1315,13:15,1.0008585240637007,1.0001803567208418,1.0013788122517318,29.035874624482496,206203.6065,9150.9
no02,2022/10/18 13:30:00,1330,13:30,1.0029286244991082,0.9936339996317536,0.9984215625442234,28.47155931496628,203720.556,9171.8
no02,2022/10/18 13:45:00,1345,13:45,1.0025270443644885,0.9977864367303326,0.9992418128011349,28.62464292084358,185441.2085,8171.2
no02,2022/10/18 14:00:00,1400,14:00,1.0006664011716335,1.0026595088733794,1.0030065552762581,28.55991086096141,202535.2255,9157.5
no02,2022/10/18 14:15:00,1415,14:15,1.003268645261474,0.9962962712133697,1.001266661678407,28.5007232883266,215812.5255,9367.15
no02,2022/10/18 14:30:00,1430,14:30,0.9995951577892255,1.0011191409028624,1.0011245342904136,29.155747451828933,210577.9965,9525.75
no02,2022/10/18 14:45:00,1445,14:45,1.0044558321904684,0.992904438337886,0.9981630113797174,28.93429450147413,209867.151,9345.95
no02,2022/10/18 15:00:00,1500,15:00,1.0007300211396721,0.9986830525612851,1.002044240551361,27.21765248705495,222756.9175,9435.95
no02,2022/10/18 15:15:00,1515,15:15,0.995469597757567,1.010310519058498,1.0035443618584965,27.13833940598221,226140.794,9626.7
no02,2022/10/18 15:30:00,1530,15:30,1.0007542263402243,0.9951665152795747,0.9957956385885125,27.276469489590465,219591.85,9130.5
no02,2022/10/18 15:45:00,1545,15:45,0.9956994756688238,1.0074538639810564,1.0025888049561915,27.483551353549508,212009.654,8965.5
no02,2022/10/18 16:00:00,1600,16:00,0.9962118866385451,0.9977458273218125,0.999195810646521,24.85589908869496,270707.012,10561.15
no02,2022/10/18 16:15:00,1615,16:15,0.998711126207785,1.0012399689895222,1.000155669188822,24.858007466892037,268265.5425,10601.05
no02,2022/10/18 16:30:00,1630,16:30,1.0005489994131687,1.0029513016629326,1.0041509377953028,24.157844687676025,263462.0715,10148.1
no02,2022/10/18 16:45:00,1645,16:45,0.9999372955997696,1.0005458123585906,1.0013934555311117,25.021966211902253,270280.57050000003,10492.15
no02,2022/10/18 17:00:00,1700,17:00,0.9894649255392763,1.0070585938717715,0.9987549958048773,24.142794090963044,292085.125,11070.5
no02,2022/10/18 17:15:00,1715,17:15,1.0056109502777886,0.9956518724322411,1.0001934209875265,26.90003920437525,269271.736,11117.8
no02,2022/10/18 17:30:00,1730,17:30,0.9995248721446873,0.997932649649021,0.9976110326854163,26.850890775299536,252694.596,10565.05
no02,2022/10/18 17:45:00,1745,17:45,0.9974925251542149,0.9972733323936916,0.996155366808,25.942395339194928,271750.9765,10960.05
no02,2022/10/18 18:00:00,1800,18:00,0.9934570037194872,1.0102368168427904,1.0034026347006306,25.919856571467683,273414.33,11250.05
no02,2022/10/18 18:15:00,1815,18:15,1.000351169480104,1.0021969405212214,1.000349728474698,27.24122429146997,243729.992,10297.3
no02,2022/10/18 18:30:00,1830,18:30,0.995827733232885,0.9985390327741053,0.9954359823981934,27.847867482145347,214897.1185,9433.05
no02,2022/10/18 18:45:00,1845,18:45,0.9984035371914707,1.0049917841099638,1.002978988503143,28.68174581605768,194435.3635,8854.8
no03,2022/10/18 06:30:00,630,06:30,0.9940333882495005,1.0029996434334483,0.9978231206168883,27.81107792298412,169358.565,7861.1
no03,2022/10/18 06:45:00,645,06:45,0.9801874828032331,1.0167285987705768,0.9971767237793073,25.479233301086342,218067.98850000004,8988.9
no03,2022/10/18 07:00:00,700,07:00,0.9623288262829934,1.038177093114649,0.9992820725667588,26.84050228951194,208465.993,8908.15
no03,2022/10/18 07:15:00,715,07:15,0.9560180692269422,1.040245561572455,0.9962952974407745,26.28831055919997,253235.053,10528.5
