scenario,run,V_net,TTT,dist_kmveh
no02,Case1_no02_r16_volspd.csv,26.947576895245952,11837557.559999999,88609.3035
no02,Case1_no02_r17_volspd.csv,26.865408965120732,11869319.91,88576.1482
no02,Case1_no02_r18_volspd.csv,26.947985898244383,11832455.8,88572.4589
no02,Case1_no02_r19_volspd.csv,26.742320242993422,11923519.51,88572.9381
no02,Case1_no02_r20_volspd.csv,26.98276743899162,11809295.2,88513.185
no03,Case1_no03_r01_volspd.csv,26.449328770247302,12056878.39,88582.3168
no03,Case1_no03_r02_volspd.csv,26.56300814884975,12003367.719999999,88568.2096
no03,Case1_no03_r03_volspd.csv,26.358004581721854,12097216.239999998,88571.8003
no03,Case1_no03_r04_volspd.csv,26.51703474228694,12008756.96,88454.61820000001
no03,Case1_no03_r06_volspd.csv,26.53576776335855,12007280.43,88506.2236
no03,Case1_no03_r07_volspd.csv,26.665368802873857,11955173.38,88552.5298
no03,Case1_no03_r08_volspd.csv,26.364670656352438,12090684.850000001,88546.36779999999
no03,Case1_no03_r09_volspd.csv,26.4089127491859,12069999.7,88543.21359999999
no03,Case1_no03_r11_volspd.csv,26.506858278027252,12032260.82,88593.7312
no03,Case1_no03_r12_volspd.csv,26.39366287937807,12084741.41,88600.1641
no03,Case1_no03_r13_volspd.csv,26.699645653367824,11944151.9,88584.61760000001
no03,Case1_no03_r14_volspd.csv,26.566627579688127,11995887.57,88525.0771
no03,Case1_no03_r15_volspd.csv,26.76409906866231,11910329.790000001,88547.0129
no03,Case1_no03_r16_volspd.csv,26.47300462855197,12041351.259999998,88547.4299
no03,Case1_no03_r17_volspd.csv,26.27281567283218,12144627.71,88631.54590000001
no03,Case1_no03_r18_volspd.csv,26.539193757820794,12009998.05,88537.68479999999
no03,Case1_no03_r19_volspd.csv,26.36723529438059,12102851.3,88644.09109999999
no03,Case1_no03_r20_volspd.csv,26.357138716218813,12095126.469999999,88553.5906
no04,Case1_no04_r01_volspd.csv,26.76726651451689,11917896.62,88613.7542
no04,Case1_no04_r02_volspd.csv,26.514405957795393,12024884.25,88564.6285
no04,Case1_no04_r03_volspd.csv,26.569585909057164,11998082.030000001,88551.13089999999
no04,Case1_no04_r04_volspd.csv,26.688662069695326,11947683.779999997,88574.3597
no04,Case1_no04_r06_volspd.csv,26.716908028378743,11933609.14,88563.6494
no04,Case1_no04_r07_volspd.csv,26.541385066995893,12016828.680000002,88595.35480000002
no04,Case1_no04_r08_volspd.csv,26.659953840651347,11960099.44,88571.0275
no04,Case1_no04_r09_volspd.csv,26.692539911865538,11944008.219999999,88559.9767
no04,Case1_no04_r11_volspd.csv,26.447718769993237,12055641.0,88567.83410000001
no04,Case1_no04_r12_volspd.csv,26.49862768131253,12027567.030000001,88531.6724
no04,Case1_no04_r13_volspd.csv,26.561122366140562,12005111.98,88574.7912
no04,Case1_no04_r14_volspd.csv,26.71496409176482,11935636.71,88572.25170000001
no04,Case1_no04_r15_volspd.csv,26.61148089847558,11980940.89,88564.04990000001
no04,Case1_no04_r16_volspd.csv,26.460499754482854,12053455.46,88594.5709
no04,Case1_no04_r17_volspd.csv,26.27517681420306,12137108.97,88584.6345
no04,Case1_no04_r18_volspd.csv,26.68971536837682,11947118.040000003,88573.66110000001
no04,Case1_no04_r19_volspd.csv,26.499011922072114,12033256.350000001,88574.83430000002
no04,Case1_no04_r20_volspd.csv,26.50781999213176,12037753.799999999,88637.3919
no05,Case1_no05_r01_volspd.csv,26.32424414991159,12123764.21,88652.4803
no05,Case1_no05_r02_volspd.csv,26.50159937741424,12032013.100000001,88574.33080000001
no05,Case1_no05_r03_volspd.csv,26.128488710398102,12198343.77,88534.52429999999
no05,Case1_no05_r04_volspd.csv,26.408628180530236,12067435.96,88523.45259999999
no05,Case1_no05_r06_volspd.csv,26.339062816770024,12107413.190000001,88582.7546
no05,Case1_no05_r07_volspd.csv,26.484423843361974,12044577.450000001,88609.3595
no05,Case1_no05_r08_volspd.csv,26.354179375901865,12087289.75,88486.27840000001
no05,Case1_no05_r09_volspd.csv,26.264674160997693,12135107.59,88534.6241
no05,Case1_no05_r11_volspd.csv,26.348282241721076,12102357.04,88576.75530000002
no05,Case1_no05_r12_volspd.csv,26.483337159197127,12050176.34,88646.9119
no05,Case1_no05_r13_volspd.csv,26.44108089838518,12053821.690000001,88532.24290000001
no05,Case1_no05_r14_volspd.csv,26.326671273429923,12117097.59,88611.90139999999
no05,Case1_no05_r15_volspd.csv,26.43835465544155,12059978.5,88568.3302
no05,Case1_no05_r16_volspd.csv,26.371295453912786,12095924.559999999,88607.00009999999
no05,Case1_no05_r17_volspd.csv,26.212785830428416,12155539.28,88508.4855
no05,Case1_no05_r18_volspd.csv,26.310978655955672,12110772.26,88512.85290000001
no05,Case1_no05_r19_volspd.csv,26.291100660233727,12133107.83,88609.0998
no05,Case1_no05_r20_volspd.csv,26.42918026232862,12060718.989999998,88543.03229999998
no06,Case1_no06_r01_volspd.csv,26.584132592869462,11996962.48,88591.3448
no06,Case1_no06_r02_volspd.csv,26.547817950672837,12012748.600000001,88586.7397
no06,Case1_no06_r03_volspd.csv,26.29173081658091,12122820.830000002,88536.095
no06,Case1_no06_r04_volspd.csv,26.312610776053532,12121561.54,88597.203
no06,Case1_no06_r06_volspd.csv,26.472991834350893,12046109.100000001,88582.3744
no06,Case1_no06_r07_volspd.csv,26.54119571548027,12018883.620000001,88609.8729
no06,Case1_no06_r08_volspd.csv,26.49749646869206,12039094.5,88612.74
no06,Case1_no06_r09_volspd.csv,26.433107042019586,12060683.879999999,88555.93000000002
no06,Case1_no06_r11_volspd.csv,26.302097605739032,12130634.240000002,88628.09049999999
no06,Case1_no06_r12_volspd.csv,26.279200395901306,12135084.870000001,88583.4242
no06,Case1_no06_r13_volspd.csv,26.361900881005187,12101956.059999999,88619.6017
no06,Case1_no06_r14_volspd.csv,26.616890787133144,11972382.719999999,88518.77870000001
no06,Case1_no06_r15_volspd.csv,26.363938732129203,12096510.46,88586.5724
no06,Case1_no06_r16_volspd.csv,26.199092992124275,12178485.209999999,88629.24070000002
no06,Case1_no06_r17_volspd.csv,26.091830469712548,12221822.489999998,88580.47790000001
no06,Case1_no06_r18_volspd.csv,26.364555437871854,12101808.07,88627.44159999999
no06,Case1_no06_r19_volspd.csv,26.360765207678025,12104985.700000001,88637.96830000001
no06,Case1_no06_r20_volspd.csv,26.360937154383574,12098265.770000001,88589.3399
no07,Case1_no07_r01_volspd.csv,25.989335136532176,12275547.68,88620.3674
no07,Case1_no07_r02_volspd.csv,26.12021942136406,12227400.059999999,88717.3257
no07,Case1_no07_r03_volspd.csv,25.931798290919417,12295264.610000001,88566.2005
no07,Case1_no07_r04_volspd.csv,25.948685889280146,12292616.030000001,88604.78669999998
no07,Case1_no07_r06_volspd.csv,25.86003919136235,12331860.16,88583.9964
no07,Case1_no07_r07_volspd.csv,26.34252491771465,12114879.080000002,88649.02889999999
no07,Case1_no07_r08_volspd.csv,26.05017908871751,12239028.959999999,88563.5823
no07,Case1_no07_r09_volspd.csv,25.995458533900706,12264413.91,88560.8509
no07,Case1_no07_r11_volspd.csv,25.931462497763277,12301112.419999998,88607.1765
no07,Case1_no07_r12_volspd.csv,26.073945339337538,12238338.32,88639.379
no07,Case1_no07_r13_volspd.csv,26.051415353596987,12248064.75,88633.17280000001
no07,Case1_no07_r14_volspd.csv,26.085872587896578,12225031.36,88583.50289999999
no07,Case1_no07_r15_volspd.csv,26.10833135907268,12215163.469999999,88588.2043
no07,Case1_no07_r16_volspd.csv,25.845915749348745,12349547.030000001,88662.59780000002
no07,Case1_no07_r17_volspd.csv,25.88414495338542,12319587.81,88578.3324
no07,Case1_no07_r18_volspd.csv,25.984698842321333,12275656.780000001,88605.3457
no07,Case1_no07_r19_volspd.csv,25.729554800414064,12400554.66,88627.9863
no07,Case1_no07_r20_volspd.csv,26.0842451852903,12223400.5,88566.1599
no08,Case1_no08_r01_volspd.csv,26.228421258666465,12164061.77,88623.37120000001
no08,Case1_no08_r02_volspd.csv,26.064718992068787,12235142.03,88584.87190000001
no08,Case1_no08_r03_volspd.csv,25.864182129131233,12323641.280000001,88539.1396
no08,Case1_no08_r04_volspd.csv,26.067749659556362,12237113.89,88609.45039999999
no08,Case1_no08_r06_volspd.csv,26.174644503794827,12183828.370000001,88585.3823
no08,Case1_no08_r07_volspd.csv,26.149522157452164,12203788.73,88645.3455
no08,Case1_no08_r08_volspd.csv,26.338133120727445,12112502.47,88616.8618
no08,Case1_no08_r09_volspd.csv,26.190560386703623,12179688.34,88609.1286
no08,Case1_no08_r11_volspd.csv,25.888841363036295,12320545.82,88601.2934
no08,Case1_no08_r12_volspd.csv,25.9872171388576,12275459.95,88612.512
no08,Case1_no08_r13_volspd.csv,26.138231239696804,12209613.57,88649.3619
no08,Case1_no08_r14_volspd.csv,26.419512082176315,12075742.5,88620.8958
no08,Case1_no08_r15_volspd.csv,26.196617562340634,12176512.370000001,88606.5105
no08,Case1_no08_r16_volspd.csv,25.961950279558863,12282384.59,88576.29389999999
no08,Case1_no08_r17_volspd.csv,25.905837305722468,12312351.18,88600.49070000001
no08,Case1_no08_r18_volspd.csv,25.963683578442645,12281909.97,88578.7845
no08,Case1_no08_r19_volspd.csv,25.8089845185828,12361116.4,88618.8505
no08,Case1_no08_r20_volspd.csv,26.162905376599486,12189547.34,88587.21489999999
