slot_code,HHMM,bus,nonbus,run
1030,10:30,317,8999,rand09
1030,10:30,351,9102,rand10
1030,10:30,331,9061,rand11
1030,10:30,304,9038,rand12
1030,10:30,300,9093,rand13
1030,10:30,316,9190,rand14
1030,10:30,327,9170,rand15
1030,10:30,312,9006,rand16
1030,10:30,337,9055,rand17
1030,10:30,322,9018,rand18
1030,10:30,335,8953,rand19
1030,10:30,346,8932,rand20
1045,10:45,259,8966,rand01
1045,10:45,309,8892,rand02
1045,10:45,313,8788,rand03
1045,10:45,325,8764,rand04
1045,10:45,302,8876,rand05
1045,10:45,303,8839,rand06
1045,10:45,320,8880,rand07
1045,10:45,264,8775,rand08
1045,10:45,278,8785,rand09
1045,10:45,251,8756,rand10
1045,10:45,282,8886,rand11
1045,10:45,325,8764,rand12
1045,10:45,288,8795,rand13
1045,10:45,308,8837,rand14
1045,10:45,284,8831,rand15
1045,10:45,294,8780,rand16
1045,10:45,289,8912,rand17
1045,10:45,310,8867,rand18
1045,10:45,304,8780,rand19
1045,10:45,276,8895,rand20
1100,11:00,215,9613,rand01
1100,11:00,213,9592,rand02
1100,11:00,191,9583,rand03
1100,11:00,208,9766,rand04
1100,11:00,185,9788,rand05
1100,11:00,205,9679,rand06
1100,11:00,199,9787,rand07
1100,11:00,205,9735,rand08
1100,11:00,234,9595,rand09
1100,11:00,221,9772,rand10
1100,11:00,210,9723,rand11
1100,11:00,204,9730,rand12
1100,11:00,212,9734,rand13
1100,11:00,196,9788,rand14
1100,11:00,232,9606,rand15
1100,11:00,212,9680,rand16
1100,11:00,231,9842,rand17
1100,11:00,194,9649,rand18
1100,11:00,180,9640,rand19
1100,11:00,167,9454,rand20
1115,11:15,253,10179,rand01
1115,11:15,208,10208,rand02
1115,11:15,240,10235,rand03
1115,11:15,206,10274,rand04
1115,11:15,241,10381,rand05
1115,11:15,236,10057,rand06
1115,11:15,216,10055,rand07
1115,11:15,226,10231,rand08
1115,11:15,217,10442,rand09
1115,11:15,236,10122,rand10
1115,11:15,209,10082,rand11
1115,11:15,213,10427,rand12
1115,11:15,237,10133,rand13
1115,11:15,222,9928,rand14
1115,11:15,212,10332,rand15
1115,11:15,227,10103,rand16
1115,11:15,213,9818,rand17
1115,11:15,236,10060,rand18
1115,11:15,219,10112,rand19
1115,11:15,261,10187,rand20
1130,11:30,231,8943,rand01
1130,11:30,260,8963,rand02
1130,11:30,254,9169,rand03
1130,11:30,253,9083,rand04
1130,11:30,247,9021,rand05
1130,11:30,215,9060,rand06
1130,11:30,245,9078,rand07
1130,11:30,253,9033,rand08
1130,11:30,252,8886,rand09
1130,11:30,231,8912,rand10
1130,11:30,222,8974,rand11
1130,11:30,216,8977,rand12
1130,11:30,265,9169,rand13
1130,11:30,284,9227,rand14
1130,11:30,261,8950,rand15
1130,11:30,269,9197,rand16
1130,11:30,255,9103,rand17
1130,11:30,238,9045,rand18
1130,11:30,269,8994,rand19
1130,11:30,224,8941,rand20
1145,11:45,263,9167,rand01
1145,11:45,249,9100,rand02
1145,11:45,234,8898,rand03
1145,11:45,253,9181,rand04
1145,11:45,235,8944,rand05
1145,11:45,282,9191,rand06
1145,11:45,248,9020,rand07
1145,11:45,266,9084,rand08
1145,11:45,250,9027,rand09
1145,11:45,256,9184,rand10
1145,11:45,303,9226,rand11
1145,11:45,280,8982,rand12
1145,11:45,229,9045,rand13
1145,11:45,223,8994,rand14
1145,11:45,222,9269,rand15
1145,11:45,204,9307,rand16
1145,11:45,233,9072,rand17
1145,11:45,232,9339,rand18
1145,11:45,262,9081,rand19
1145,11:45,261,9374,rand20
1200,12:00,227,9597,rand01
1200,12:00,231,9641,rand02
1200,12:00,234,9458,rand03
1200,12:00,208,9385,rand04
1200,12:00,228,9590,rand05
1200,12:00,216,9574,rand06
1200,12:00,245,9689,rand07
1200,12:00,226,9575,rand08
1200,12:00,216,9664,rand09
1200,12:00,222,9663,rand10
1200,12:00,183,9519,rand11
1200,12:00,217,9579,rand12
1200,12:00,219,9576,rand13
1200,12:00,219,9633,rand14
1200,12:00,227,9439,rand15
1200,12:00,262,9258,rand16
1200,12:00,220,9668,rand17
1200,12:00,227,9478,rand18
1200,12:00,231,9728,rand19
1200,12:00,235,9602,rand20
1215,12:15,235,9605,rand01
1215,12:15,239,9816,rand02
1215,12:15,240,9848,rand03
1215,12:15,251,9773,rand04
1215,12:15,248,9786,rand05
1215,12:15,270,9752,rand06
1215,12:15,202,9698,rand07
1215,12:15,226,9540,rand08
1215,12:15,219,9641,rand09
1215,12:15,237,9489,rand10
1215,12:15,269,9616,rand11
1215,12:15,229,9818,rand12
1215,12:15,234,9711,rand13
1215,12:15,235,9647,rand14
1215,12:15,267,9602,rand15
1215,12:15,241,9879,rand16
1215,12:15,254,9709,rand17
1215,12:15,250,9761,rand18
1215,12:15,222,9545,rand19
1215,12:15,264,9801,rand20
1230,12:30,255,9619,rand01
1230,12:30,277,9256,rand02
1230,12:30,286,9433,rand03
1230,12:30,265,9485,rand04
1230,12:30,285,9260,rand05
1230,12:30,232,9491,rand06
1230,12:30,311,9400,rand07
1230,12:30,273,9461,rand08
1230,12:30,318,9393,rand09
1230,12:30,283,9467,rand10
1230,12:30,240,9298,rand11
1230,12:30,284,9131,rand12
1230,12:30,298,9435,rand13
1230,12:30,276,9592,rand14
1230,12:30,261,9559,rand15
1230,12:30,274,9270,rand16
1230,12:30,274,9472,rand17
1230,12:30,298,9601,rand18
1230,12:30,283,9607,rand19
1230,12:30,264,9312,rand20
1245,12:45,327,9171,rand01
1245,12:45,299,9215,rand02
1245,12:45,302,9183,rand03
1245,12:45,296,9046,rand04
1245,12:45,313,9227,rand05
1245,12:45,327,9150,rand06
1245,12:45,295,9193,rand07
1245,12:45,328,9158,rand08
1245,12:45,287,9160,rand09
1245,12:45,308,9163,rand10
1245,12:45,351,9323,rand11
1245,12:45,316,9545,rand12
1245,12:45,321,9113,rand13
1245,12:45,327,9137,rand14
1245,12:45,300,9001,rand15
1245,12:45,277,9212,rand16
1245,12:45,303,9172,rand17
1245,12:45,304,8953,rand18
1245,12:45,314,9034,rand19
1245,12:45,287,9148,rand20
1300,13:00,270,9217,rand01
1300,13:00,299,9405,rand02
1300,13:00,274,9369,rand03
1300,13:00,290,9333,rand04
1300,13:00,273,9245,rand05
1300,13:00,302,9473,rand06
1300,13:00,272,9404,rand07
1300,13:00,252,9477,rand08
1300,13:00,257,9438,rand09
1300,13:00,279,9517,rand10
1300,13:00,278,9562,rand11
1300,13:00,291,9256,rand12
1300,13:00,256,9369,rand13
1300,13:00,247,9354,rand14
1300,13:00,276,9491,rand15
1300,13:00,309,9443,rand16
1300,13:00,286,9291,rand17
1300,13:00,256,9670,rand18
1300,13:00,255,9478,rand19
1300,13:00,282,9417,rand20
1315,13:15,265,8889,rand01
1315,13:15,234,8884,rand02
1315,13:15,250,8804,rand03
1315,13:15,255,8780,rand04
1315,13:15,230,9188,rand05
1315,13:15,235,8868,rand06
1315,13:15,239,8728,rand07
1315,13:15,245,8814,rand08
1315,13:15,257,8926,rand09
1315,13:15,200,8660,rand10
1315,13:15,214,8783,rand11
1315,13:15,219,8756,rand12
1315,13:15,233,9224,rand13
1315,13:15,262,8992,rand14
1315,13:15,241,9049,rand15
1315,13:15,247,8855,rand16
1315,13:15,235,8941,rand17
1315,13:15,256,8888,rand18
1315,13:15,259,8931,rand19
1315,13:15,238,8992,rand20
1330,13:30,249,9106,rand01
1330,13:30,262,9010,rand02
1330,13:30,261,8922,rand03
1330,13:30,255,9160,rand04
1330,13:30,268,8728,rand05
1330,13:30,266,8899,rand06
1330,13:30,296,9112,rand07
1330,13:30,291,8950,rand08
1330,13:30,268,8980,rand09
1330,13:30,293,9061,rand10
1330,13:30,252,8786,rand11
1330,13:30,265,9022,rand12
1330,13:30,226,8839,rand13
1330,13:30,272,8697,rand14
1330,13:30,261,8706,rand15
1330,13:30,267,8913,rand16
1330,13:30,260,8935,rand17
1330,13:30,238,8774,rand18
1330,13:30,249,8994,rand19
1330,13:30,249,8884,rand20
1345,13:45,182,8037,rand01
1345,13:45,192,8037,rand02
1345,13:45,206,8008,rand03
1345,13:45,217,7958,rand04
1345,13:45,208,8091,rand05
1345,13:45,177,7966,rand06
1345,13:45,171,7922,rand07
1345,13:45,182,7927,rand08
1345,13:45,206,7978,rand09
1345,13:45,233,7963,rand10
1345,13:45,226,8036,rand11
1345,13:45,233,7856,rand12
1345,13:45,245,7724,rand13
1345,13:45,202,8193,rand14
1345,13:45,221,8026,rand15
1345,13:45,199,8010,rand16
1345,13:45,230,7928,rand17
1345,13:45,191,8017,rand18
1345,13:45,234,7792,rand19
1345,13:45,237,7887,rand20
1400,14:00,333,8825,rand01
1400,14:00,333,8575,rand02
1400,14:00,289,8859,rand03
1400,14:00,296,8992,rand04
1400,14:00,293,8687,rand05
1400,14:00,287,8652,rand06
1400,14:00,353,8679,rand07
1400,14:00,322,8803,rand08
1400,14:00,305,8983,rand09
1400,14:00,310,8834,rand10
1400,14:00,321,9047,rand11
1400,14:00,248,8659,rand12
1400,14:00,303,9023,rand13
1400,14:00,313,8736,rand14
1400,14:00,324,8758,rand15
1400,14:00,310,8665,rand16
1400,14:00,299,8875,rand17
1400,14:00,348,8864,rand18
1400,14:00,303,8912,rand19
1400,14:00,325,8958,rand20
1415,14:15,232,9335,rand01
1415,14:15,214,9342,rand02
1415,14:15,241,8938,rand03
1415,14:15,227,8944,rand04
1415,14:15,241,9183,rand05
1415,14:15,258,9298,rand06
1415,14:15,220,9258,rand07
1415,14:15,227,9121,rand08
1415,14:15,229,8881,rand09
1415,14:15,184,9031,rand10
1415,14:15,223,9003,rand11
1415,14:15,275,9295,rand12
1415,14:15,243,8991,rand13
1415,14:15,220,9200,rand14
1415,14:15,197,9237,rand15
1415,14:15,229,9416,rand16
1415,14:15,203,8912,rand17
1415,14:15,211,9141,rand18
1415,14:15,204,9206,rand19
1415,14:15,211,8885,rand20
1430,14:30,301,8986,rand01
1430,14:30,305,9067,rand02
1430,14:30,291,9408,rand03
1430,14:30,299,9232,rand04
1430,14:30,267,9185,rand05
1430,14:30,301,9114,rand06
1430,14:30,281,9317,rand07
1430,14:30,259,9273,rand08
1430,14:30,292,9226,rand09
1430,14:30,297,9345,rand10
1430,14:30,296,9072,rand11
1430,14:30,278,9342,rand12
1430,14:30,264,9060,rand13
1430,14:30,305,9202,rand14
1430,14:30,317,9329,rand15
1430,14:30,257,9213,rand16
1430,14:30,284,9284,rand17
1430,14:30,301,9118,rand18
1430,14:30,279,9321,rand19
1430,14:30,290,9443,rand20
1445,14:45,359,8979,rand01
1445,14:45,330,9090,rand02
1445,14:45,362,9072,rand03
1445,14:45,379,8860,rand04
1445,14:45,366,9161,rand05
1445,14:45,328,9268,rand06
1445,14:45,332,8815,rand07
1445,14:45,383,8846,rand08
1445,14:45,353,9011,rand09
1445,14:45,369,9029,rand10
1445,14:45,354,9179,rand11
1445,14:45,333,8729,rand12
1445,14:45,376,9140,rand13
1445,14:45,357,8999,rand14
1445,14:45,346,9006,rand15
1445,14:45,356,8894,rand16
1445,14:45,388,9256,rand17
1445,14:45,317,9120,rand18
1445,14:45,378,8833,rand19
1445,14:45,345,8865,rand20
1500,15:00,254,9160,rand01
1500,15:00,245,9070,rand02
1500,15:00,262,9004,rand03
1500,15:00,234,9321,rand04
1500,15:00,302,8896,rand05
1500,15:00,257,9009,rand06
1500,15:00,265,9288,rand07
1500,15:00,237,9372,rand08
1500,15:00,257,9102,rand09
1500,15:00,279,9173,rand10
1500,15:00,253,9188,rand11
1500,15:00,302,9205,rand12
1500,15:00,249,9405,rand13
1500,15:00,256,9081,rand14
1500,15:00,223,8975,rand15
1500,15:00,254,9037,rand16
1500,15:00,263,9159,rand17
1500,15:00,292,9148,rand18
1500,15:00,260,9288,rand19
1500,15:00,254,9255,rand20
1515,15:15,310,9307,rand01
1515,15:15,385,9212,rand02
1515,15:15,349,9343,rand03
1515,15:15,370,9032,rand04
1515,15:15,334,9531,rand05
1515,15:15,374,9380,rand06
1515,15:15,353,9266,rand07
1515,15:15,375,9122,rand08
1515,15:15,338,9393,rand09
1515,15:15,269,9277,rand10
1515,15:15,366,9091,rand11
1515,15:15,328,9496,rand12
1515,15:15,382,9210,rand13
1515,15:15,321,9449,rand14
1515,15:15,365,9271,rand15
1515,15:15,389,9033,rand16
1515,15:15,321,9213,rand17
1515,15:15,328,9021,rand18
1515,15:15,331,9161,rand19
1515,15:15,341,9117,rand20
1530,15:30,310,8935,rand01
1530,15:30,254,9017,rand02
1530,15:30,284,8858,rand03
1530,15:30,247,9046,rand04
1530,15:30,266,8547,rand05
1530,15:30,288,8788,rand06
1530,15:30,287,8785,rand07
1530,15:30,256,8849,rand08
1530,15:30,278,8893,rand09
1530,15:30,322,8920,rand10
1530,15:30,252,8974,rand11
1530,15:30,296,8888,rand12
1530,15:30,244,8941,rand13
1530,15:30,301,8779,rand14
1530,15:30,274,8837,rand15
1530,15:30,241,9050,rand16
1530,15:30,293,8753,rand17
1530,15:30,310,9053,rand18
1530,15:30,306,8863,rand19
1530,15:30,307,8989,rand20
1545,15:45,252,8710,rand01
1545,15:45,307,8845,rand02
1545,15:45,258,8567,rand03
1545,15:45,278,8629,rand04
1545,15:45,244,9007,rand05
1545,15:45,236,8725,rand06
1545,15:45,258,8614,rand07
1545,15:45,287,8811,rand08
1545,15:45,296,8650,rand09
1545,15:45,267,8636,rand10
1545,15:45,265,8621,rand11
1545,15:45,239,8606,rand12
1545,15:45,288,8495,rand13
1545,15:45,246,8562,rand14
1545,15:45,275,8744,rand15
1545,15:45,288,8636,rand16
1545,15:45,281,8680,rand17
1545,15:45,242,8717,rand18
1545,15:45,249,8586,rand19
1545,15:45,236,8714,rand20
1600,16:00,295,10209,rand01
1600,16:00,239,10123,rand02
1600,16:00,285,10181,rand03
1600,16:00,257,10503,rand04
1600,16:00,309,10255,rand05
1600,16:00,312,10220,rand06
1600,16:00,283,10307,rand07
1600,16:00,286,10309,rand08
1600,16:00,261,10225,rand09
1600,16:00,309,10165,rand10
1600,16:00,283,10394,rand11
1600,16:00,290,10424,rand12
1600,16:00,267,10317,rand13
1600,16:00,291,10333,rand14
1600,16:00,256,10328,rand15
1600,16:00,287,10405,rand16
1600,16:00,270,10295,rand17
1600,16:00,291,10242,rand18
1600,16:00,303,10302,rand19
1600,16:00,288,10194,rand20
1615,16:15,251,10374,rand01
1615,16:15,271,10281,rand02
1615,16:15,260,10426,rand03
1615,16:15,307,10061,rand04
1615,16:15,243,10260,rand05
1615,16:15,246,10556,rand06
1615,16:15,280,10299,rand07
1615,16:15,250,10304,rand08
1615,16:15,260,10327,rand09
1615,16:15,247,10385,rand10
1615,16:15,295,10312,rand11
1615,16:15,274,10048,rand12
1615,16:15,273,10352,rand13
1615,16:15,270,10523,rand14
1615,16:15,297,10081,rand15
1615,16:15,246,10135,rand16
1615,16:15,258,10716,rand17
1615,16:15,279,10472,rand18
1615,16:15,265,10349,rand19
1615,16:15,264,10391,rand20
1630,16:30,247,9908,rand01
1630,16:30,227,9903,rand02
1630,16:30,235,9898,rand03
1630,16:30,235,9808,rand04
1630,16:30,266,9980,rand05
1630,16:30,238,9658,rand06
1630,16:30,245,10084,rand07
1630,16:30,228,9939,rand08
1630,16:30,251,9972,rand09
1630,16:30,255,9939,rand10
1630,16:30,208,9918,rand11
1630,16:30,228,10002,rand12
1630,16:30,260,9549,rand13
1630,16:30,255,9722,rand14
1630,16:30,226,9765,rand15
1630,16:30,252,9913,rand16
1630,16:30,239,9828,rand17
1630,16:30,237,9986,rand18
1630,16:30,224,9923,rand19
1630,16:30,249,9623,rand20
1645,16:45,211,10391,rand01
1645,16:45,224,10295,rand02
1645,16:45,229,10186,rand03
1645,16:45,194,10389,rand04
1645,16:45,186,10123,rand05
1645,16:45,233,10447,rand06
1645,16:45,184,10242,rand07
1645,16:45,234,10038,rand08
1645,16:45,211,10098,rand09
1645,16:45,206,10184,rand10
1645,16:45,240,9998,rand11
1645,16:45,244,10425,rand12
1645,16:45,173,10452,rand13
