slot_code,HHMM,car,bus,other,scenario,run
1645,16:45,10389,194,0,no01,rand04
1700,17:00,10503,412,0,no01,rand04
1715,17:15,11124,228,0,no01,rand04
1730,17:30,10196,332,0,no01,rand04
1745,17:45,10682,253,0,no01,rand04
1800,18:00,10965,328,0,no01,rand04
1815,18:15,9892,308,0,no01,rand04
1830,18:30,9190,225,0,no01,rand04
1845,18:45,8466,295,0,no01,rand04
0630,06:30,7661,249,0,no01,rand05
0645,06:45,8531,280,0,no01,rand05
0700,07:00,8701,266,0,no01,rand05
0715,07:15,10244,354,0,no01,rand05
0730,07:30,11178,331,0,no01,rand05
0745,07:45,11213,422,0,no01,rand05
0800,08:00,11882,454,0,no01,rand05
0815,08:15,11630,395,0,no01,rand05
0830,08:30,12643,452,0,no01,rand05
0845,08:45,11351,277,0,no01,rand05
0900,09:00,10007,412,0,no01,rand05
0915,09:15,9651,249,0,no01,rand05
0930,09:30,10016,331,0,no01,rand05
0945,09:45,9801,249,0,no01,rand05
1000,10:00,10404,298,0,no01,rand05
1015,10:15,9733,182,0,no01,rand05
1030,10:30,8695,325,0,no01,rand05
1045,10:45,8876,302,0,no01,rand05
1100,11:00,9788,185,0,no01,rand05
1115,11:15,10381,241,0,no01,rand05
1130,11:30,9021,247,0,no01,rand05
1145,11:45,8944,235,0,no01,rand05
1200,12:00,9590,228,0,no01,rand05
1215,12:15,9786,248,0,no01,rand05
1230,12:30,9260,285,0,no01,rand05
1245,12:45,9227,313,0,no01,rand05
1300,13:00,9245,273,0,no01,rand05
1315,13:15,9188,230,0,no01,rand05
1330,13:30,8728,268,0,no01,rand05
1345,13:45,8091,208,0,no01,rand05
1400,14:00,8687,293,0,no01,rand05
1415,14:15,9183,241,0,no01,rand05
1430,14:30,9185,267,0,no01,rand05
1445,14:45,9161,366,0,no01,rand05
1500,15:00,8896,302,0,no01,rand05
1515,15:15,9531,334,0,no01,rand05
1530,15:30,8547,266,0,no01,rand05
1545,15:45,9007,244,0,no01,rand05
1600,16:00,10255,309,0,no01,rand05
1615,16:15,10260,243,0,no01,rand05
1630,16:30,9980,266,0,no01,rand05
1645,16:45,10123,186,0,no01,rand05
1700,17:00,10597,395,0,no01,rand05
1715,17:15,10886,303,0,no01,rand05
1730,17:30,10278,266,0,no01,rand05
1745,17:45,10746,288,0,no01,rand05
1800,18:00,10867,326,0,no01,rand05
1815,18:15,10143,287,0,no01,rand05
1830,18:30,9230,228,0,no01,rand05
1845,18:45,8523,293,0,no01,rand05
0630,06:30,7722,265,0,no01,rand06
0645,06:45,8611,265,0,no01,rand06
0700,07:00,8692,271,0,no01,rand06
0715,07:15,10018,350,0,no01,rand06
0730,07:30,11047,317,0,no01,rand06
0745,07:45,11529,391,0,no01,rand06
0800,08:00,11731,483,0,no01,rand06
0815,08:15,11715,417,0,no01,rand06
0830,08:30,12436,420,0,no01,rand06
0845,08:45,11703,291,0,no01,rand06
0900,09:00,9802,444,0,no01,rand06
0915,09:15,9748,213,0,no01,rand06
0930,09:30,10086,339,0,no01,rand06
0945,09:45,9656,252,0,no01,rand06
1000,10:00,10463,311,0,no01,rand06
1015,10:15,9306,187,0,no01,rand06
1030,10:30,9173,295,0,no01,rand06
1045,10:45,8839,303,0,no01,rand06
1100,11:00,9679,205,0,no01,rand06
1115,11:15,10057,236,0,no01,rand06
1130,11:30,9060,215,0,no01,rand06
1145,11:45,9191,282,0,no01,rand06
1200,12:00,9574,216,0,no01,rand06
1215,12:15,9752,270,0,no01,rand06
1230,12:30,9491,232,0,no01,rand06
1245,12:45,9150,327,0,no01,rand06
1300,13:00,9473,302,0,no01,rand06
1315,13:15,8868,235,0,no01,rand06
1330,13:30,8899,266,0,no01,rand06
1345,13:45,7966,177,0,no01,rand06
1400,14:00,8652,287,0,no01,rand06
1415,14:15,9298,258,0,no01,rand06
1430,14:30,9114,301,0,no01,rand06
1445,14:45,9268,328,0,no01,rand06
1500,15:00,9009,257,0,no01,rand06
1515,15:15,9380,374,0,no01,rand06
1530,15:30,8788,288,0,no01,rand06
1545,15:45,8725,236,0,no01,rand06
1600,16:00,10220,312,0,no01,rand06
1615,16:15,10556,246,0,no01,rand06
1630,16:30,9658,238,0,no01,rand06
1645,16:45,10447,233,0,no01,rand06
1700,17:00,10773,329,0,no01,rand06
1715,17:15,10679,311,0,no01,rand06
1730,17:30,10300,308,0,no01,rand06
1745,17:45,10918,230,0,no01,rand06
1800,18:00,10728,371,0,no01,rand06
1815,18:15,10118,261,0,no01,rand06
1830,18:30,9275,252,0,no01,rand06
1845,18:45,8396,272,0,no01,rand06
0630,06:30,7751,239,0,no01,rand07
0645,06:45,8854,306,0,no01,rand07
0700,07:00,8614,278,0,no01,rand07
0715,07:15,10108,342,0,no01,rand07
0730,07:30,10872,325,0,no01,rand07
0745,07:45,11218,427,0,no01,rand07
0800,08:00,11920,455,0,no01,rand07
0815,08:15,11676,425,0,no01,rand07
0830,08:30,12504,392,0,no01,rand07
0845,08:45,11389,301,0,no01,rand07
0900,09:00,10001,404,0,no01,rand07
0915,09:15,9841,218,0,no01,rand07
0930,09:30,9994,359,0,no01,rand07
0945,09:45,9704,218,0,no01,rand07
1000,10:00,10588,313,0,no01,rand07
1015,10:15,9414,215,0,no01,rand07
1030,10:30,8942,295,0,no01,rand07
1045,10:45,8880,320,0,no01,rand07
1100,11:00,9787,199,0,no01,rand07
1115,11:15,10055,216,0,no01,rand07
1130,11:30,9078,245,0,no01,rand07
1145,11:45,9020,248,0,no01,rand07
1200,12:00,9689,245,0,no01,rand07
1215,12:15,9698,202,0,no01,rand07
1230,12:30,9400,311,0,no01,rand07
1245,12:45,9193,295,0,no01,rand07
1300,13:00,9404,272,0,no01,rand07
1315,13:15,8728,239,0,no01,rand07
1330,13:30,9112,296,0,no01,rand07
1345,13:45,7922,171,0,no01,rand07
1400,14:00,8679,353,0,no01,rand07
1415,14:15,9258,220,0,no01,rand07
1430,14:30,9317,281,0,no01,rand07
1445,14:45,8815,332,0,no01,rand07
1500,15:00,9288,265,0,no01,rand07
1515,15:15,9266,353,0,no01,rand07
1530,15:30,8785,287,0,no01,rand07
1545,15:45,8614,258,0,no01,rand07
1600,16:00,10307,283,0,no01,rand07
1615,16:15,10299,280,0,no01,rand07
1630,16:30,10084,245,0,no01,rand07
1645,16:45,10242,184,0,no01,rand07
1700,17:00,10754,379,0,no01,rand07
1715,17:15,10821,305,0,no01,rand07
1730,17:30,10156,249,0,no01,rand07
1745,17:45,10847,311,0,no01,rand07
1800,18:00,10782,320,0,no01,rand07
1815,18:15,10099,270,0,no01,rand07
1830,18:30,9104,254,0,no01,rand07
1845,18:45,8616,304,0,no01,rand07
0630,06:30,7268,240,0,no01,rand08
0645,06:45,8943,280,0,no01,rand08
0700,07:00,8837,288,0,no01,rand08
0715,07:15,10261,347,0,no01,rand08
0730,07:30,11189,343,0,no01,rand08
0745,07:45,10983,424,0,no01,rand08
0800,08:00,11950,366,0,no01,rand08
0815,08:15,11702,499,0,no01,rand08
0830,08:30,12412,366,0,no01,rand08
0845,08:45,11397,321,0,no01,rand08
0900,09:00,10040,427,0,no01,rand08
0915,09:15,9786,215,0,no01,rand08
0930,09:30,10231,336,0,no01,rand08
0945,09:45,9598,262,0,no01,rand08
1000,10:00,10472,275,0,no01,rand08
1015,10:15,9508,227,0,no01,rand08
1030,10:30,8973,328,0,no01,rand08
1045,10:45,8775,264,0,no01,rand08
1100,11:00,9735,205,0,no01,rand08
1115,11:15,10231,226,0,no01,rand08
1130,11:30,9033,253,0,no01,rand08
1145,11:45,9084,266,0,no01,rand08
1200,12:00,9575,226,0,no01,rand08
1215,12:15,9540,226,0,no01,rand08
1230,12:30,9461,273,0,no01,rand08
1245,12:45,9158,328,0,no01,rand08
1300,13:00,9477,252,0,no01,rand08
1315,13:15,8814,245,0,no01,rand08
1330,13:30,8950,291,0,no01,rand08
1345,13:45,7927,182,0,no01,rand08
1400,14:00,8803,322,0,no01,rand08
1415,14:15,9121,227,0,no01,rand08
1430,14:30,9273,259,0,no01,rand08
1445,14:45,8846,383,0,no01,rand08
1500,15:00,9372,237,0,no01,rand08
1515,15:15,9122,375,0,no01,rand08
1530,15:30,8849,256,0,no01,rand08
1545,15:45,8811,287,0,no01,rand08
1600,16:00,10309,286,0,no01,rand08
1615,16:15,10304,250,0,no01,rand08
1630,16:30,9939,228,0,no01,rand08
1645,16:45,10038,234,0,no01,rand08
1700,17:00,10961,360,0,no01,rand08
1715,17:15,10567,308,0,no01,rand08
1730,17:30,10392,284,0,no01,rand08
1745,17:45,10764,257,0,no01,rand08
1800,18:00,10994,310,0,no01,rand08
1815,18:15,9751,303,0,no01,rand08
1830,18:30,9490,238,0,no01,rand08
1845,18:45,8327,316,0,no01,rand08
0630,06:30,7511,252,0,no01,rand09
0645,06:45,8765,266,0,no01,rand09
0700,07:00,8568,282,0,no01,rand09
0715,07:15,10333,384,0,no01,rand09
0730,07:30,11050,284,0,no01,rand09
0745,07:45,11473,405,0,no01,rand09
0800,08:00,11808,507,0,no01,rand09
0815,08:15,11814,378,0,no01,rand09
0830,08:30,12520,421,0,no01,rand09
0845,08:45,11073,315,0,no01,rand09
0900,09:00,10345,419,0,no01,rand09
0915,09:15,9485,204,0,no01,rand09
0930,09:30,10148,334,0,no01,rand09
0945,09:45,9615,239,0,no01,rand09
1000,10:00,10401,314,0,no01,rand09
