slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1215,no05,28.01827981730973,230180.06055555557,241.6,12:15
1230,no05,27.78282437961981,214760.69,276.85,12:30
1245,no05,28.73744246634961,213939.63666666663,309.1,12:45
1300,no05,28.46373054624833,221246.3461111111,275.2,13:00
1315,no05,28.75711773116098,208413.5133333333,240.7,13:15
1330,no05,28.23093977400421,205847.43,262.4,13:30
1345,no05,28.21534717329141,187750.25,209.6,13:45
1400,no05,28.2154457676059,204814.6977777778,310.75,14:00
1415,no05,28.177517983171636,218642.39944444445,224.45,14:15
1430,no05,28.97993892942806,211475.7755555556,288.2,14:30
1445,no05,28.42186410061696,213581.46944444443,355.55,14:45
1500,no05,26.86805732902267,225920.2933333333,259.9,15:00
1515,no05,26.64479141596281,229191.2888888889,346.45,15:15
1530,no05,26.93851137363661,223398.015,280.8,15:30
1545,no05,27.25684459778213,212960.455,264.6,15:45
1600,no05,24.585760092192064,274250.0511111111,283.1,16:00
1615,no05,24.434636397299585,273389.4427777778,266.8,16:15
1630,no05,23.667172879386115,267679.83944444446,240.25,16:30
1645,no05,24.74527523570121,274241.3427777777,211.35,16:45
1700,no05,24.021644517093414,293268.36888888886,365.3,17:00
1715,no05,26.220700214389737,275638.6411111111,295.9,17:15
1730,no05,26.23390899644208,258423.88611111112,286.25,17:30
1745,no05,25.08458282912746,281510.2522222222,265.05,17:45
1800,no05,25.046575550762025,280937.74166666664,330.9,18:00
1815,no05,25.683573807416607,257185.54111111112,294.5,18:15
1830,no05,27.116523209862933,225521.3827777778,239.1,18:30
700,no06,26.82243752539207,208565.4188888889,275.45,07:00
715,no06,26.34295777775193,252991.15611111117,352.15,07:15
730,no06,24.74211679970192,290587.7216666667,323.75,07:30
745,no06,24.971589039105325,281670.2683333333,418.75,07:45
800,no06,23.765405849795357,321957.4194444444,460.2,08:00
815,no06,24.510355600625424,317541.90722222225,427.6,08:15
830,no06,24.31789747622695,325345.0805555556,396.7,08:30
845,no06,24.40509796192801,307043.2111111111,305.25,08:45
900,no06,25.920358660527008,264589.1883333333,409.65,09:00
915,no06,26.759149507618808,228096.94833333333,232.35,09:15
930,no06,26.657101611784288,243810.16666666663,344.75,09:30
945,no06,27.92713057222356,225390.46277777775,222.55,09:45
1000,no06,25.439808450119468,260055.13222222225,312.3,10:00
1015,no06,24.833514026533663,253306.13,201.25,10:15
1030,no06,27.80708339651004,214990.1911111111,320.15,10:30
1045,no06,28.824903466813797,204409.27833333332,294.2,10:45
