scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no07,2022/10/18 10:30:00,1030,26.94860378155742,0.7686181328034316,222607.75444444444,8163.401155532157,1664.83945,22.917727337183077
no07,2022/10/18 10:45:00,1045,28.636409919458213,0.24803904970068727,205758.5522222222,2398.9070468703394,1636.6069166666666,13.374968803097175
no07,2022/10/18 11:00:00,1100,27.108859913621675,0.31665633636298807,231699.49277777778,4129.844991886438,1744.481161111111,19.666887094544837
no07,2022/10/18 11:15:00,1115,26.467794327412772,0.6553141064498087,242471.69722222222,7254.395551392849,1781.6140611111111,26.174094328960773
no07,2022/10/18 11:30:00,1130,27.7100168562266,0.3816507794734936,212074.83222222223,4180.327777847303,1632.1247166666667,25.099021703157877
no07,2022/10/18 11:45:00,1145,28.019543625145566,0.2813004473011354,217291.505,3985.971581518549,1691.0817277777778,27.245613651500484
no07,2022/10/18 12:00:00,1200,27.440596938986044,0.37278246517404606,226368.47388888887,5074.138019783597,1725.11455,27.472492655044412
no07,2022/10/18 12:15:00,1215,27.770979950952107,0.4126416417694983,232461.84166666667,5408.831904784501,1792.756561111111,24.18675822008048
no07,2022/10/18 12:30:00,1230,27.596156760396923,0.3663493597935796,215974.13666666666,5373.1069719998095,1655.211638888889,30.096676829630585
no07,2022/10/18 12:45:00,1245,28.518116588023716,0.3027515837906051,215780.49277777778,5538.942580231691,1709.0147055555556,32.15072739591505
no07,2022/10/18 13:00:00,1300,28.382813550052656,0.3058935517706551,222300.44499999998,4606.733755072077,1752.3557555555553,24.927388260782415
no07,2022/10/18 13:15:00,1315,28.595393655083853,0.3560526612341589,209433.01555555555,5202.196523255091,1663.1867277777778,28.592225935214625
no07,2022/10/18 13:30:00,1330,27.995726784950712,0.2610142999789552,207889.64388888888,4769.986268541253,1616.5609388888888,34.81996542028121
no07,2022/10/18 13:45:00,1345,27.782003033751568,0.7148009821603397,190246.97333333333,5992.300618536896,1467.1957722222223,22.326913865525473
no07,2022/10/18 14:00:00,1400,27.888558778514376,0.22050367997048423,207979.28166666665,4548.746715239589,1611.059638888889,31.541076712666044
no07,2022/10/18 14:15:00,1415,27.995994985289453,0.43261884356499397,220292.53166666665,7583.621362531109,1712.4761055555555,42.0349873178841
no07,2022/10/18 14:30:00,1430,28.69665946378587,0.30041483501420424,213340.81333333335,5425.5787892060325,1700.2580666666665,30.856904369591522
no07,2022/10/18 14:45:00,1445,27.952119889643402,0.46325995119381524,217186.6261111111,6328.835864768341,1685.7575,33.16390097993691
no07,2022/10/18 15:00:00,1500,26.74308028284837,0.5027465589057764,228367.34277777778,6468.4592742910845,1695.863461111111,35.10189528555127
no07,2022/10/18 15:15:00,1515,26.25789609097085,0.5112160687925743,231844.45166666666,5561.758944309161,1690.4635722222222,25.73601925120895
no07,2022/10/18 15:30:00,1530,26.684790272239773,0.4616677894029128,226267.51277777777,5591.422624462464,1676.6135666666667,22.752636098340968
no07,2022/10/18 15:45:00,1545,27.090635504369956,0.3957494955810622,214499.02944444446,5053.956676897663,1613.6875722222221,20.867090036334204
no07,2022/10/18 16:00:00,1600,24.506590587335307,0.37946278137488787,275701.42055555555,6941.3326302057085,1876.1849333333334,24.744778802619923
no07,2022/10/18 16:15:00,1615,24.34322598174642,0.4201757389570643,273830.10055555555,7199.5828423175935,1850.990372222222,29.314626447536313
no07,2022/10/18 16:30:00,1630,23.520272047766188,0.6149172189219506,269609.1694444444,8129.570842847496,1760.3927944444445,30.75494088384484
no07,2022/10/18 16:45:00,1645,24.64915764847618,0.7137322586814575,275397.0188888889,8384.289940464549,1884.3254,32.44197194530567
no07,2022/10/18 17:00:00,1700,23.738337343820593,0.568669978720513,296296.9738888889,9430.355397371975,1952.520761111111,28.88324245884859
no07,2022/10/18 17:15:00,1715,25.710415580262254,0.4717525687019735,280991.4344444445,5917.5279257973025,2006.3992499999997,38.87979454457712
no07,2022/10/18 17:30:00,1730,25.671730899426095,0.5752830242203322,263556.8188888889,5794.845910042805,1878.6494833333334,18.99457004716782
no07,2022/10/18 17:45:00,1745,24.592054505501864,0.7993062404047357,286405.0055555555,10563.023327604102,1954.4545444444443,29.967179181039022
no07,2022/10/18 18:00:00,1800,24.27604352516286,0.7520716582643998,288571.8983333333,9013.550376991712,1944.3727055555557,29.204254492100574
no07,2022/10/18 18:15:00,1815,24.58959248195617,0.8613829644452797,267412.99555555556,10321.122514640272,1824.3213555555558,21.213415969595406
no07,2022/10/18 18:30:00,1830,26.42354121399503,0.867683995301199,234589.54444444444,10819.222718845336,1719.4955055555556,29.156062091229245
