scenario,slot_code,link_id,V_link_kmh_mean,V_link_kmh_std,TTT_sec_mean,TTT_sec_std,flow_veh_mean,flow_veh_std,n_runs,hhmm
no01,0630,533967_00535_00538_1,15.041653005726477,1.770132986387298,573.851,95.53575488844618,13.65,1.7851728502481647,20,06:30
no01,0630,533967_00535_00609_0,29.98053464566716,0.034602856623027534,4273.1515,137.2624668779527,69.45,2.211810403980845,20,06:30
no01,0630,533967_00535_00609_1,18.866034167655638,1.1224927665031597,8657.018,762.2590970239645,87.8,4.4909265249647055,20,06:30
no01,0630,533967_00535_11512_0,43.9914605414689,0.4624248417814947,304.81149999999997,25.25586857804695,25.7,2.0799797569865155,20,06:30
no01,0630,533967_00535_11512_1,14.136686986396299,0.9979848388640098,4184.268,388.75417705117565,111.95,3.6197557347074367,20,06:30
no01,0630,533967_00535_14018_0,42.82153238982679,0.4055058052221692,946.3425,42.08330308666619,85.85,3.5876249290552886,20,06:30
no01,0630,533967_00535_14018_1,13.467196532891359,1.5637818184459298,1555.956,181.5377967720279,43.65,1.2680278927697533,20,06:30
no01,0630,533967_00536_11512_0,30.118221835072404,0.1715926201275659,1661.536,22.868653194872856,118.1,1.55258697527368,20,06:30
no01,0630,533967_00536_11512_1,43.25196189424254,0.23690486612487544,203.868,17.047688097618522,25.2,2.1175954586076604,20,06:30
no01,0630,533967_00538_00539_0,22.49371538271877,0.7437165026445401,5306.5105,239.45896100375933,122.35,3.5135077688978087,20,06:30
no01,0630,533967_00538_00539_1,25.66149576829766,2.263791122468831,1737.7904999999998,157.18324286188698,45.4,2.1373865005261865,20,06:30
no01,0630,533967_00538_11513_0,47.17962991180183,0.40233111539710964,922.143,56.7661574587498,47.1,2.971797258792803,20,06:30
no01,0630,533967_00538_11513_1,7.998343160402979,1.0810744146767197,11178.126,1432.1569810030567,95.05,2.2589005243585563,20,06:30
no01,0630,533967_00539_11517_0,,,,,0.0,0.0,20,06:30
no01,0630,533967_00539_11517_1,,,,,0.0,0.0,20,06:30
