scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no02,2022/10/18 13:00:00,1300,28.842905190660076,0.2529485934439722,218018.34999999998,3648.4362650673834,1746.5718388888888,21.116469906829646
no02,2022/10/18 13:15:00,1315,29.03427287009827,0.31185704858409297,206079.62055555556,3809.1872599490966,1661.9192277777777,28.460422527718002
no02,2022/10/18 13:30:00,1330,28.46754272167999,0.23517788156496358,203569.295,4167.473439951005,1609.6091277777778,27.61341105694423
no02,2022/10/18 13:45:00,1345,28.62024106480537,0.1698559305805997,185596.835,3285.342110876293,1475.42,21.93686113293974
no02,2022/10/18 14:00:00,1400,28.537294548331765,0.2406685585034808,202861.52555555556,3771.8106862981863,1607.9618666666668,25.457868513775963
no02,2022/10/18 14:15:00,1415,28.510373543747804,0.3457552247317151,215575.20388888888,6742.076120411663,1706.7621555555554,38.41560119778572
no02,2022/10/18 14:30:00,1430,29.143819999512484,0.2518468531328813,210386.7377777778,3888.7487875643283,1703.0261333333333,25.105825164128078
no02,2022/10/18 14:45:00,1445,28.926227539894587,0.27924707743506705,210397.06555555557,4203.399098507308,1690.3749666666668,27.581912574835762
no02,2022/10/18 15:00:00,1500,27.222885641772496,0.5580037870339555,222786.48166666666,5234.303170885702,1684.1642277777778,29.992254500410905
no02,2022/10/18 15:15:00,1515,27.120593479270084,0.5346130683703759,225824.75166666665,8391.153999540407,1700.2111944444446,35.176185214523144
no02,2022/10/18 15:30:00,1530,27.248006082079616,0.43197612663281676,220211.0222222222,5382.820114163372,1666.2440277777778,23.62724144369366
no02,2022/10/18 15:45:00,1545,27.506695056677156,0.44607250159243045,211123.46666666667,5530.193097018028,1612.6072055555555,24.90350311605057
no02,2022/10/18 16:00:00,1600,24.86372059961732,0.2435305192275174,271387.4038888889,4846.9599574883705,1874.16255,25.965253816392867
no02,2022/10/18 16:15:00,1615,24.886406478460977,0.3801551132225251,267750.81,6919.604859468241,1850.4184333333333,32.85576323406505
no02,2022/10/18 16:30:00,1630,24.16297296339034,0.45527715110387895,263695.555,8400.664996927497,1769.085761111111,34.375173542357906
no02,2022/10/18 16:45:00,1645,25.099814777068566,0.3604840220519989,269354.29333333333,5099.4409936453385,1877.7145444444443,30.46419358829258
no02,2022/10/18 17:00:00,1700,24.17438052306882,0.8241815514803819,291238.12555555557,12360.01222071366,1953.1604777777777,27.561576851512502
no02,2022/10/18 17:15:00,1715,26.89463924787604,0.5791459907186586,269063.59777777776,8584.914013991654,2008.978,34.49968143002113
no02,2022/10/18 17:30:00,1730,26.855980260699443,0.5131861335695285,252636.81277777778,5546.051901150635,1884.14825,30.52547612436401
no02,2022/10/18 17:45:00,1745,25.935551903166182,0.741212312234473,271748.34444444446,8940.81245403756,1956.1166333333333,21.33542429989313
no02,2022/10/18 18:00:00,1800,25.928222520464463,0.8444960471008641,273589.9111111111,7889.951082176606,1968.8407777777777,24.48037039941225
no02,2022/10/18 18:15:00,1815,27.283453871743085,0.6505693992147096,243322.38611111112,7681.332322741274,1842.9022555555555,27.392587922760104
no02,2022/10/18 18:30:00,1830,27.896226405438508,0.4396955324664839,214472.84777777776,6210.520766644627,1661.41755,34.002288091612265
no03,2022/10/18 07:00:00,0700,26.834518053050527,0.38513837069829376,208589.95277777777,3985.7024305204413,1554.6311944444444,26.652248551327368
no03,2022/10/18 07:15:00,0715,26.327075288282696,0.47015489330636384,252966.79888888888,5807.879196387782,1849.3920555555555,25.822607465534624
no03,2022/10/18 07:30:00,0730,24.665147597424678,0.4247915899848887,291441.5611111111,7768.7067905130225,1996.009061111111,26.55623376449081
no03,2022/10/18 07:45:00,0745,24.90841985221944,0.4783328329473035,282915.73333333334,7228.513358807518,1956.7605444444443,29.13670976457308
no03,2022/10/18 08:00:00,0800,23.737224696652756,0.5446512439421559,321591.6122222222,9174.16972528244,2119.28875,26.92784443141809
no03,2022/10/18 08:15:00,0815,24.617496617417473,0.7699406298808541,315768.4111111111,11285.241526065533,2157.0707444444442,18.624006224832907
no03,2022/10/18 08:30:00,0830,24.28112881403972,0.3795578974667598,326427.87555555557,7001.117121928157,2201.2248611111113,36.03610262647791
no03,2022/10/18 08:45:00,0845,24.614051741357517,0.7035837095464419,304323.33444444445,10501.74790816287,2078.917772222222,26.751075569642186
no03,2022/10/18 09:00:00,0900,25.925677655699896,0.612206159837051,264154.04666666663,8290.646587565161,1901.0958722222224,25.03981629515408
no03,2022/10/18 09:15:00,0915,27.10345005464464,0.6779622859157625,226531.83833333332,6497.80373234024,1704.4185944444444,17.691319442180117
no03,2022/10/18 09:30:00,0930,26.653215961054507,1.1013331572009373,243436.64666666664,10523.61125690897,1799.4257777777777,24.384180258195777
no03,2022/10/18 09:45:00,0945,27.879819314849055,0.28342700444104024,225779.09722222222,4655.850675805411,1748.2683444444444,25.897167319435734
no03,2022/10/18 10:00:00,1000,25.916158941732746,0.868558623094773,255795.06555555554,7264.923037254141,1839.9440999999997,25.99348823247403
no03,2022/10/18 10:15:00,1015,25.10210048658824,0.9090818672765117,249554.19444444444,11178.34306166654,1737.509361111111,23.6461836405977
no03,2022/10/18 10:30:00,1030,28.049200641211574,0.43072292593829387,213442.34722222222,3861.672375634542,1662.707661111111,20.926554273518448
no03,2022/10/18 10:45:00,1045,28.96272733058447,0.20148317113115036,202997.2888888889,2358.2578972520405,1633.0738277777778,14.455374493645477
no03,2022/10/18 11:00:00,1100,27.48605068702642,0.370726286209649,227138.22388888887,4640.203345699075,1733.8236388888888,19.96621450253749
no03,2022/10/18 11:15:00,1115,26.958114795763784,0.7770186646227594,238229.05222222224,8974.013459249047,1782.2701833333333,26.514506212088605
no03,2022/10/18 11:30:00,1130,28.046684074129686,0.4018008917949261,209595.4877777778,4428.863281058973,1632.5548055555555,22.90953007399201
no03,2022/10/18 11:45:00,1145,28.53645775609461,0.27617580629359934,213349.84944444444,4395.414475117926,1690.9312277777778,24.327874877398536
no03,2022/10/18 12:00:00,1200,27.89448002185841,0.3232289388485487,221103.65000000002,4550.029882016935,1712.95685,26.571440875192014
no03,2022/10/18 12:15:00,1215,28.107867726790023,0.3446400981298049,229152.36388888888,4818.919830109774,1788.8271333333332,25.02651393746952
no03,2022/10/18 12:30:00,1230,27.853233116788257,0.3542510955392063,214521.26722222223,5196.699313457711,1659.3848833333332,27.336140411426637
no03,2022/10/18 12:45:00,1245,28.858596608409236,0.27964636246374724,212656.43055555556,4306.649411950386,1704.5537666666667,29.859654895448653
no03,2022/10/18 13:00:00,1300,28.622683500204978,0.25597318529765833,219949.03,4179.654000461825,1748.5693222222224,25.494249450797216
