scenario,timestr,slot_code,subset,V_net_mean,TTT_mean,flow_kmveh_mean
no04,2022/10/18 17:00:00,1700,all,24.075356057534375,291841.32333333336,1948.6740444444445
no04,2022/10/18 17:15:00,1715,all,26.539359344401596,272812.01444444444,2010.6449666666667
no04,2022/10/18 17:30:00,1730,all,26.603400607903254,254810.88888888888,1882.5804277777777
no04,2022/10/18 17:45:00,1745,all,25.379921608105885,276685.53222222225,1949.4058444444445
no04,2022/10/18 18:00:00,1800,all,25.233130402033723,280056.12944444444,1961.63585
no04,2022/10/18 18:15:00,1815,all,26.144136104797514,253224.24222222224,1837.6588499999998
no04,2022/10/18 18:30:00,1830,all,27.312505578840245,221446.76277777777,1679.319138888889
no05,2022/10/18 07:00:00,0700,all,26.816961940955437,208618.64222222223,1553.7452777777778
no05,2022/10/18 07:15:00,0715,all,26.25601453109664,253837.24555555556,1850.6215499999998
no05,2022/10/18 07:30:00,0730,all,24.530982238931117,292633.84055555554,1992.8334499999999
no05,2022/10/18 07:45:00,0745,all,24.797137191224763,284216.0805555556,1956.3008666666667
no05,2022/10/18 08:00:00,0800,all,23.56761578703766,323376.4016666667,2115.767111111111
no05,2022/10/18 08:15:00,0815,all,24.390885892988713,319076.11388888885,2160.1637444444445
no05,2022/10/18 08:30:00,0830,all,24.21867682120629,327241.79833333334,2200.7725666666665
no05,2022/10/18 08:45:00,0845,all,24.407806928891127,306706.30000000005,2077.2863888888887
no05,2022/10/18 09:00:00,0900,all,25.818784945787478,265180.70722222223,1900.8247722222222
no05,2022/10/18 09:15:00,0915,all,27.02201327142033,227373.61277777777,1705.5887777777778
no05,2022/10/18 09:30:00,0930,all,26.62767509432472,243477.98944444442,1798.8157999999999
no05,2022/10/18 09:45:00,0945,all,27.768178279976997,226664.83222222223,1748.0278555555556
no05,2022/10/18 10:00:00,1000,all,25.567997821590406,258565.81777777776,1835.0272388888889
no05,2022/10/18 10:15:00,1015,all,24.70723068253396,254456.51944444442,1743.31705
no05,2022/10/18 10:30:00,1030,all,27.684676122628648,215703.94222222222,1658.4482611111112
no05,2022/10/18 10:45:00,1045,all,28.87902286362269,203961.45722222223,1636.0905
no05,2022/10/18 11:00:00,1100,all,27.359565271807437,228507.76666666666,1736.448577777778
no05,2022/10/18 11:15:00,1115,all,26.791142007395674,239538.42388888888,1781.8000055555556
no05,2022/10/18 11:30:00,1130,all,27.90512201202313,210360.05,1630.3212444444443
no05,2022/10/18 11:45:00,1145,all,28.42769684828823,214483.13055555557,1693.530888888889
no05,2022/10/18 12:00:00,1200,all,27.867107685265363,221793.98611111112,1716.51235
no05,2022/10/18 12:15:00,1215,all,28.01827981730973,230180.06055555554,1790.903661111111
no05,2022/10/18 12:30:00,1230,all,27.78282437961981,214760.69,1657.04075
no05,2022/10/18 12:45:00,1245,all,28.737442466349606,213939.63666666666,1707.664622222222
no05,2022/10/18 13:00:00,1300,all,28.46373054624833,221246.3461111111,1749.0680666666667
no05,2022/10/18 13:15:00,1315,all,28.75711773116098,208413.51333333334,1664.43805
no05,2022/10/18 13:30:00,1330,all,28.23093977400421,205847.43000000002,1614.1219333333333
no05,2022/10/18 13:45:00,1345,all,28.215347173291406,187750.25,1470.9223833333335
no05,2022/10/18 14:00:00,1400,all,28.2154457676059,204814.6977777778,1605.0463944444446
no05,2022/10/18 14:15:00,1415,all,28.177517983171633,218642.39944444445,1710.7376444444444
no05,2022/10/18 14:30:00,1430,all,28.97993892942806,211475.77555555556,1702.14245
no05,2022/10/18 14:45:00,1445,all,28.421864100616958,213581.46944444443,1685.7921444444446
no05,2022/10/18 15:00:00,1500,all,26.86805732902267,225920.29333333333,1685.5129666666667
no05,2022/10/18 15:15:00,1515,all,26.644791415962814,229191.2888888889,1695.9208888888888
no05,2022/10/18 15:30:00,1530,all,26.938511373636615,223398.015,1671.3334777777777
