route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D30_332,0.05,32.5,35.0,2.5,2,0.029211295034081885,135.42857142857122,139.38461538461544
D30_332,0.05,35.0,40.0,5.0,3,0.04983388704318773,129.0,135.42857142857122
D30_332,0.05,40.0,42.5,2.5,2,0.03248587570621777,124.94117647058786,129.0
D30_333,0.05,25.0,27.5,2.5,2,4.238551948926923e-09,180.0,180.00000076293935
D30_333,0.05,35.0,40.0,5.0,3,0.049833887043187954,129.0,135.42857142857125
D30_333,0.05,37.5,42.5,5.0,3,0.04469273743016931,126.35294117647038,132.0
D30_333,0.05,40.0,45.0,5.0,3,0.04032258064516129,124.0,129.0
D30_333,0.05,42.5,47.5,5.0,3,0.03657421517830221,121.89473684210472,126.35294117647038
D30_333,0.05,45.0,50.0,5.0,3,0.033333316908942465,120.00000190734865,124.0
D30_334,0.05,22.5,25.0,2.5,2,0.0,180.0,180.0
D30_334,0.05,37.5,45.0,7.5,4,0.034482784928947054,116.0,120.00000305175786
D30_H01,0.05,30.0,40.0,10.0,5,0.034482758620689655,174.0,180.0
D30_H01,0.05,40.0,42.5,2.5,2,0.03138075313807507,168.70588235294122,174.0
D30_H01,0.05,42.5,45.0,2.5,2,0.02869440459110498,164.0,168.70588235294122
D30_H01,0.05,45.0,47.5,2.5,2,0.026350461133069866,159.78947368421052,164.0
D30_H01,0.05,47.5,50.0,2.5,2,0.024291497975708464,156.0,159.78947368421052
D30_H02,0.05,27.5,32.5,5.0,3,0.04278074866310145,172.61538461538464,180.0
D30_H02,0.05,32.5,35.0,2.5,2,0.038065027755750325,166.28571428571416,172.61538461538464
D30_H02,0.05,35.0,37.5,2.5,2,0.03411513859275025,160.79999999999993,166.28571428571416
D30_H02,0.05,37.5,40.0,2.5,2,0.030769230769230296,156.0,160.79999999999993
D30_H02,0.05,40.0,42.5,2.5,2,0.02790697674418729,151.76470588235276,156.0
