route_id,pattern_group,pattern_id,design_speed_kmh,n_speed_points,d_min_over_speed,d_max_over_speed,d_range_over_speed,d_relative_range,TTT_min_over_speed,TTT_max_over_speed,TTT_range_over_speed,TTT_relative_range,FTT_min_over_speed,FTT_max_over_speed,V_d_opt_min_kmh,V_d_opt_max_kmh,V_TTT_opt_min_kmh,V_TTT_opt_max_kmh,V_d_opt_repr_kmh,V_TTT_opt_repr_kmh,delta_V_opt_kmh,optbased_5pct_exists,optbased_5pct_start_speed,optbased_5pct_end_speed,optbased_5pct_width_kmh,optbased_5pct_n_points,optbased_5pct_min_ttt,optbased_5pct_max_ttt_in_interval,optbased_5pct_relative_range,rangebased_5pct_exists,rangebased_5pct_start_speed,rangebased_5pct_end_speed,rangebased_5pct_width_kmh,rangebased_5pct_n_points,rangebased_5pct_min_ttt_in_interval,rangebased_5pct_max_ttt_in_interval,rangebased_5pct_relative_range,optbased_10pct_exists,optbased_10pct_start_speed,optbased_10pct_end_speed,optbased_10pct_width_kmh,optbased_10pct_n_points,optbased_10pct_min_ttt,optbased_10pct_max_ttt_in_interval,optbased_10pct_relative_range,rangebased_10pct_exists,rangebased_10pct_start_speed,rangebased_10pct_end_speed,rangebased_10pct_width_kmh,rangebased_10pct_n_points,rangebased_10pct_min_ttt_in_interval,rangebased_10pct_max_ttt_in_interval,rangebased_10pct_relative_range
D30_312,basic,312,30.0,13,0.0,46.94117736816406,46.94117736816406,,108.0,180.0,72.0,0.6666666666666666,72.0,180.0,20.0,20.0,50.0,50.0,20.0,50.0,30.0,False,,,0.0,0,108.0,,,True,20.0,25.0,5.0,3,175.20000343322755,180.0,0.027397240141047316,True,47.5,50.0,2.5,2,108.0,115.57894736842056,0.07017543859648664,True,20.0,25.0,5.0,3,175.20000343322755,180.0,0.027397240141047316
D30_313,basic,313,30.0,13,7.199999809265137,40.79999923706055,33.59999942779541,4.666666710818257,127.20000457763672,240.0,112.79999542236328,0.8867923849288514,86.4,216.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,True,45.0,50.0,5.0,3,127.20000457763672,132.0,0.03773581171086827,True,45.0,50.0,5.0,3,127.20000457763672,132.0,0.03773581171086827,True,40.0,50.0,10.0,5,127.20000457763672,138.0,0.08490562133408955,True,40.0,50.0,10.0,5,127.20000457763672,138.0,0.08490562133408955
D30_314,basic,314,30.0,13,18.0,48.0,30.0,1.6666666666666667,108.0,198.0,90.0,0.8333333333333334,72.0,180.0,20.0,20.0,50.0,50.0,20.0,50.0,30.0,False,,,0.0,0,108.0,,,True,40.0,45.0,5.0,3,120.0,123.0,0.025,True,47.5,50.0,2.5,2,108.0,115.5789473684208,0.07017543859648888,True,40.0,47.5,7.5,4,115.5789473684208,123.0,0.06420765027322638
D30_321,basic,321,30.0,13,24.0,48.0,24.0,1.0,96.0,204.0,108.0,1.125,72.0,180.00000000000003,20.0,50.0,50.0,50.0,37.083333333333336,50.0,12.916666666666664,True,47.5,50.0,2.5,2,96.0,99.78947368421024,0.039473684210523295,True,37.5,40.0,2.5,2,120.0,120.0,0.0,True,45.0,50.0,5.0,3,96.0,104.0,0.08333333333333333,True,22.5,30.0,7.5,4,168.0,184.0,0.09523809523809523
D30_322,basic,322,30.0,13,7.199999809265137,44.57143020629883,37.37143039703369,5.1904765815331295,124.80000076293943,240.0,115.19999923706057,0.9230769113205832,86.4,216.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,True,47.5,50.0,2.5,2,124.80000076293943,130.10526315789434,0.04251011508431302,True,25.0,32.5,7.5,4,176.30769230769235,180.00000076293935,0.020942412704280544,True,45.0,50.0,5.0,3,124.80000076293943,136.0,0.08974358308166384,True,25.0,35.0,10.0,5,168.0,180.00000076293935,0.07142857596987709
D30_323,basic,323,30.0,13,3.2727272510528564,53.68421173095703,50.411484479904175,15.403509248650797,153.6000000953673,287.9999999999999,134.39999990463258,0.8749999988358476,100.8,252.00000000000009,27.5,27.5,50.0,50.0,27.5,50.0,22.5,True,47.5,50.0,2.5,2,153.6000000953673,159.78947368421026,0.04029605198567729,True,30.0,40.0,10.0,5,174.0,180.00000305175786,0.03448277615952792,True,42.5,50.0,7.5,4,153.6000000953673,168.70588235294127,0.09834558755335294,True,30.0,45.0,15.0,7,164.0,180.00000305175786,0.09756099421803571
D30_324,basic,324,30.0,13,22.909090042114254,42.0,19.090909957885746,0.8333334027144043,124.80000152587893,246.0,121.19999847412107,0.9711538220533488,86.4,216.00000000000009,27.5,27.5,50.0,50.0,27.5,50.0,22.5,True,47.5,50.0,2.5,2,124.80000152587893,130.10526315789454,0.04251010871114051,True,32.5,37.5,5.0,3,156.0,163.38461538461544,0.047337278106509256,True,45.0,50.0,5.0,3,124.80000152587893,136.0,0.08974357641973751,True,30.0,37.5,7.5,4,156.0,168.0,0.07692307692307693
D30_331,basic,331,30.0,13,27.52941131591797,50.18181991577149,22.652408599853523,0.8228439155455358,84.0,174.0,90.0,1.0714285714285714,54.0,135.00000000000003,42.5,42.5,50.0,50.0,42.5,50.0,7.5,True,45.0,50.0,5.0,3,84.0,88.0,0.047619047619047616,True,45.0,50.0,5.0,3,84.0,88.0,0.047619047619047616,True,42.5,50.0,7.5,4,84.0,91.0588235294112,0.08403361344537143,True,42.5,50.0,7.5,4,84.0,91.0588235294112,0.08403361344537143
D30_332,basic,332,30.0,13,9.0,44.47058868408203,35.47058868408203,3.941176520453559,100.80000076293943,180.0,79.19999923706057,0.7857142721984937,68.4,171.0,20.0,20.0,50.0,50.0,20.0,50.0,30.0,False,,,0.0,0,100.80000076293943,,,True,35.0,40.0,5.0,3,129.0,135.42857142857122,0.04983388704318773,True,47.5,50.0,2.5,2,100.80000076293943,107.99999999999956,0.07142856331909185,True,32.5,40.0,7.5,4,129.0,139.38461538461544,0.08050089445438328
D30_333,basic,333,30.0,13,8.0,37.20000076293945,29.200000762939453,3.6500000953674316,120.00000190734865,233.99999999999983,113.99999809265118,0.9499999690055836,82.80000000000001,207.00000000000009,22.5,22.5,50.0,50.0,22.5,50.0,27.5,True,45.0,50.0,5.0,3,120.00000190734865,124.0,0.033333316908942465,True,45.0,50.0,5.0,3,120.00000190734865,124.0,0.033333316908942465,True,37.5,50.0,12.5,6,120.00000190734865,132.0,0.09999998251597102,True,37.5,50.0,12.5,6,120.00000190734865,132.0,0.09999998251597102
