case_index,route_id,pattern_group,pattern_id,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,d_min_s_per_veh,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,TTT_ratio_to_route_min,TTT_excess_pct_from_route_min
20,D10_312,basic,312,10.0,37.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,28.0,0.0,0.0,32.400001525878906,4172,4172,5124,6476,32.0,60.0,679.1182742118835,BuiltPC01,results\full_delay\case_0020__D10_312__v37p5_delays.npy,results\optima\case_0020__D10_312__v37p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
21,D10_312,basic,312,10.0,40.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,30.0,0.0,0.0,0.0,39105,39105,42705,45489,30.0,60.0,681.3709876537323,BuiltPC01,results\full_delay\case_0021__D10_312__v40p0_delays.npy,results\optima\case_0021__D10_312__v40p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
22,D10_312,basic,312,10.0,42.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,28.235294342041016,0.0,0.0,0.0,29545,29545,29545,33845,28.235294117647054,56.47058823529417,680.9744455814362,BuiltPC01,results\full_delay\case_0022__D10_312__v42p5_delays.npy,results\optima\case_0022__D10_312__v42p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1764705882352953,17.647058823529527
23,D10_312,basic,312,10.0,45.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,26.66666603088379,0.0,0.0,0.0,24975,24975,27945,29545,26.666666666666664,53.333333333333336,682.237188577652,BuiltPC01,results\full_delay\case_0023__D10_312__v45p0_delays.npy,results\optima\case_0023__D10_312__v45p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1111111111111112,11.111111111111116
24,D10_312,basic,312,10.0,47.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,25.263158798217773,0.0,0.0,0.0,23675,23675,24575,27425,25.26315789473684,50.52631578947363,679.1340851783752,BuiltPC01,results\full_delay\case_0024__D10_312__v47p5_delays.npy,results\optima\case_0024__D10_312__v47p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0526315789473673,5.263157894736725
25,D10_312,basic,312,10.0,50.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,24.0,0.0,0.0,0.0,23275,23275,23275,23275,24.0,48.0,677.921005487442,BuiltPC01,results\full_delay\case_0025__D10_312__v50p0_delays.npy,results\optima\case_0025__D10_312__v50p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0,0.0
26,D10_313,basic,313,10.0,20.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,36.0,0.0,27.600000381469727,51.59999847412109,1650,1650,1650,2574,72.0,108.0,681.4574360847473,BuiltPC01,results\full_delay\case_0026__D10_313__v20p0_delays.npy,results\optima\case_0026__D10_313__v20p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.8750000000000053,87.50000000000054
27,D10_313,basic,313,10.0,22.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,32.0,0.0,28.799999237060547,52.79999923706055,396,396,660,660,64.0,96.0,681.4699959754944,BuiltPC01,results\full_delay\case_0027__D10_313__v22p5_delays.npy,results\optima\case_0027__D10_313__v22p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.6666666666666714,66.66666666666714
28,D10_313,basic,313,10.0,25.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,33.599998474121094,0.0,2.400000095367432,48.0,2454,2454,2454,2454,57.6,91.20000000000005,681.7188680171967,BuiltPC01,results\full_delay\case_0028__D10_313__v25p0_delays.npy,results\optima\case_0028__D10_313__v25p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5833333333333386,58.33333333333386
29,D10_313,basic,313,10.0,27.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,34.90909194946289,0.0,1.2000000476837158,45.59999847412109,6390,6390,9002,9820,52.36363636363636,87.27272727272728,682.173885345459,BuiltPC01,results\full_delay\case_0029__D10_313__v27p5_delays.npy,results\optima\case_0029__D10_313__v27p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5151515151515196,51.515151515151956
