scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00609_11505_0,945,09:45,29.6109361580012,29.6109361580012,0.0
no04,533967_00609_11505_0,1000,10:00,29.610475848690168,29.6782107107682,0.06773486207803359
no04,533967_00609_11505_0,1015,10:15,29.9329896313364,29.89949042892591,-0.03349920241049276
no04,533967_00609_11505_0,1030,10:30,29.55950522454033,29.55950522454033,0.0
no04,533967_00609_11505_0,1045,10:45,29.81467741935484,29.81467741935484,0.0
no04,533967_00609_11505_0,1100,11:00,29.802090150757305,29.802002870901752,-8.727985555267992e-05
no04,533967_00609_11505_0,1115,11:15,29.8524366359447,29.61644153225806,-0.235995103686637
no04,533967_00609_11505_0,1130,11:30,0.0,0.0,0.0
no04,533967_00609_11505_0,1145,11:45,29.52448132127824,29.536094510254618,0.01161318897637642
no04,533967_00609_11505_0,1200,12:00,30.02919524208727,30.139155444674383,0.10996020258711425
no04,533967_00609_11505_0,1215,12:15,29.588150647939223,29.5466860025931,-0.041464645346124485
no04,533967_00609_11505_0,1230,12:30,29.4975,29.4975,0.0
no04,533967_00609_11505_0,1245,12:45,29.589708793811177,29.574340661509314,-0.015368132301862403
no04,533967_00609_11505_0,1300,13:00,29.4975,29.4975,0.0
no04,533967_00609_11505_0,1315,13:15,29.65430881968074,29.751870388468657,0.097561568787917
no04,533967_00609_11505_0,1330,13:30,29.65608870967742,29.65524961597542,-0.0008390937019981948
no04,533967_00609_11505_0,1345,13:45,29.91760086113687,29.69112922151296,-0.22647163962390948
no04,533967_00609_11505_0,1400,14:00,29.56719800884828,29.60218049587305,0.03498248702477014
no04,533967_00609_11505_0,1415,14:15,29.4975,29.4975,0.0
no04,533967_00609_11505_0,1430,14:30,29.55808073504263,29.569261724651085,0.01118098960845515
no04,533967_00609_11505_0,1445,14:45,29.760002423465487,29.86115030131159,0.10114787784610257
no04,533967_00609_11505_0,1500,15:00,30.03796426054227,29.943220993112263,-0.09474326743000816
no04,533967_00609_11505_0,1515,15:15,29.943838663425584,30.26931908541404,0.3254804219884555
no04,533967_00609_11505_0,1530,15:30,29.87509216589861,29.4975,-0.3775921658986121
no04,533967_00609_11505_0,1545,15:45,30.180855598128407,30.13632486680125,-0.044530731327157014
no04,533967_00609_11505_0,1600,16:00,29.520910714285712,29.583100275159005,0.06218956087329275
