scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00280_13214_0,730,07:30,1290.65,1279.7185,-10.931500000000142
no02,533967_00280_13214_0,745,07:45,1602.838,1588.3205,-14.517499999999927
no02,533967_00280_13214_0,800,08:00,1447.3735,1467.008,19.634500000000116
no02,533967_00280_13214_0,815,08:15,1406.321,1393.1585,-13.162499999999909
no02,533967_00280_13214_0,830,08:30,1474.249,1481.5565,7.307499999999891
no02,533967_00280_13214_0,845,08:45,1320.5475,1331.304,10.756500000000187
no02,533967_00280_13214_0,900,09:00,1409.749,1417.066,7.317000000000007
no02,533967_00280_13214_0,915,09:15,1297.1950000000002,1278.3539999999998,-18.84100000000035
no02,533967_00280_13214_0,930,09:30,1351.6055,1370.191,18.58550000000014
no02,533967_00280_13214_0,945,09:45,1271.635,1266.3985,-5.236499999999978
no02,533967_00280_13214_0,1000,10:00,1255.7315,1246.6219999999998,-9.109500000000253
no02,533967_00280_13214_0,1015,10:15,1179.839,1186.775,6.936000000000149
no02,533967_00280_13214_0,1030,10:30,1179.9685,1177.5815,-2.3869999999999436
no02,533967_00280_13214_0,1045,10:45,1245.2675,1244.3915,-0.8759999999999764
no02,533967_00280_13214_0,1100,11:00,1223.418,1231.29,7.872000000000071
no02,533967_00280_13214_0,1115,11:15,1164.038,1159.158,-4.880000000000109
no02,533967_00280_13214_0,1130,11:30,1317.6325000000002,1312.5425,-5.0900000000001455
no02,533967_00280_13214_0,1145,11:45,1214.3425,1216.4685,2.1259999999999764
no02,533967_00280_13214_0,1200,12:00,1429.227,1414.4975,-14.729500000000144
no02,533967_00280_13214_0,1215,12:15,1587.368,1603.7005,16.332499999999982
no02,533967_00280_13214_0,1230,12:30,1235.1375,1216.545,-18.592499999999973
no02,533967_00280_13214_0,1245,12:45,1194.706,1218.9635,24.257500000000164
no02,533967_00280_13214_0,1300,13:00,1316.6345,1323.174,6.539500000000089
no02,533967_00280_13214_0,1315,13:15,1177.1075,1186.4575,9.349999999999909
no02,533967_00280_13214_0,1330,13:30,1181.832,1161.9245,-19.907500000000027
no02,533967_00280_13214_0,1345,13:45,816.313,790.35,-25.962999999999965
no02,533967_00280_13214_0,1400,14:00,1027.081,1042.439,15.358000000000175
no02,533967_00280_13214_0,1415,14:15,1329.9605,1345.482,15.52150000000006
no02,533967_00280_13214_0,1430,14:30,1283.211,1282.785,-0.4259999999999309
no02,533967_00280_13214_0,1445,14:45,1161.303,1152.174,-9.129000000000133
no02,533967_00280_13214_0,1500,15:00,1098.002,1064.1725,-33.82950000000005
no02,533967_00280_13214_0,1515,15:15,1144.309,1175.833,31.524000000000115
no02,533967_00280_13214_0,1530,15:30,1096.655,1107.562,10.906999999999925
no02,533967_00280_13214_0,1545,15:45,1252.7685,1238.964,-13.804499999999962
no02,533967_00280_13214_0,1600,16:00,1509.8995,1523.4969999999998,13.597499999999854
no02,533967_00280_13214_0,1615,16:15,1465.809,1462.311,-3.4980000000000473
no02,533967_00280_13214_0,1630,16:30,1469.915,1461.131,-8.783999999999878
no02,533967_00280_13214_0,1645,16:45,1608.0,1628.332,20.332000000000107
no02,533967_00280_13214_0,1700,17:00,1562.001,1554.1245,-7.876500000000078
no02,533967_00280_13214_0,1715,17:15,1554.652,1562.848,8.195999999999913
no02,533967_00280_13214_0,1730,17:30,1234.661,1227.6805,-6.98050000000012
no02,533967_00280_13214_0,1745,17:45,1026.6715,1003.124,-23.5474999999999
no02,533967_00280_13214_0,1800,18:00,1322.0955,1338.4565,16.361000000000104
no02,533967_00280_13214_0,1815,18:15,1435.525,1432.5175,-3.0075000000001637
no02,533967_00280_13214_0,1830,18:30,1203.7235,1204.2355,0.5119999999999436
no02,533967_00280_13214_0,1845,18:45,1075.0115,1086.6129999999998,11.60149999999976
no02,533967_00280_13214_1,630,06:30,1599.5145,1599.5145,0.0
no02,533967_00280_13214_1,645,06:45,1313.2065,1313.2065,0.0
