route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag
311.0,42.5,50.0,4.0,5226.0,1.0,4,143.9999999999995,165.1764705882349,21.176470588235418,0.0,0,1,0
311.0,45.0,45.0,1.0,14025.0,1.0,1,157.3333333333327,157.3333333333327,0.0,0.0,1,1,1
311.0,45.0,47.5,2.0,11081.0,1.0,2,150.3157894736835,157.3333333333327,7.01754385964918,0.0,0,1,0
311.0,45.0,50.0,3.0,9093.0,1.0,3,143.9999999999995,157.3333333333327,13.3333333333332,0.0,0,1,0
311.0,47.5,47.5,1.0,16433.0,1.0,1,150.3157894736835,150.3157894736835,0.0,0.0,1,1,1
311.0,47.5,50.0,2.0,13697.0,1.0,2,143.9999999999995,150.3157894736835,6.3157894736840205,0.0,0,1,0
311.0,50.0,50.0,1.0,21681.0,1.0,1,143.9999999999995,143.9999999999995,0.0,0.0,1,1,1
312.0,20.0,20.0,1.0,1575.0,1.0,1,323.9999999999997,323.9999999999997,0.0,0.0,1,1,1
312.0,20.0,22.5,2.0,225.0,1.0,2,303.9999999999997,323.9999999999997,20.0,0.0,0,1,0
312.0,20.0,25.0,3.0,0.0,0.0,3,275.9999999999994,323.9999999999997,48.00000000000034,0.0,0,0,0
312.0,20.0,27.5,4.0,0.0,0.0,4,244.3636363636363,323.9999999999997,79.63636363636343,0.0,0,0,0
312.0,20.0,30.0,5.0,0.0,0.0,5,219.9999999999998,323.9999999999997,103.99999999999991,0.0,0,0,0
312.0,20.0,32.5,6.0,0.0,0.0,6,189.2307692307692,323.9999999999997,134.76923076923052,0.0,0,0,0
312.0,20.0,35.0,7.0,0.0,0.0,7,179.9999999999998,323.9999999999997,143.99999999999991,0.0,0,0,0
312.0,20.0,37.5,8.0,0.0,0.0,8,179.9999999999998,323.9999999999997,143.99999999999991,0.0,0,0,0
312.0,20.0,40.0,9.0,0.0,0.0,9,179.9999999999998,323.9999999999997,143.99999999999991,0.0,0,0,0
312.0,20.0,42.5,10.0,0.0,0.0,10,171.5294117647056,323.9999999999997,152.47058823529412,0.0,0,0,0
312.0,20.0,45.0,11.0,0.0,0.0,11,163.9999999999995,323.9999999999997,160.00000000000023,0.0,0,0,0
312.0,20.0,47.5,12.0,0.0,0.0,12,159.7894736842101,323.9999999999997,164.21052631578962,0.0,0,0,0
312.0,20.0,50.0,13.0,0.0,0.0,13,155.9999999999996,323.9999999999997,168.0000000000001,0.0,0,0,0
312.0,22.5,22.5,1.0,2625.0,1.0,1,303.9999999999997,303.9999999999997,0.0,0.0,1,1,1
312.0,22.5,25.0,2.0,0.0,0.0,2,275.9999999999994,303.9999999999997,28.00000000000034,0.0,0,0,0
312.0,22.5,27.5,3.0,0.0,0.0,3,244.3636363636363,303.9999999999997,59.63636363636343,0.0,0,0,0
312.0,22.5,30.0,4.0,0.0,0.0,4,219.9999999999998,303.9999999999997,83.99999999999991,0.0,0,0,0
312.0,22.5,32.5,5.0,0.0,0.0,5,189.2307692307692,303.9999999999997,114.76923076923052,0.0,0,0,0
312.0,22.5,35.0,6.0,0.0,0.0,6,179.9999999999998,303.9999999999997,123.99999999999991,0.0,0,0,0
312.0,22.5,37.5,7.0,0.0,0.0,7,179.9999999999998,303.9999999999997,123.99999999999991,0.0,0,0,0
312.0,22.5,40.0,8.0,0.0,0.0,8,179.9999999999998,303.9999999999997,123.99999999999991,0.0,0,0,0
312.0,22.5,42.5,9.0,0.0,0.0,9,171.5294117647056,303.9999999999997,132.47058823529412,0.0,0,0,0
312.0,22.5,45.0,10.0,0.0,0.0,10,163.9999999999995,303.9999999999997,140.00000000000023,0.0,0,0,0
312.0,22.5,47.5,11.0,0.0,0.0,11,159.7894736842101,303.9999999999997,144.21052631578962,0.0,0,0,0
312.0,22.5,50.0,12.0,0.0,0.0,12,155.9999999999996,303.9999999999997,148.0000000000001,0.0,0,0,0
312.0,25.0,25.0,1.0,2622.0,1.0,1,275.9999999999994,275.9999999999994,0.0,0.0,1,1,1
312.0,25.0,27.5,2.0,0.0,0.0,2,244.3636363636363,275.9999999999994,31.636363636363086,0.0,0,0,0
312.0,25.0,30.0,3.0,0.0,0.0,3,219.9999999999998,275.9999999999994,55.999999999999574,0.0,0,0,0
312.0,25.0,32.5,4.0,0.0,0.0,4,189.2307692307692,275.9999999999994,86.76923076923018,0.0,0,0,0
312.0,25.0,35.0,5.0,0.0,0.0,5,179.9999999999998,275.9999999999994,95.99999999999957,0.0,0,0,0
312.0,25.0,37.5,6.0,0.0,0.0,6,179.9999999999998,275.9999999999994,95.99999999999957,0.0,0,0,0
312.0,25.0,40.0,7.0,0.0,0.0,7,179.9999999999998,275.9999999999994,95.99999999999957,0.0,0,0,0
312.0,25.0,42.5,8.0,0.0,0.0,8,171.5294117647056,275.9999999999994,104.47058823529377,0.0,0,0,0
312.0,25.0,45.0,9.0,0.0,0.0,9,163.9999999999995,275.9999999999994,111.99999999999989,0.0,0,0,0
312.0,25.0,47.5,10.0,0.0,0.0,10,159.7894736842101,275.9999999999994,116.21052631578928,0.0,0,0,0
312.0,25.0,50.0,11.0,0.0,0.0,11,155.9999999999996,275.9999999999994,119.99999999999977,0.0,0,0,0
312.0,27.5,27.5,1.0,1548.0,1.0,1,244.3636363636363,244.3636363636363,0.0,0.0,1,1,1
312.0,27.5,30.0,2.0,0.0,0.0,2,219.9999999999998,244.3636363636363,24.363636363636488,0.0,0,0,0
312.0,27.5,32.5,3.0,0.0,0.0,3,189.2307692307692,244.3636363636363,55.13286713286709,0.0,0,0,0
312.0,27.5,35.0,4.0,0.0,0.0,4,179.9999999999998,244.3636363636363,64.36363636363649,0.0,0,0,0
312.0,27.5,37.5,5.0,0.0,0.0,5,179.9999999999998,244.3636363636363,64.36363636363649,0.0,0,0,0
312.0,27.5,40.0,6.0,0.0,0.0,6,179.9999999999998,244.3636363636363,64.36363636363649,0.0,0,0,0
312.0,27.5,42.5,7.0,0.0,0.0,7,171.5294117647056,244.3636363636363,72.83422459893069,0.0,0,0,0
312.0,27.5,45.0,8.0,0.0,0.0,8,163.9999999999995,244.3636363636363,80.3636363636368,0.0,0,0,0
312.0,27.5,47.5,9.0,0.0,0.0,9,159.7894736842101,244.3636363636363,84.5741626794262,0.0,0,0,0
312.0,27.5,50.0,10.0,0.0,0.0,10,155.9999999999996,244.3636363636363,88.36363636363669,0.0,0,0,0
312.0,30.0,30.0,1.0,15559.0,1.0,1,219.9999999999998,219.9999999999998,0.0,0.0,1,1,1
312.0,30.0,32.5,2.0,1449.0,1.0,2,189.2307692307692,219.9999999999998,30.769230769230603,0.0,0,1,0
312.0,30.0,35.0,3.0,1201.0,1.0,3,179.9999999999998,219.9999999999998,40.0,0.0,0,1,0
312.0,30.0,37.5,4.0,1201.0,1.0,4,179.9999999999998,219.9999999999998,40.0,0.0,0,1,0
312.0,30.0,40.0,5.0,1201.0,1.0,5,179.9999999999998,219.9999999999998,40.0,0.0,0,1,0
312.0,30.0,42.5,6.0,0.0,0.0,6,171.5294117647056,219.9999999999998,48.4705882352942,0.0,0,0,0
312.0,30.0,45.0,7.0,0.0,0.0,7,163.9999999999995,219.9999999999998,56.00000000000031,0.0,0,0,0
312.0,30.0,47.5,8.0,0.0,0.0,8,159.7894736842101,219.9999999999998,60.21052631578971,0.0,0,0,0
312.0,30.0,50.0,9.0,0.0,0.0,9,155.9999999999996,219.9999999999998,64.0000000000002,0.0,0,0,0
312.0,32.5,32.5,1.0,1449.0,1.0,1,189.2307692307692,189.2307692307692,0.0,0.0,1,1,1
312.0,32.5,35.0,2.0,1201.0,1.0,2,179.9999999999998,189.2307692307692,9.230769230769397,0.0,0,1,0
312.0,32.5,37.5,3.0,1201.0,1.0,3,179.9999999999998,189.2307692307692,9.230769230769397,0.0,0,1,0
312.0,32.5,40.0,4.0,1201.0,1.0,4,179.9999999999998,189.2307692307692,9.230769230769397,0.0,0,1,0
312.0,32.5,42.5,5.0,0.0,0.0,5,171.5294117647056,189.2307692307692,17.701357466063598,0.0,0,0,0
312.0,32.5,45.0,6.0,0.0,0.0,6,163.9999999999995,189.2307692307692,25.23076923076971,0.0,0,0,0
312.0,32.5,47.5,7.0,0.0,0.0,7,159.7894736842101,189.2307692307692,29.441295546559104,0.0,0,0,0
312.0,32.5,50.0,8.0,0.0,0.0,8,155.9999999999996,189.2307692307692,33.230769230769596,0.0,0,0,0
312.0,35.0,35.0,1.0,3465.0,1.0,1,179.9999999999998,179.9999999999998,0.0,0.0,1,1,1
312.0,35.0,37.5,2.0,3465.0,1.0,2,179.9999999999998,180.0,1.9895196601282805e-13,0.0,0,1,0
312.0,35.0,40.0,3.0,3465.0,1.0,3,179.9999999999998,180.0,1.9895196601282805e-13,0.0,0,1,0
312.0,35.0,42.5,4.0,0.0,0.0,4,171.5294117647056,180.0,8.4705882352944,0.0,0,0,0
312.0,35.0,45.0,5.0,0.0,0.0,5,163.9999999999995,180.0,16.00000000000051,0.0,0,0,0
312.0,35.0,47.5,6.0,0.0,0.0,6,159.7894736842101,180.0,20.210526315789906,0.0,0,0,0
312.0,35.0,50.0,7.0,0.0,0.0,7,155.9999999999996,180.0,24.000000000000398,0.0,0,0,0
312.0,37.5,37.5,1.0,13299.0,1.0,1,180.0,180.0,0.0,0.0,1,1,1
312.0,37.5,40.0,2.0,13299.0,1.0,2,180.0,180.0,0.0,0.0,1,1,1
312.0,37.5,42.5,3.0,0.0,0.0,3,171.5294117647056,180.0,8.4705882352944,0.0,0,0,0
312.0,37.5,45.0,4.0,0.0,0.0,4,163.9999999999995,180.0,16.00000000000051,0.0,0,0,0
312.0,37.5,47.5,5.0,0.0,0.0,5,159.7894736842101,180.0,20.210526315789906,0.0,0,0,0
312.0,37.5,50.0,6.0,0.0,0.0,6,155.9999999999996,180.0,24.000000000000398,0.0,0,0,0
312.0,40.0,40.0,1.0,28975.0,1.0,1,180.0,180.0,0.0,0.0,1,1,1
312.0,40.0,42.5,2.0,0.0,0.0,2,171.5294117647056,180.0,8.4705882352944,0.0,0,0,0
312.0,40.0,45.0,3.0,0.0,0.0,3,163.9999999999995,180.0,16.00000000000051,0.0,0,0,0
312.0,40.0,47.5,4.0,0.0,0.0,4,159.7894736842101,180.0,20.210526315789906,0.0,0,0,0
312.0,40.0,50.0,5.0,0.0,0.0,5,155.9999999999996,180.0,24.000000000000398,0.0,0,0,0
312.0,42.5,42.5,1.0,903.0,1.0,1,171.5294117647056,171.5294117647056,0.0,0.0,1,1,1
312.0,42.5,45.0,2.0,777.0,1.0,2,163.9999999999995,171.5294117647056,7.529411764706111,0.0,0,1,0
312.0,42.5,47.5,3.0,693.0,1.0,3,159.7894736842101,171.5294117647056,11.739938080495506,0.0,0,1,0
312.0,42.5,50.0,4.0,651.0,1.0,4,155.9999999999996,171.5294117647056,15.529411764705998,0.0,0,1,0
312.0,45.0,45.0,1.0,1443.0,1.0,1,163.9999999999995,163.9999999999995,0.0,0.0,1,1,1
312.0,45.0,47.5,2.0,1287.0,1.0,2,159.7894736842101,163.9999999999995,4.210526315789394,0.0,0,1,0
312.0,45.0,50.0,3.0,1209.0,1.0,3,155.9999999999996,163.9999999999995,7.999999999999886,0.0,0,1,0
312.0,47.5,47.5,1.0,3927.0,1.0,1,159.7894736842101,159.7894736842101,0.0,0.0,1,1,1
312.0,47.5,50.0,2.0,3689.0,1.0,2,155.9999999999996,159.7894736842101,3.789473684210492,0.0,0,1,0
312.0,50.0,50.0,1.0,7161.0,1.0,1,155.9999999999996,155.9999999999996,0.0,0.0,1,1,1
313.0,20.0,20.0,1.0,3075.0,1.0,1,383.999999999999,383.999999999999,0.0,0.0,1,1,1
313.0,20.0,22.5,2.0,0.0,0.0,2,339.9999999999998,383.999999999999,43.999999999999204,0.0,0,0,0
313.0,20.0,25.0,3.0,0.0,0.0,3,300.0,383.999999999999,83.99999999999898,0.0,0,0,0
313.0,20.0,27.5,4.0,0.0,0.0,4,299.9999999999998,383.999999999999,83.9999999999992,0.0,0,0,0
313.0,20.0,30.0,5.0,0.0,0.0,5,287.9999999999994,383.999999999999,95.9999999999996,0.0,0,0,0
313.0,20.0,32.5,6.0,0.0,0.0,6,251.076923076923,383.999999999999,132.92307692307597,0.0,0,0,0
313.0,20.0,35.0,7.0,0.0,0.0,7,231.428571428571,383.999999999999,152.571428571428,0.0,0,0,0
313.0,20.0,37.5,8.0,0.0,0.0,8,203.9999999999995,383.999999999999,179.9999999999995,0.0,0,0,0
313.0,20.0,40.0,9.0,0.0,0.0,9,182.9999999999998,383.999999999999,200.99999999999918,0.0,0,0,0
313.0,20.0,42.5,10.0,0.0,0.0,10,180.0,383.999999999999,203.99999999999898,0.0,0,0,0
313.0,20.0,45.0,11.0,0.0,0.0,11,179.9999999999998,383.999999999999,203.99999999999918,0.0,0,0,0
313.0,20.0,47.5,12.0,0.0,0.0,12,179.9999999999998,383.999999999999,203.99999999999918,0.0,0,0,0
313.0,20.0,50.0,13.0,0.0,0.0,13,167.9999999999999,383.999999999999,215.9999999999991,0.0,0,0,0
313.0,22.5,22.5,1.0,7623.0,1.0,1,339.9999999999998,339.9999999999998,0.0,0.0,1,1,1
313.0,22.5,25.0,2.0,1331.0,1.0,2,300.0,339.9999999999998,39.99999999999977,0.0,0,1,0
313.0,22.5,27.5,3.0,1331.0,1.0,3,299.9999999999998,339.9999999999998,40.0,0.0,0,1,0
313.0,22.5,30.0,4.0,0.0,0.0,4,287.9999999999994,339.9999999999998,52.0000000000004,0.0,0,0,0
313.0,22.5,32.5,5.0,0.0,0.0,5,251.076923076923,339.9999999999998,88.92307692307676,0.0,0,0,0
313.0,22.5,35.0,6.0,0.0,0.0,6,231.428571428571,339.9999999999998,108.57142857142878,0.0,0,0,0
313.0,22.5,37.5,7.0,0.0,0.0,7,203.9999999999995,339.9999999999998,136.00000000000028,0.0,0,0,0
313.0,22.5,40.0,8.0,0.0,0.0,8,182.9999999999998,339.9999999999998,156.99999999999997,0.0,0,0,0
313.0,22.5,42.5,9.0,0.0,0.0,9,180.0,339.9999999999998,159.99999999999977,0.0,0,0,0
313.0,22.5,45.0,10.0,0.0,0.0,10,179.9999999999998,339.9999999999998,159.99999999999997,0.0,0,0,0
313.0,22.5,47.5,11.0,0.0,0.0,11,179.9999999999998,339.9999999999998,159.99999999999997,0.0,0,0,0
313.0,22.5,50.0,12.0,0.0,0.0,12,167.9999999999999,339.9999999999998,171.9999999999999,0.0,0,0,0
313.0,25.0,25.0,1.0,2101.0,1.0,1,300.0,300.0,0.0,0.0,1,1,1
313.0,25.0,27.5,2.0,2101.0,1.0,2,299.9999999999998,300.0,2.2737367544323206e-13,0.0,0,1,0
313.0,25.0,30.0,3.0,0.0,0.0,3,287.9999999999994,300.0,12.000000000000625,0.0,0,0,0
313.0,25.0,32.5,4.0,0.0,0.0,4,251.076923076923,300.0,48.92307692307699,0.0,0,0,0
313.0,25.0,35.0,5.0,0.0,0.0,5,231.428571428571,300.0,68.57142857142901,0.0,0,0,0
313.0,25.0,37.5,6.0,0.0,0.0,6,203.9999999999995,300.0,96.00000000000051,0.0,0,0,0
313.0,25.0,40.0,7.0,0.0,0.0,7,182.9999999999998,300.0,117.0000000000002,0.0,0,0,0
313.0,25.0,42.5,8.0,0.0,0.0,8,180.0,300.0,120.0,0.0,0,0,0
313.0,25.0,45.0,9.0,0.0,0.0,9,179.9999999999998,300.0,120.0000000000002,0.0,0,0,0
313.0,25.0,47.5,10.0,0.0,0.0,10,179.9999999999998,300.0,120.0000000000002,0.0,0,0,0
313.0,25.0,50.0,11.0,0.0,0.0,11,167.9999999999999,300.0,132.0000000000001,0.0,0,0,0
313.0,27.5,27.5,1.0,32407.0,1.0,1,299.9999999999998,299.9999999999998,0.0,0.0,1,1,1
313.0,27.5,30.0,2.0,0.0,0.0,2,287.9999999999994,299.9999999999998,12.000000000000398,0.0,0,0,0
313.0,27.5,32.5,3.0,0.0,0.0,3,251.076923076923,299.9999999999998,48.92307692307676,0.0,0,0,0
313.0,27.5,35.0,4.0,0.0,0.0,4,231.428571428571,299.9999999999998,68.57142857142878,0.0,0,0,0
313.0,27.5,37.5,5.0,0.0,0.0,5,203.9999999999995,299.9999999999998,96.00000000000028,0.0,0,0,0
313.0,27.5,40.0,6.0,0.0,0.0,6,182.9999999999998,299.9999999999998,116.99999999999997,0.0,0,0,0
313.0,27.5,42.5,7.0,0.0,0.0,7,180.0,299.9999999999998,119.99999999999977,0.0,0,0,0
313.0,27.5,45.0,8.0,0.0,0.0,8,179.9999999999998,299.9999999999998,119.99999999999997,0.0,0,0,0
313.0,27.5,47.5,9.0,0.0,0.0,9,179.9999999999998,299.9999999999998,119.99999999999997,0.0,0,0,0
313.0,27.5,50.0,10.0,0.0,0.0,10,167.9999999999999,299.9999999999998,131.9999999999999,0.0,0,0,0
313.0,30.0,30.0,1.0,98399.0,1.0,1,287.9999999999994,287.9999999999994,0.0,0.0,1,1,1
313.0,30.0,32.5,2.0,2520.0,1.0,2,251.076923076923,287.9999999999994,36.923076923076366,0.0,0,1,0
313.0,30.0,35.0,3.0,0.0,0.0,3,231.428571428571,287.9999999999994,56.571428571428385,0.0,0,0,0
313.0,30.0,37.5,4.0,0.0,0.0,4,203.9999999999995,287.9999999999994,83.99999999999989,0.0,0,0,0
313.0,30.0,40.0,5.0,0.0,0.0,5,182.9999999999998,287.9999999999994,104.99999999999957,0.0,0,0,0
313.0,30.0,42.5,6.0,0.0,0.0,6,180.0,287.9999999999994,107.99999999999937,0.0,0,0,0
313.0,30.0,45.0,7.0,0.0,0.0,7,179.9999999999998,287.9999999999994,107.99999999999957,0.0,0,0,0
313.0,30.0,47.5,8.0,0.0,0.0,8,179.9999999999998,287.9999999999994,107.99999999999957,0.0,0,0,0
