route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag,interval_type
313,42.5,42.5,1,1275,1,1,180,180,0,0,1,1,1,ttt_constant
313,45,45,1,7689,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
313,47.5,47.5,1,18675,1,1,180,180,0,0,1,1,1,ttt_constant
313,50,50,1,451,1,1,167.9999999999999,167.9999999999999,0,0,1,1,1,ttt_constant
314,20,20,1,3075,1,1,384,384,0,0,1,1,1,both
314,22.5,22.5,1,17073,1,1,339.9999999999998,339.9999999999998,0,0,1,1,1,both
314,25,25,1,11,1,1,300,300,0,0,1,1,1,both
314,27.5,27.5,1,10519,1,1,292.3636364,292.3636364,0,0,1,1,1,both
314,30,30,1,3157,1,1,275.9999999999997,275.9999999999997,0,0,1,1,1,both
314,32.5,32.5,1,819,1,1,254.7692307692304,254.7692307692304,0,0,1,1,1,both
314,35,35,1,1035,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,both
314,37.5,37.5,1,363,1,1,231.9999999999997,231.9999999999997,0,0,1,1,1,both
314,40,40,1,6937,1,1,212.9999999999996,212.9999999999996,0,0,1,1,1,both
314,42.5,42.5,1,9555,1,1,196.2352941176468,196.2352941176468,0,0,1,1,1,both
314,45,45,1,21997,1,1,181.3333333,181.3333333,0,0,1,1,1,both
314,47.5,47.5,1,36425,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,both
314,50,50,1,96320,1,1,167.9999999999999,167.9999999999999,0,0,1,1,1,both
314,20,20,1,3075,1,1,384,384,0,0,1,1,1,common_optimal
314,22.5,27.5,3,11,1,3,292.3636364,339.9999999999998,47.63636364,0,0,1,0,common_optimal
314,30,40,5,21,1,5,212.9999999999996,275.9999999999997,63.000000000000114,0,0,1,0,common_optimal
314,42.5,50,4,7995,1,4,167.9999999999999,196.2352941176468,28.23529412,0,0,1,0,common_optimal
314,20,20,1,3075,1,1,384,384,0,0,1,1,1,ttt_constant
314,22.5,22.5,1,17073,1,1,339.9999999999998,339.9999999999998,0,0,1,1,1,ttt_constant
314,25,25,1,11,1,1,300,300,0,0,1,1,1,ttt_constant
314,27.5,27.5,1,10519,1,1,292.3636364,292.3636364,0,0,1,1,1,ttt_constant
314,30,30,1,3157,1,1,275.9999999999997,275.9999999999997,0,0,1,1,1,ttt_constant
314,32.5,32.5,1,819,1,1,254.7692307692304,254.7692307692304,0,0,1,1,1,ttt_constant
314,35,35,1,1035,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,ttt_constant
314,37.5,37.5,1,363,1,1,231.9999999999997,231.9999999999997,0,0,1,1,1,ttt_constant
314,40,40,1,6937,1,1,212.9999999999996,212.9999999999996,0,0,1,1,1,ttt_constant
314,42.5,42.5,1,9555,1,1,196.2352941176468,196.2352941176468,0,0,1,1,1,ttt_constant
314,45,45,1,21997,1,1,181.3333333,181.3333333,0,0,1,1,1,ttt_constant
314,47.5,47.5,1,36425,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,ttt_constant
314,50,50,1,96320,1,1,167.9999999999999,167.9999999999999,0,0,1,1,1,ttt_constant
321,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,both
321,22.5,22.5,1,22673,1,1,293.3333333,293.3333333,0,0,1,1,1,both
321,25,25,1,231,1,1,240,240,0,0,1,1,1,both
321,27.5,27.5,1,16229,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,both
321,30,30,1,861,1,1,227.9999999999997,227.9999999999997,0,0,1,1,1,both
321,32.5,32.5,1,897,1,1,208.6153846153843,208.6153846153843,0,0,1,1,1,both
321,35,35,1,2223,1,1,195.4285714,195.4285714,0,0,1,1,1,both
321,37.5,37.5,1,897,1,1,183.9999999999995,183.9999999999995,0,0,1,1,1,both
321,40,40,1,3755,1,1,180,180,0,0,1,1,1,both
321,42.5,42.5,1,19655,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,both
321,45,45,1,330,1,1,174.6666666666665,174.6666666666665,0,0,1,1,1,both
321,47.5,47.5,1,12323,1,1,171.1578947368414,171.1578947368414,0,0,1,1,1,both
321,50,50,1,98399,1,1,167.9999999999995,167.9999999999995,0,0,1,1,1,both
321,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,common_optimal
321,22.5,27.5,3,231,1,3,239.9999999999999,293.3333333,53.33333333333309,0,0,1,0,common_optimal
321,30,42.5,6,63,1,6,179.9999999999998,227.9999999999997,47.999999999999886,0,0,1,0,common_optimal
321,45,50,3,216,1,3,167.9999999999995,174.6666666666665,6.666666666666998,0,0,1,0,common_optimal
321,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,ttt_constant
321,22.5,22.5,1,22673,1,1,293.3333333,293.3333333,0,0,1,1,1,ttt_constant
321,25,25,1,231,1,1,240,240,0,0,1,1,1,ttt_constant
321,27.5,27.5,1,16229,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,ttt_constant
321,30,30,1,861,1,1,227.9999999999997,227.9999999999997,0,0,1,1,1,ttt_constant
321,32.5,32.5,1,897,1,1,208.6153846153843,208.6153846153843,0,0,1,1,1,ttt_constant
321,35,35,1,2223,1,1,195.4285714,195.4285714,0,0,1,1,1,ttt_constant
321,37.5,37.5,1,897,1,1,183.9999999999995,183.9999999999995,0,0,1,1,1,ttt_constant
321,40,40,1,3755,1,1,180,180,0,0,1,1,1,ttt_constant
321,42.5,42.5,1,19655,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
321,45,45,1,330,1,1,174.6666666666665,174.6666666666665,0,0,1,1,1,ttt_constant
321,47.5,47.5,1,12323,1,1,171.1578947368414,171.1578947368414,0,0,1,1,1,ttt_constant
321,50,50,1,98399,1,1,167.9999999999995,167.9999999999995,0,0,1,1,1,ttt_constant
322,20,20,1,1575,1,1,383.9999999999993,383.9999999999993,0,0,1,1,1,both
322,22.5,22.5,1,13525,1,1,359.9999999999994,359.9999999999994,0,0,1,1,1,both
322,25,25,1,16212,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,both
322,27.5,27.5,1,5603,1,1,283.6363636363637,283.6363636363637,0,0,1,1,1,both
