x1_s,x2_s,delay_s_per_veh
3.5999999999999996,36.0,60.0
3.5999999999999996,37.199999999999996,60.0
3.5999999999999996,38.4,60.0
3.5999999999999996,39.6,60.0
3.5999999999999996,40.8,58.8
3.5999999999999996,42.0,57.6
3.5999999999999996,43.199999999999996,56.4
3.5999999999999996,44.4,55.2
3.5999999999999996,45.6,54.0
3.5999999999999996,46.8,52.8
3.5999999999999996,48.0,51.6
3.5999999999999996,49.199999999999996,51.6
3.5999999999999996,50.4,51.6
3.5999999999999996,51.6,51.6
3.5999999999999996,52.8,52.8
3.5999999999999996,54.0,54.0
3.5999999999999996,55.199999999999996,55.2
3.5999999999999996,56.4,56.4
3.5999999999999996,57.599999999999994,57.6
3.5999999999999996,58.8,58.8
3.5999999999999996,60.0,60.0
3.5999999999999996,61.199999999999996,61.2
3.5999999999999996,62.4,62.4
3.5999999999999996,63.599999999999994,63.6
3.5999999999999996,64.8,64.8
3.5999999999999996,66.0,66.0
3.5999999999999996,67.2,67.2
3.5999999999999996,68.39999999999999,68.4
3.5999999999999996,69.6,69.6
3.5999999999999996,70.8,70.8
3.5999999999999996,72.0,72.0
3.5999999999999996,73.2,72.0
3.5999999999999996,74.39999999999999,72.0
3.5999999999999996,75.6,72.0
3.5999999999999996,76.8,70.8
3.5999999999999996,78.0,69.6
3.5999999999999996,79.2,68.4
3.5999999999999996,80.39999999999999,67.2
3.5999999999999996,81.6,66.0
3.5999999999999996,82.8,64.8
3.5999999999999996,84.0,63.6
3.5999999999999996,85.2,62.4
3.5999999999999996,86.39999999999999,61.2
3.5999999999999996,87.6,60.0
3.5999999999999996,88.8,60.0
3.5999999999999996,90.0,60.0
3.5999999999999996,91.2,61.2
3.5999999999999996,92.39999999999999,62.4
3.5999999999999996,93.6,63.6
3.5999999999999996,94.8,64.8
3.5999999999999996,96.0,66.0
3.5999999999999996,97.2,67.2
3.5999999999999996,98.39999999999999,68.4
3.5999999999999996,99.6,69.6
3.5999999999999996,100.8,70.8
3.5999999999999996,102.0,72.0
3.5999999999999996,103.2,72.0
3.5999999999999996,104.39999999999999,72.0
3.5999999999999996,105.6,72.0
3.5999999999999996,106.8,72.0
3.5999999999999996,108.0,72.0
3.5999999999999996,109.2,72.0
3.5999999999999996,110.39999999999999,72.0
3.5999999999999996,111.6,72.0
3.5999999999999996,112.8,72.0
3.5999999999999996,114.0,72.0
3.5999999999999996,115.19999999999999,70.8
3.5999999999999996,116.39999999999999,69.6
3.5999999999999996,117.6,68.4
3.5999999999999996,118.8,67.2
4.8,0.0,66.0
4.8,1.2,64.8
