路線番号,系統速度,"link(0,1)","link(1,2)","link(2,3)","link(0,2)","link(1,3)","link(0,3)","Λ(0,1)","Λ(1,2)","Λ(2,3)","Λ(0,2)","Λ(1,3)","Λ(0,3)",d01,d12,d23,d02,d13,d03,S(Λ),S(Λclose),S(Λfar),x0opt,x1opt,x2opt,x3opt,d0opt(s/veh),d1opt(s/veh),d2opt(s/veh),d3opt(s/veh),dopt(s/veh),FTT(s/veh),TTT(s/veh),Nveh_total_eval,d0_F(s/veh),d1_F(s/veh),d2_F(s/veh),d3_F(s/veh),d0_B(s/veh),d1_B(s/veh),d2_B(s/veh),d3_B(s/veh),dist_km,dopt_sec_per_km,dopt_min_per_km
312,32.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.5384615384615385,0.4615384615384616,0.5384615384615385,1.0000000000000002,1.0000000000000002,1.538461538461539,0.0,0.0,0.0,0.0,0.0,0.03846153846153899,0.03846153846153899,0.0,0.03846153846153899,0,46.8,96.0,58.8,0.2443313609468734,2.764899408283923,1.02461538461535,0.5815384615385281,4.615384615384514,184.6153846153846,189.2307692307692,180,0,4.652307692307497,0.0,1.163076923077056,0.4886627218937469,0.8774911242603493,2.0492307692307,0,1.666666666666667,2.769230769230708,0.04615384615384513
312,30.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.5833333333333334,0.5,0.5833333333333334,1.0833333333333335,1.0833333333333335,1.666666666666667,0.033333333333333326,0.0,0.0,0.0,0.03333333333333348,0.16666666666666696,0.1699673171197598,0.033333333333333326,0.16996731711975982,0,45.6,93.6,67.2,5.760000000000097,6.920000000000033,5.879999999999968,1.440000000000024,19.9999999999998,200.0,219.9999999999998,180,0,9.920000000000114,0.0,2.880000000000048,11.52000000000019,3.919999999999952,11.75999999999994,0,1.666666666666667,11.99999999999988,0.19999999999999798
312,27.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.6363636363636365,0.5454545454545455,0.6363636363636365,1.181818181818182,1.181818181818182,1.818181818181819,0.08636363636363642,0.0,0.03636363636363649,0.0818181818181821,0.1318181818181821,0.181818181818181,0.2012871802316768,0.09370694603676512,0.23901485136608883,0,63.59999999999999,0.0,97.2,8.323636363636535,8.80363636363626,8.869090909090867,0.18545454545468,26.18181818181812,218.1818181818182,244.3636363636363,180,0,0.6109090909088587,0.0,0.3709090909093599,16.64727272727307,16.99636363636366,17.73818181818173,0,1.666666666666667,15.709090909090868,0.2618181818181811
312,25.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.7000000000000001,0.6,0.7000000000000001,1.3,1.3,2.0,0.15000000000000002,0.0,0.10000000000000009,0.09999999999999998,0.14999999999999997,0.0,0.15000000000000002,0.18027756377319953,0.18027756377319942,0,70.8,33.6,118.8,17.4,10.91999999999995,7.667999999999868,0.01199999999973645,35.99999999999943,240.0,275.9999999999994,180,0,0.9599999999999353,0.2159999999998642,0.0239999999994729,34.8,20.87999999999997,15.11999999999987,0,1.666666666666667,21.599999999999657,0.35999999999999427
312,22.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.7777777777777778,0.6666666666666666,0.7777777777777778,1.4444444444444446,1.4444444444444446,2.222222222222222,0.17222222222222217,0.016666666666666607,0.12222222222222223,0.0,0.005555555555555369,0.22222222222222188,0.2811462428639996,0.2118408440548624,0.2222916558193614,0,1.2,54.0,76.8,6.813333333333139,14.25333333333312,2.893333333333269,13.37333333333352,37.33333333333294,266.6666666666667,303.9999999999997,180,0,27.86666666666643,1.919999999999871,26.74666666666704,13.62666666666628,0.6399999999998222,3.866666666666667,0,1.666666666666667,22.399999999999757,0.3733333333333293
312,20.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.8750000000000001,0.75,0.8750000000000001,1.6250000000000002,1.6250000000000002,2.5,0.07499999999999984,0.09999999999999998,0.02499999999999991,0.025000000000000244,0.07500000000000018,0.0,0.07499999999999984,0.1274754878398195,0.07905694150420972,0,1.2,52.8,62.4,1.859999999999935,11.93999999999994,7.020000000000032,3.179999999999927,23.99999999999963,300.0,323.9999999999997,180,0,16.2,8.640000000000065,6.359999999999855,3.719999999999871,7.679999999999887,5.4,0,1.666666666666667,14.399999999999777,0.23999999999999627
313,50.0,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.45,0.3,0.45,0.75,0.75,1.2,0.0,0.04999999999999999,0.0,0.15000000000000002,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.04999999999999999,0.3201562118716424,0,54.0,40.8,118.8,2.279999999999968,9.119999999999871,7.559999999999976,5.039999999999984,23.99999999999991,144.0,167.9999999999999,180,0,0.0,15.11999999999995,10.07999999999997,4.559999999999936,18.23999999999974,0.0,0,2.0,11.999999999999956,0.19999999999999926
313,47.5,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.4736842105263158,0.3157894736842106,0.4736842105263158,0.7894736842105263,0.7894736842105263,1.263157894736842,0.0,0.03421052631578936,0.0,0.1105263157894737,0.16052631578947363,0.23684210526315796,0.23684210526315796,0.03421052631578936,0.3067229162752941,0,43.2,0.0,80.39999999999999,4.010526315789644,0.6568421052630583,12.28587257617732,11.4678116343491,28.42105263157896,151.578947368421,180.0,180,0,1.313684210526117,24.57174515235464,22.9356232686982,8.021052631579288,0.0,0.0,0,2.0,14.21052631578948,0.236842105263158
313,45.0,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.5,0.3333333333333333,0.5,0.8333333333333334,0.8333333333333334,1.333333333333333,0.0,0.016666666666666663,0.0,0.06666666666666665,0.11666666666666659,0.16666666666666696,0.16666666666666696,0.016666666666666663,0.214087209644419,0,60.0,19.2,76.8,0.0,0.4,18.23999999999998,1.360000000000016,19.9999999999998,160.0,179.9999999999998,180,0,0.0,34.07999999999997,2.720000000000032,0.0,0.8,2.4,0,2.0,9.9999999999999,0.16666666666666502
313,42.5,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.5294117647058824,0.3529411764705882,0.5294117647058824,0.8823529411764706,0.8823529411764706,1.411764705882353,0.0,0.0,0.0,0.01764705882352946,0.0676470588235294,0.08823529411764697,0.08823529411764697,0.0,0.11257446593532132,0,51.6,0.0,63.59999999999999,2.435294117647087,1.058823529411772,7.058823529411772,0.03529411764708736,10.58823529411765,169.4117647058823,180.0,180,0,0.0,14.11764705882354,0.07058823529417471,4.870588235294175,2.117647058823544,0.0,0,2.0,5.294117647058825,0.08823529411764709
313,40.0,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.5625,0.375,0.5625,0.9375,0.9375,1.5,0.012499999999999956,0.0,0.0,0.0,0.012499999999999956,0.0,0.012499999999999956,0.012499999999999956,0.012499999999999956,0,52.8,103.2,58.8,0.1499999999999191,1.829999999999968,0.1215000000000146,0.8985000000000178,2.999999999999801,180.0,182.9999999999998,180,0,2.159999999999935,0.2430000000000291,1.797000000000036,0.2999999999998383,1.5,0.0,0,2.0,1.4999999999999005,0.024999999999998343
313,37.5,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.6,0.4,0.6,1.0,1.0,1.6,0.04999999999999993,0.0,0.0,0.0,0.0,0.10000000000000009,0.11180339887498954,0.04999999999999993,0.10000000000000009,0,58.8,117.6,70.8,10.90800000000001,0.611999999999979,0.4679999999999482,0.01199999999977687,11.99999999999947,192.0,203.9999999999995,180,0,0.9600000000000162,0.215999999999945,0.02399999999955374,21.81600000000003,0.2639999999999418,0.7199999999999515,0,2.0,5.999999999999735,0.09999999999999559
313,35.0,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.6428571428571428,0.4285714285714285,0.6428571428571428,1.0714285714285714,1.0714285714285714,1.714285714285714,0.09285714285714275,0.0,0.042857142857142816,0.0,0.021428571428571394,0.21428571428571397,0.23353975320388273,0.10227015045197384,0.21535447759544732,0,31.2,87.6,39.6,0.5926530612245794,14.09877551020408,2.949061224489762,8.07379591836725,25.71428571428534,205.7142857142857,231.428571428571,180,0,27.15428571428565,2.812408163265273,16.1475918367345,1.185306122449159,1.043265306122501,3.085714285714251,0,2.0,12.85714285714267,0.21428571428571117
313,32.5,750.0,500.0,750.0,1250.0,1250.0,2000.0,0.6923076923076924,0.4615384615384616,0.6923076923076924,1.153846153846154,1.153846153846154,1.846153846153846,0.14230769230769236,0.0,0.09230769230769242,0.05384615384615396,0.10384615384615396,0.15384615384615397,0.2095712727050044,0.16962366977846122,0.19326683886770962,0,61.2,0.0,91.2,9.784615384615448,9.452307692307578,9.36418934911243,0.93734911242601,29.53846153846142,221.5384615384615,251.076923076923,180,0,7.901538461538277,0.5622248520710046,1.87469822485202,19.5692307692309,11.00307692307688,18.16615384615385,0,2.0,14.76923076923071,0.24615384615384517
