路線番号,系統速度,"link(0,1)","link(1,2)","link(2,3)","link(0,2)","link(1,3)","link(0,3)","Λ(0,1)","Λ(1,2)","Λ(2,3)","Λ(0,2)","Λ(1,3)","Λ(0,3)",d01,d12,d23,d02,d13,d03,S(Λ),S(Λclose),S(Λfar),x0opt,x1opt,x2opt,x3opt,d0opt(s/veh),d1opt(s/veh),d2opt(s/veh),d3opt(s/veh),dopt(s/veh),FTT(s/veh),TTT(s/veh),d0_stop(s/veh),d1_stop(s/veh),d2_stop(s/veh),d3_stop(s/veh),d_stop_total(s/veh),Nveh_total_eval,d0_F(s/veh),d1_F(s/veh),d2_F(s/veh),d3_F(s/veh),d0_B(s/veh),d1_B(s/veh),d2_B(s/veh),d3_B(s/veh),d_total_F_stop(s/veh),d_total_B_stop(s/veh),d_total_bi_stop(s/veh),d_total_F_TT(s/veh),d_total_B_TT(s/veh),d_total_bi_TT(s/veh),d0_bi(s/veh),d1_bi(s/veh),d2_bi(s/veh),d3_bi(s/veh),dist_km,dopt_sec_per_km,base_50_sec_per_km,norm_delay_by50
311,25.0,208.333333333332,250,208.3333333333335,458.333333333332,458.3333333333335,666.6666666666655,0.2499999999999984,0.3,0.2500000000000002,0.5499999999999984,0.5500000000000003,0.7999999999999986,0.1999999999999984,0.04999999999999999,0.1499999999999998,0.0,0.0,0.2000000000000014,0.2828427124746189,0.25495097567963787,0.2000000000000014,0,90.0,6.0,24.0,0,0,0,0,47.99999999999686,95.99999999999983,143.9999999999967,0.0,57.59999999999975,12.00000000000001,8.00000000000016,77.59999999999991,180,0,38.39999999999968,0.0,9.599999999997737,-3.233758939637078e-12,33.59999999999984,14.4,0,47.99999999999741,47.9999999999966,47.99999999999701,47.99999999999727,47.99999999999645,47.99999999999686,-1.616879469818539e-12,35.99999999999976,7.2,4.799999999998868,0.6666666666666655,71.99999999999541,44.999999999999375,1.5999999999999202
311,22.5,208.3333333333315,250,208.3333333333335,458.3333333333315,458.3333333333335,666.666666666665,0.2777777777777753,0.3333333333333333,0.277777777777778,0.6111111111111086,0.6111111111111114,0.8888888888888867,0.17222222222222472,0.016666666666666663,0.12222222222222201,0.01111111111110863,0.06111111111111134,0.11111111111111327,0.204954074952189,0.21184084405486434,0.12729376930433067,0,19.2,76.8,108.0,0,0,0,0,50.66666666666577,106.6666666666664,157.3333333333322,41.55713580246892,14.03259259259242,24.94597530864198,1.422222222222236,81.95792592592555,180,0,1.706666666666408,6.026666666666521,2.133333333332606,52.01422222222189,15.13244444444451,24.32000000000003,0,9.866666666665534,91.46666666666643,50.66666666666598,9.866666666665239,91.4666666666663,50.66666666666577,26.00711111111094,8.419555555555457,15.17333333333328,1.066666666666303,0.6666666666666651,75.99999999999883,44.999999999999375,1.6888888888888864
311,20.0,208.3333333333315,250,208.3333333333335,458.3333333333315,458.3333333333335,666.666666666665,0.3124999999999973,0.375,0.3125000000000003,0.6874999999999973,0.6875000000000002,0.9999999999999976,0.13750000000000273,0.0,0.08749999999999974,0.08749999999999736,0.13750000000000018,2.4424906541753444e-15,0.13750000000000273,0.16298006013006838,0.16298006013006494,0,26.4,82.8,0.0,0,0,0,0,50.9999999999998,119.9999999999997,170.9999999999995,44.74274999999989,13.0975,25.6000000000003,0.2500000000000284,83.69025000000022,180,0,0.0,0.3000000000003234,0.2999999999996766,55.2630000000003,15.71699999999991,30.42000000000003,0,0.6000000000000001,101.4000000000002,51.00000000000012,0.5999999999999659,101.3999999999996,50.9999999999998,27.63150000000015,7.858499999999953,15.36000000000018,0.1499999999998383,0.6666666666666651,76.49999999999989,44.999999999999375,1.700000000000021
312,50.0,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.175,0.15,0.175,0.32499999999999996,0.32499999999999996,0.5,0.12499999999999999,0.0,0.07499999999999998,0.07500000000000007,0.12500000000000006,0.0,0.12499999999999999,0.1457737973711325,0.1457737973711326,0,7.199999999999999,27.6,58.8,0,0,0,0,29.99999999999975,60.0,89.99999999999976,20.91499999999998,14.18500000000001,14.16,0.6430000000000156,49.90299999999999,180,0,1.440000000000065,0.07199999999995473,0.8879999999998189,25.098,15.58199999999989,16.91999999999979,0,2.399999999999839,57.59999999999968,29.99999999999976,2.399999999999757,57.59999999999975,29.99999999999975,12.549,8.510999999999978,8.49599999999987,0.4439999999999095,0.8333333333333335,35.999999999999694,35.999999999999694,1.0
312,47.5,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.1842105263157895,0.1578947368421053,0.1842105263157895,0.3421052631578948,0.3421052631578948,0.5263157894736843,0.1342105263157895,0.007894736842105315,0.08421052631578949,0.05789473684210522,0.10789473684210521,0.026315789473684292,0.1367661732651188,0.15863859866422672,0.12524214772937672,0,108.0,66.0,66.0,0,0,0,0,29.05263157894677,63.15789473684211,92.21052631578888,8.421052631578931,15.52631578947368,13.13019390581715,11.34349030470916,48.42105263157892,180,0,17.68421052631578,15.75623268698053,13.61218836565062,10.10526315789474,0.9473684210527508,0.0,0,47.05263157894693,11.05263157894749,29.05263157894721,47.0526315789464,11.05263157894713,29.05263157894677,5.052631578947371,9.315789473684264,7.878116343490263,6.806094182825311,0.8333333333333335,34.86315789473612,35.999999999999694,0.9684210526315671
312,45.0,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.1944444444444444,0.1666666666666667,0.1944444444444444,0.3611111111111111,0.3611111111111111,0.5555555555555556,0.14444444444444438,0.01666666666666672,0.09444444444444439,0.03888888888888892,0.0888888888888889,0.05555555555555558,0.15475986974649017,0.17338318371474698,0.11180339887498952,0,0.0,30.0,52.8,0,0,0,0,30.66666666666658,66.66666666666667,97.33333333333326,15.74740740740742,20.25264197530863,12.64074074074074,2.425925925925929,51.06671604938271,180,0,9.066666666666586,1.88888888888897,2.911111111111353,18.93333333333325,15.25333333333337,13.28000000000005,0,13.86666666666691,47.46666666666667,30.66666666666679,13.86666666666666,47.4666666666665,30.66666666666658,9.466666666666626,12.15999999999998,7.584444444444509,1.455555555555677,0.8333333333333335,36.79999999999989,35.999999999999694,1.022222222222228
312,42.5,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.2058823529411765,0.1764705882352941,0.2058823529411765,0.38235294117647056,0.38235294117647056,0.588235294117647,0.15588235294117647,0.026470588235294107,0.10588235294117648,0.01764705882352946,0.06764705882352945,0.08823529411764697,0.17912223504217775,0.19029207199555073,0.11257446593532136,0,8.4,28.8,64.8,0,0,0,0,34.5882352941175,70.58823529411765,105.1764705882352,21.84390311418684,14.41702422145329,18.35294117647059,1.952941176470584,56.56680968858131,180,0,3.444705882353042,0.0,2.343529411764676,27.02117647058832,14.34352941176468,22.02352941176465,0,5.788235294117719,63.38823529411764,34.58823529411768,5.788235294117626,63.38823529411738,34.5882352941175,13.51058823529416,8.89411764705886,11.01176470588232,1.171764705882338,0.8333333333333335,41.50588235294099,35.999999999999694,1.152941176470593
312,40.0,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.21875,0.1875,0.21875,0.40625,0.40625,0.625,0.16875,0.037500000000000006,0.11875,0.0,0.04375000000000001,0.125,0.21000372020514305,0.20972452169453148,0.13243512562760681,0,117.6,25.2,46.8,0,0,0,0,38.99999999999976,75.0,113.9999999999998,15.78137500000001,24.25418749999997,13.10437499999999,11.22062500000001,64.36056249999997,180,0,13.31999999999995,1.415249999999812,13.46475000000015,19.46999999999987,16.02000000000027,14.30999999999985,0,28.19999999999992,49.8,38.99999999999996,28.19999999999992,49.7999999999996,38.99999999999976,9.734999999999935,14.67000000000011,7.862624999999833,6.732375000000077,0.8333333333333335,46.7999999999997,35.999999999999694,1.3000000000000027
312,37.5,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.2333333333333333,0.2,0.2333333333333333,0.43333333333333335,0.43333333333333335,0.6666666666666667,0.1833333333333333,0.05000000000000002,0.1333333333333333,0.0,0.016666666666666663,0.16666666666666674,0.24776781245530846,0.2321398046197353,0.16749792701868157,0,1.2,20.4,46.8,0,0,0,0,43.99999999999975,80.0,123.9999999999997,19.43466666666665,20.66844444444441,15.2,17.8,73.10311111111106,180,0,11.83999999999998,0.0,21.3600000000001,23.4399999999999,13.11999999999987,18.2399999999999,0,33.20000000000008,54.79999999999967,43.99999999999987,33.19999999999992,54.79999999999959,43.99999999999975,11.71999999999995,12.47999999999993,9.119999999999951,10.68000000000005,0.8333333333333335,52.79999999999969,35.999999999999694,1.4666666666666706
312,35.0,291.6666666666667,250,291.6666666666667,541.6666666666667,541.6666666666667,833.3333333333335,0.25,0.2142857142857143,0.25,0.4642857142857143,0.4642857142857143,0.7142857142857143,0.2,0.06428571428571431,0.15,0.0,0.0,0.2142857142857143,0.2931183504097599,0.25813301427989505,0.2142857142857143,0,102.0,8.4,14.4,0,0,0,0,46.28571428571404,85.71428571428572,131.9999999999998,9.314285714285718,45.25714285714285,6.342857142857138,16.22857142857143,77.14285714285714,180,0,28.8,0.4114285714284051,19.47428571428593,11.17714285714287,25.50857142857146,7.199999999999839,0,48.68571428571433,43.88571428571417,46.28571428571425,48.68571428571394,43.88571428571413,46.28571428571404,5.588571428571433,27.15428571428573,3.805714285714122,9.737142857142963,0.8333333333333335,55.54285714285684,35.999999999999694,1.5428571428571476
