路線番号,系統速度,dist_km,dopt(s/veh),dopt_sec_per_km,dopt_min_per_km,S(Λ),S(Λclose),S(Λfar)
324,32.5,0.8333333333333334,27.69230769230767,33.2307692307692,0.5538461538461533,0.27111974690118623,0.1696236697784611,0.23233443554675312
324,30.0,0.8333333333333334,27.99999999999984,33.59999999999981,0.5599999999999968,0.2298852370688953,0.1918477405536889,0.1844661968431554
324,27.5,0.8333333333333334,37.09090909090862,44.50909090909034,0.7418181818181723,0.19922370000737386,0.2182291615301419,0.17981854949865894
324,25.0,0.8333333333333334,47.99999999999952,57.59999999999942,0.9599999999999903,0.2,0.25,0.24999999999999997
324,22.5,0.8333333333333334,41.33333333333316,49.59999999999979,0.8266666666666631,0.20495407495218565,0.21118419787498013,0.17435949807194667
324,20.0,0.8333333333333334,30.0,36.0,0.6,0.2853178052628331,0.16298006013006608,0.25031230493125983
331,50.0,0.625,32.99999999999956,52.799999999999294,0.8799999999999882,0.1457737973711325,0.07905694150420949,0.2795084971874737
331,47.5,0.625,32.21052631578909,51.536842105262544,0.8589473684210424,0.13317453609347363,0.0874777375715509,0.25439352680835725
331,45.0,0.625,31.33333333333268,50.13333333333229,0.8355555555555382,0.12184284555256282,0.09702360664762767,0.22703129713002831
331,42.5,0.625,30.35294117647021,48.564705882352335,0.8094117647058723,0.11349283165632201,0.10786541659348385,0.19740969640646858
331,40.0,0.625,29.24999999999968,46.799999999999486,0.7799999999999915,0.11075028216668341,0.12038350177661389,0.16594897559189692
331,37.5,0.625,27.9999999999997,44.79999999999952,0.7466666666666587,0.11666666666666671,0.13540064007726607,0.13437096247164237
331,35.0,0.625,28.28571428571421,45.25714285714274,0.7542857142857123,0.13343958351621008,0.15336364681131354,0.10832679205787922
331,32.5,0.625,33.23076923076913,53.1692307692306,0.8861538461538434,0.16176723726779302,0.17482027965174632,0.10212244651809049
331,30.0,0.625,38.99999999999976,62.399999999999615,1.0399999999999936,0.20172864061517,0.20052015692526598,0.12936812246883356
331,27.5,0.625,45.05454545454518,72.08727272727228,1.201454545454538,0.2539359586084259,0.2315060286953972,0.18181818181818188
331,25.0,0.625,42.0,67.2,1.12,0.32015621187164245,0.26925824035672524,0.25
331,22.5,0.625,50.66666666666638,81.06666666666621,1.3511111111111034,0.23966282900136654,0.22319232696222963,0.1667592335533737
331,20.0,0.625,46.49999999999967,74.39999999999948,1.2399999999999913,0.15103807466993197,0.16723860200324547,0.10077822185373192
332,50.0,0.7916666666666667,32.99999999999964,41.684210526315326,0.6947368421052554,0.1274754878398196,0.1457737973711325,0.18200274723201298
332,47.5,0.7916666666666667,32.21052631578867,40.68698060941726,0.6781163434902877,0.1342105263157895,0.1584420339314776,0.15844203393147746
332,45.0,0.7916666666666667,31.33333333333313,39.57894736842079,0.6596491228070132,0.147091136609708,0.1725802729667673,0.13721210039142756
332,42.5,0.7916666666666667,31.05882352941173,39.23219814241481,0.6538699690402469,0.16661187103845349,0.1884419821134276,0.12286234455414947
332,40.0,0.7916666666666667,35.24999999999979,44.52631578947341,0.7421052631578902,0.19304306514350633,0.2064393070614218,0.12263385543967874
332,37.5,0.7916666666666667,39.9999999999997,50.5263157894733,0.8421052631578884,0.22669117514559067,0.22730302828309756,0.14240006242195882
332,35.0,0.7916666666666667,45.42857142857091,57.383458646615885,0.9563909774435981,0.26811891970176377,0.2516273564829791,0.17985254731448821
332,32.5,0.7916666666666667,42.46153846153811,53.63562753036393,0.8939271255060655,0.29314152326601894,0.22708599106346936,0.23076923076923084
332,30.0,0.7916666666666667,38.99999999999967,49.26315789473642,0.8210526315789404,0.26167197446845963,0.20052015692526606,0.20833333333333326
332,27.5,0.7916666666666667,34.90909090909031,44.09569377990354,0.734928229665059,0.1896604185911369,0.1733243269539784,0.13636363636363624
332,25.0,0.7916666666666667,29.99999999999967,37.89473684210484,0.631578947368414,0.11180339887498944,0.15000000000000002,0.07071067811865459
332,22.5,0.7916666666666667,23.99999999999966,30.315789473683775,0.5052631578947296,0.08258927081843646,0.095257934441568,0.1454028036478047
332,20.0,0.7916666666666667,25.49999999999976,32.21052631578917,0.5368421052631528,0.18791620472966133,0.03952847075210458,0.3124999999999997
333,50.0,0.9583333333333334,32.99999999999976,34.4347826086954,0.5739130434782567,0.1903943276465977,0.21505813167606566,0.13462912017836262
333,47.5,0.9583333333333334,36.63157894736826,38.22425629290601,0.6370709382151002,0.2144535024408352,0.23159389903886107,0.13686740656785104
333,45.0,0.9583333333333334,40.66666666666617,42.43478260869513,0.7072463768115855,0.24349563334234584,0.25,0.1521451548625461
333,42.5,0.9583333333333334,38.82352941176465,40.51150895140659,0.6751918158567765,0.2558823529411765,0.22943061762654582,0.18056524091965684
